frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,204.1898956298828,290.44677734375,206.14967346191406,288.30047607421875,201.8052520751953,288.50457763671875,208.92117309570312,289.748046875,199.5314483642578,289.9818115234375,209.09397888183594,301.1376953125,203.74752807617188,301.22821044921875,205.17337036132812,317.9985656738281,202.20529174804688,317.9189758300781,200.33229064941406,323.26300048828125,201.3129119873047,323.78955078125,214.1501922607422,329.83331298828125,210.8494415283203,329.947021484375,205.71533203125,358.18206787109375,209.7049102783203,358.02642822265625,209.58062744140625,385.3583984375,210.88821411132812,384.0245361328125
1,1,,204.11477661132812,290.4300231933594,206.08543395996094,288.2863464355469,201.74288940429688,288.48834228515625,208.91619873046875,289.74493408203125,199.51986694335938,289.9736328125,209.1617431640625,301.17559814453125,203.7159881591797,301.239501953125,205.08029174804688,318.0352783203125,202.2435760498047,317.9591064453125,200.32052612304688,322.77606201171875,201.37181091308594,323.3727111816406,214.10116577148438,329.9720764160156,210.69207763671875,330.06390380859375,205.94119262695312,358.3056640625,209.54824829101562,358.1002197265625,209.77516174316406,385.4302062988281,210.84498596191406,384.03289794921875
2,1,,204.05987548828125,290.4260559082031,206.03729248046875,288.2779541015625,201.69244384765625,288.4782409667969,208.91123962402344,289.7570495605469,199.5240478515625,289.98077392578125,209.18881225585938,301.2468566894531,203.8064422607422,301.29290771484375,204.9398651123047,318.10736083984375,202.4264373779297,318.07000732421875,200.26577758789062,321.9105224609375,201.4463348388672,322.62457275390625,214.08473205566406,330.1337585449219,210.6801300048828,330.20654296875,206.1739501953125,358.42608642578125,209.54539489746094,358.1795349121094,209.89614868164062,385.5025329589844,210.841552734375,384.05401611328125
3,1,,203.99668884277344,290.40179443359375,205.98011779785156,288.2491760253906,201.64559936523438,288.4525451660156,208.9166259765625,289.7582702636719,199.5648956298828,289.9892883300781,209.24203491210938,301.3244323730469,203.91799926757812,301.38653564453125,204.79507446289062,318.1700134277344,202.63356018066406,318.240966796875,200.25320434570312,321.1574401855469,201.5800018310547,322.0199890136719,214.09242248535156,330.3085632324219,210.68850708007812,330.3760986328125,206.40464782714844,358.5505676269531,209.5768280029297,358.27685546875,210.01808166503906,385.5693359375,210.86126708984375,384.08575439453125
4,1,,203.88784790039062,290.4208984375,205.87762451171875,288.259033203125,201.5580596923828,288.4686279296875,208.90164184570312,289.7822570800781,199.60423278808594,290.0256652832031,209.26312255859375,301.41107177734375,204.1356201171875,301.47021484375,204.65431213378906,318.2706604003906,202.9661102294922,318.3480224609375,200.2512664794922,320.467529296875,201.8236083984375,321.3017883300781,214.07077026367188,330.482421875,210.76507568359375,330.5367431640625,206.5703887939453,358.6335754394531,209.61561584472656,358.34075927734375,210.11497497558594,385.5867919921875,210.91221618652344,384.0843200683594
5,1,,203.85012817382812,290.44921875,205.83782958984375,288.28662109375,201.52793884277344,288.493408203125,208.89434814453125,289.8418884277344,199.63661193847656,290.07373046875,209.27760314941406,301.5257873535156,204.28207397460938,301.5418701171875,204.5576934814453,318.3485107421875,203.2296905517578,318.3590087890625,200.2172393798828,320.0567932128906,201.94961547851562,320.8536682128906,214.11126708984375,330.6138000488281,210.8607635498047,330.63970947265625,206.84791564941406,358.7385559082031,209.74000549316406,358.38739013671875,210.22865295410156,385.65362548828125,210.9322967529297,384.07171630859375
6,1,,203.89393615722656,290.4586181640625,205.8767547607422,288.2891845703125,201.53526306152344,288.5090026855469,208.9151611328125,289.9004211425781,199.60720825195312,290.1655578613281,209.23545837402344,301.6230773925781,204.41607666015625,301.68096923828125,204.52317810058594,318.38580322265625,203.3677520751953,318.42510986328125,200.05755615234375,320.31500244140625,201.9437255859375,321.0494689941406,214.15882873535156,330.7210693359375,211.03887939453125,330.75811767578125,206.8581085205078,358.7540283203125,209.962646484375,358.4061279296875,210.13526916503906,385.6627197265625,211.02162170410156,384.0573425292969
7,1,,203.93101501464844,290.4627990722656,205.90823364257812,288.2863464355469,201.53073120117188,288.5263977050781,208.92709350585938,289.9358215332031,199.53802490234375,290.25213623046875,209.2008819580078,301.6642150878906,204.4356231689453,301.7731628417969,204.56085205078125,318.39190673828125,203.34120178222656,318.39129638671875,200.00111389160156,321.3246154785156,201.92059326171875,321.80914306640625,214.2132110595703,330.72955322265625,211.15191650390625,330.7869873046875,206.8003692626953,358.70751953125,210.07199096679688,358.3688659667969,210.0593719482422,385.6543273925781,211.07241821289062,384.02044677734375
8,1,,203.97122192382812,290.47357177734375,205.9575653076172,288.2943115234375,201.52476501464844,288.5410461425781,208.9383087158203,289.97918701171875,199.4017333984375,290.3110046386719,209.1508026123047,301.6905822753906,204.21136474609375,301.8149108886719,204.61231994628906,318.39886474609375,203.05947875976562,318.3219299316406,200.08143615722656,322.23028564453125,201.93130493164062,322.4615783691406,214.26278686523438,330.65576171875,211.114501953125,330.7410888671875,206.65478515625,358.5559387207031,210.07257080078125,358.2550354003906,209.99444580078125,385.6082763671875,211.11183166503906,383.9985656738281
9,1,,204.0160369873047,290.4520263671875,206.03529357910156,288.27410888671875,201.5083770751953,288.5240173339844,208.99928283691406,290.0195007324219,199.2095947265625,290.3606262207031,209.11988830566406,301.6813659667969,203.87745666503906,301.8453674316406,204.75445556640625,318.1717529296875,202.5950927734375,318.1230773925781,200.27017211914062,322.9248962402344,201.75485229492188,323.09381103515625,214.32745361328125,330.62091064453125,211.0077667236328,330.7445373535156,206.5767822265625,358.4614562988281,210.0050811767578,358.2074890136719,210.0098876953125,385.5816345214844,211.13662719726562,383.9901123046875
10,1,,204.03724670410156,290.4433288574219,206.07736206054688,288.2514953613281,201.4659881591797,288.5244140625,209.0286102294922,290.04815673828125,199.00537109375,290.4486999511719,209.1239013671875,301.693359375,203.49671936035156,301.962646484375,204.8250274658203,318.0331726074219,202.11936950683594,318.05682373046875,200.53158569335938,323.4752502441406,201.7930908203125,323.2949523925781,214.38124084472656,330.53546142578125,210.83102416992188,330.7340393066406,206.42242431640625,358.2770080566406,209.84535217285156,358.1197814941406,209.98130798339844,385.5062561035156,211.19093322753906,383.9902038574219
11,1,,204.00567626953125,290.4428405761719,206.06463623046875,288.22723388671875,201.4029998779297,288.5174255371094,209.01788330078125,290.05133056640625,198.8811492919922,290.494873046875,209.13833618164062,301.6673583984375,203.2856903076172,302.0277099609375,204.7729034423828,318.05621337890625,201.8253173828125,317.8081359863281,200.87930297851562,322.4140319824219,201.7860870361328,320.4787902832031,214.4650421142578,330.3633728027344,210.76368713378906,330.63739013671875,206.3412628173828,358.0564270019531,209.75709533691406,357.987060546875,209.96420288085938,385.4433288574219,211.23748779296875,383.97222900390625
12,1,,203.96742248535156,290.44805908203125,206.03382873535156,288.22320556640625,201.35964965820312,288.528076171875,208.97218322753906,290.05181884765625,198.78709411621094,290.53240966796875,209.1593017578125,301.582275390625,202.99758911132812,302.0556640625,204.91514587402344,317.98065185546875,201.49037170410156,317.3782043457031,201.23931884765625,322.10992431640625,201.8311309814453,318.0141296386719,214.55650329589844,330.120849609375,210.66676330566406,330.491455078125,206.19674682617188,357.7792663574219,209.7100830078125,357.85711669921875,209.88233947753906,385.3259582519531,211.3013458251953,383.9772644042969
13,1,,203.95420837402344,290.42242431640625,205.99905395507812,288.1905517578125,201.35076904296875,288.52899169921875,208.95675659179688,290.0126647949219,198.83145141601562,290.58660888671875,209.23452758789062,301.46307373046875,203.09686279296875,302.0721130371094,205.23756408691406,317.6998291015625,201.65818786621094,317.240234375,201.6025848388672,322.65362548828125,201.91346740722656,318.58587646484375,214.5921173095703,329.82806396484375,210.7389373779297,330.2468566894531,206.17742919921875,357.580078125,209.73886108398438,357.7343444824219,209.8223114013672,385.2112731933594,211.35255432128906,383.9615783691406
14,1,,203.9309844970703,290.4057312011719,205.95188903808594,288.15625,201.3270263671875,288.5298156738281,208.920166015625,289.9673156738281,198.85479736328125,290.63519287109375,209.300048828125,301.40521240234375,203.14578247070312,302.1229553222656,205.37307739257812,317.68585205078125,201.7731475830078,317.26806640625,201.84886169433594,323.09747314453125,202.10377502441406,318.787353515625,214.6147003173828,329.54736328125,210.7552947998047,330.01263427734375,206.186279296875,357.3785095214844,209.74014282226562,357.60211181640625,209.79678344726562,385.12603759765625,211.37469482421875,383.9692077636719
15,1,,203.87306213378906,290.3938293457031,205.87908935546875,288.132080078125,201.29745483398438,288.5325622558594,208.91021728515625,289.9014892578125,198.9710235595703,290.64361572265625,209.31349182128906,301.2819519042969,203.49868774414062,302.0677795410156,205.5678253173828,317.6031188964844,202.12513732910156,317.15972900390625,202.0473175048828,323.6579895019531,202.0900421142578,319.2729187011719,214.53521728515625,329.3322448730469,210.91970825195312,329.80609130859375,206.11639404296875,357.2893371582031,209.8345947265625,357.5525207519531,209.76341247558594,385.05596923828125,211.39320373535156,383.96905517578125
16,1,,203.8223419189453,290.3865661621094,205.8137664794922,288.12359619140625,201.2889862060547,288.54278564453125,208.91940307617188,289.8171691894531,199.1387176513672,290.6086120605469,209.22642517089844,301.113037109375,204.04173278808594,301.9342346191406,205.8417510986328,317.3984069824219,202.9025115966797,317.25921630859375,202.287109375,325.4937438964844,202.42056274414062,322.5365295410156,214.44857788085938,329.1914978027344,211.27786254882812,329.6366271972656,205.9900360107422,357.3141174316406,209.96749877929688,357.5613098144531,209.74298095703125,385.01422119140625,211.41842651367188,383.9495544433594
17,1,,203.78311157226562,290.3868408203125,205.7684326171875,288.120849609375,201.27682495117188,288.5549011230469,208.95037841796875,289.7498779296875,199.2793731689453,290.5794677734375,209.1351776123047,300.9764709472656,204.58477783203125,301.7820739746094,206.02886962890625,317.2070007324219,203.5316619873047,317.2326965332031,202.5276336669922,326.4063720703125,202.50540161132812,324.67926025390625,214.30926513671875,329.1962890625,211.5875244140625,329.5950927734375,205.8688201904297,357.41094970703125,210.10626220703125,357.620361328125,209.7164306640625,385.0143127441406,211.45249938964844,383.9390869140625
18,1,,203.70309448242188,290.4146423339844,205.7027587890625,288.1378173828125,201.21701049804688,288.57568359375,208.95407104492188,289.6866760253906,199.34213256835938,290.5276184082031,209.02810668945312,300.8216247558594,205.04151916503906,301.669677734375,206.05165100097656,317.1445617675781,204.27586364746094,317.25872802734375,202.45269775390625,326.2065734863281,202.61419677734375,324.5216064453125,214.24801635742188,329.2662048339844,211.8910675048828,329.6471252441406,205.82069396972656,357.507080078125,210.23265075683594,357.67498779296875,209.7139129638672,385.0555725097656,211.4810791015625,383.9108581542969
19,1,,203.63356018066406,290.4549255371094,205.63157653808594,288.1709289550781,201.17086791992188,288.62017822265625,208.9427490234375,289.6359558105469,199.43487548828125,290.51263427734375,208.9512481689453,300.6364440917969,205.55494689941406,301.5761413574219,206.13101196289062,316.9034423828125,205.07199096679688,317.2628173828125,202.29208374023438,325.68060302734375,202.6087646484375,324.3692932128906,214.20040893554688,329.2803039550781,212.23194885253906,329.6466369628906,205.75650024414062,357.5749816894531,210.43019104003906,357.69061279296875,209.6312713623047,385.0613708496094,211.52224731445312,383.8438720703125
20,1,,203.5785369873047,290.4777526855469,205.57907104492188,288.201904296875,201.1214141845703,288.6444091796875,208.8852996826172,289.6209716796875,199.39781188964844,290.48577880859375,208.8603515625,300.4954528808594,205.66738891601562,301.4874572753906,206.1881561279297,316.5909729003906,205.36851501464844,317.17279052734375,201.95556640625,324.9619445800781,202.4334259033203,324.0115661621094,214.2179412841797,329.3250427246094,212.38180541992188,329.68194580078125,205.72743225097656,357.6085205078125,210.5518341064453,357.67974853515625,209.59332275390625,385.0758361816406,211.5574951171875,383.78399658203125
21,1,,203.5249481201172,290.50347900390625,205.51600646972656,288.2315979003906,201.0648956298828,288.6824645996094,208.82894897460938,289.61041259765625,199.3433380126953,290.5013732910156,208.8817901611328,300.3653564453125,205.63282775878906,301.42791748046875,206.2705078125,316.23126220703125,205.3883514404297,317.0298767089844,201.78628540039062,324.38824462890625,202.3031768798828,323.7521667480469,214.2435760498047,329.2521667480469,212.36656188964844,329.6185607910156,205.79568481445312,357.5823059082031,210.56980895996094,357.6365661621094,209.56532287597656,385.07098388671875,211.5623321533203,383.7508544921875
22,1,,203.4735565185547,290.5135803222656,205.4591064453125,288.2359619140625,201.0099639892578,288.69366455078125,208.79872131347656,289.5840148925781,199.32455444335938,290.49664306640625,208.9021759033203,300.2658996582031,205.72567749023438,301.4024353027344,206.23545837402344,315.9465026855469,205.6886749267578,317.2124328613281,201.65052795410156,323.8280944824219,202.43121337890625,324.2852478027344,214.30067443847656,329.0881652832031,212.44448852539062,329.447265625,205.97152709960938,357.574462890625,210.59608459472656,357.5509033203125,209.58995056152344,385.0817565917969,211.5191650390625,383.665283203125
23,1,,203.44888305664062,290.529296875,205.41615295410156,288.2474060058594,200.9728240966797,288.717041015625,208.74815368652344,289.58221435546875,199.2715606689453,290.5204772949219,208.94578552246094,300.2251281738281,205.62396240234375,301.3807678222656,206.1277313232422,315.76275634765625,205.51072692871094,317.11669921875,201.66033935546875,323.5384826660156,202.4503936767578,324.1437072753906,214.4217071533203,328.94268798828125,212.45233154296875,329.3063659667969,206.16868591308594,357.57427978515625,210.57553100585938,357.5120849609375,209.6306915283203,385.10968017578125,211.4888153076172,383.6198425292969
24,1,,203.41522216796875,290.5424499511719,205.36863708496094,288.25830078125,200.9315185546875,288.7303771972656,208.71009826660156,289.5872497558594,199.23118591308594,290.5235290527344,208.99917602539062,300.2256164550781,205.56361389160156,301.3475341796875,206.0530242919922,315.6738586425781,205.49290466308594,317.00091552734375,201.7320556640625,323.4696350097656,202.60011291503906,324.14520263671875,214.55203247070312,328.87530517578125,212.4632568359375,329.22857666015625,206.58473205566406,357.5473327636719,210.51882934570312,357.46600341796875,209.81886291503906,385.1229553222656,211.37173461914062,383.59881591796875
25,1,,203.37588500976562,290.5938415527344,205.3287353515625,288.291748046875,200.89842224121094,288.7704772949219,208.73257446289062,289.5849914550781,199.27529907226562,290.53387451171875,209.10179138183594,300.2657470703125,205.75575256347656,301.368408203125,206.06625366210938,315.8203125,205.9043731689453,317.1479187011719,201.7265625,323.57635498046875,202.78033447265625,324.51519775390625,214.71144104003906,328.8801574707031,212.632568359375,329.2043151855469,206.85145568847656,357.51220703125,210.3538360595703,357.4072570800781,210.0087432861328,385.1036682128906,211.22584533691406,383.5780334472656
