frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,185.43846130371094,426.8078308105469,185.31448364257812,425.0953674316406,184.2866973876953,425.17950439453125,181.80162048339844,424.1259460449219,180.08682250976562,424.9267272949219,175.3559112548828,430.2454528808594,175.72940063476562,431.24468994140625,171.7571258544922,443.9546203613281,173.0963592529297,446.8763427734375,175.41748046875,452.80078125,173.55174255371094,458.4740295410156,160.4099884033203,448.7460021972656,160.76031494140625,449.13262939453125,165.74539184570312,471.801025390625,167.4711151123047,472.296875,165.36973571777344,494.2686767578125,164.39456176757812,496.6930847167969
1,1,,185.39808654785156,426.7833557128906,185.27090454101562,425.0931701660156,184.26657104492188,425.1923828125,181.74853515625,424.15618896484375,180.08396911621094,424.9954833984375,175.19529724121094,430.22113037109375,175.77066040039062,431.27935791015625,171.46035766601562,443.92816162109375,173.1072235107422,446.93341064453125,175.14935302734375,453.03118896484375,173.5699462890625,458.60943603515625,160.1907196044922,448.91180419921875,160.67205810546875,449.299072265625,165.636474609375,471.9261779785156,167.4708251953125,472.460205078125,165.34364318847656,494.3227233886719,164.4753875732422,496.7811584472656
2,1,,185.34600830078125,426.77716064453125,185.21839904785156,425.0789794921875,184.19656372070312,425.1751708984375,181.70677185058594,424.1487121582031,180.0211181640625,424.9808654785156,175.21730041503906,430.2319030761719,175.71929931640625,431.2981872558594,171.44290161132812,443.88262939453125,173.0924835205078,446.9358215332031,175.2349395751953,452.8363342285156,173.56210327148438,458.57855224609375,160.2682342529297,448.8086853027344,160.69850158691406,449.2161865234375,165.6368408203125,471.8719482421875,167.47764587402344,472.41705322265625,165.20936584472656,494.3037109375,164.39804077148438,496.7808532714844
3,1,,185.3046112060547,426.7735290527344,185.16650390625,425.0774230957031,184.13748168945312,425.1819763183594,181.67007446289062,424.1658020019531,179.96592712402344,425.018310546875,175.2970733642578,430.2713623046875,175.7110595703125,431.3384704589844,171.52854919433594,443.9783630371094,173.0931396484375,446.9747314453125,175.237548828125,453.069091796875,173.5417022705078,458.7259826660156,160.32994079589844,448.76361083984375,160.70968627929688,449.1682434082031,165.62046813964844,471.8752136230469,167.43304443359375,472.44134521484375,165.09744262695312,494.27362060546875,164.3885955810547,496.7989807128906
4,1,,185.22982788085938,426.7381896972656,185.084716796875,425.0195007324219,184.02525329589844,425.124267578125,181.59202575683594,424.102783203125,179.86831665039062,424.9570007324219,175.1983642578125,430.2669372558594,175.73159790039062,431.3348388671875,171.29502868652344,443.9373779296875,173.10169982910156,446.87994384765625,175.22561645507812,453.1197814941406,173.5126190185547,458.7527770996094,160.33583068847656,448.6250915527344,160.78260803222656,449.0751953125,165.6583251953125,471.8270568847656,167.5979461669922,472.41766357421875,165.06488037109375,494.1726379394531,164.25711059570312,496.7487487792969
5,1,,185.0989227294922,426.5534362792969,185.02685546875,424.8364562988281,183.83773803710938,424.9357604980469,181.70606994628906,424.0618896484375,179.65711975097656,424.8906555175781,175.29270935058594,430.3265686035156,175.6624298095703,431.40228271484375,171.2650146484375,443.8899230957031,173.00762939453125,447.0040283203125,175.2880096435547,452.7464904785156,173.5008544921875,458.7376708984375,160.52694702148438,448.5921630859375,160.85482788085938,449.0404968261719,165.78488159179688,471.87945556640625,167.71092224121094,472.42523193359375,165.09927368164062,494.2244567871094,164.1819305419922,496.6910400390625
6,1,,185.00250244140625,426.645263671875,184.85977172851562,424.91650390625,183.7810516357422,425.0081481933594,181.41107177734375,424.12701416015625,179.7445068359375,424.94598388671875,175.2683563232422,430.4863586425781,175.64866638183594,431.5101623535156,171.45249938964844,444.0448303222656,172.97178649902344,447.06756591796875,175.52117919921875,452.6117248535156,173.4407501220703,458.8813171386719,160.6280059814453,448.471435546875,160.96017456054688,448.9208984375,165.9994659423828,471.7638244628906,167.8267059326172,472.2243347167969,165.156005859375,494.1352233886719,164.0364990234375,496.5098571777344
7,1,,184.90655517578125,426.630615234375,184.797607421875,424.90057373046875,183.66995239257812,424.9916076660156,181.4384765625,424.14996337890625,179.66050720214844,424.9602966308594,175.25274658203125,430.57659912109375,175.67880249023438,431.5781555175781,171.38218688964844,444.2160949707031,172.9713897705078,447.1068115234375,175.39637756347656,453.38031005859375,173.3662567138672,459.230712890625,160.6446990966797,448.5242004394531,160.99876403808594,448.9660949707031,166.13909912109375,471.8096618652344,167.96800231933594,472.2370910644531,165.31906127929688,494.0932312011719,163.98992919921875,496.4098815917969
8,1,,184.84202575683594,426.7810363769531,184.7098388671875,425.0453796386719,183.640625,425.1416015625,181.27903747558594,424.22882080078125,179.69650268554688,425.0539855957031,174.9432830810547,430.59124755859375,175.78684997558594,431.65142822265625,170.837158203125,444.2628173828125,173.0005645751953,447.1505432128906,174.98541259765625,454.1223449707031,173.3462677001953,459.5975341796875,160.53826904296875,448.61444091796875,161.15274047851562,449.09857177734375,166.14627075195312,471.8174743652344,168.0916290283203,472.3005676269531,165.37937927246094,493.9963684082031,163.94845581054688,496.3724365234375
9,1,,184.79598999023438,427.03009033203125,184.67420959472656,425.2890930175781,183.60191345214844,425.38385009765625,181.26231384277344,424.3933410644531,179.66162109375,425.2109680175781,174.8696746826172,430.6573486328125,175.7766876220703,431.7359619140625,170.6051788330078,444.45416259765625,173.01812744140625,447.1517028808594,174.62120056152344,455.39654541015625,173.3463592529297,460.003662109375,160.54067993164062,448.6419677734375,161.18817138671875,449.1521911621094,166.1658935546875,471.76080322265625,168.04580688476562,472.3502197265625,165.30133056640625,493.874267578125,163.8964080810547,496.40570068359375
