frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,195.73289489746094,437.6969299316406,197.14564514160156,435.5019226074219,193.29443359375,436.1261901855469,200.04248046875,435.88641357421875,191.04861450195312,437.22320556640625,205.7136993408203,444.0678405761719,195.93353271484375,446.575439453125,212.490234375,455.56524658203125,200.69046020507812,458.941650390625,208.75364685058594,467.9632568359375,200.16441345214844,468.6745300292969,219.07647705078125,467.8735046386719,212.30545043945312,468.9248046875,211.0903778076172,487.02801513671875,205.21307373046875,487.6130065917969,216.19253540039062,510.6763000488281,208.52330017089844,508.9578857421875
1,1,,195.77635192871094,437.7667236328125,197.19908142089844,435.56549072265625,193.387939453125,436.179931640625,200.05599975585938,435.963623046875,191.15103149414062,437.2969665527344,205.72637939453125,444.12615966796875,195.79336547851562,446.7947692871094,212.70208740234375,455.38427734375,199.5234375,459.03375244140625,208.7074432373047,467.6361999511719,197.4464111328125,468.3224182128906,218.91522216796875,467.9720153808594,212.12664794921875,469.05712890625,210.66494750976562,487.07666015625,204.886474609375,487.69012451171875,216.1899871826172,510.77264404296875,208.47669982910156,509.024169921875
2,1,,195.87173461914062,438.0465393066406,197.3003387451172,435.8272399902344,193.48281860351562,436.4403381347656,200.10890197753906,436.1944580078125,191.19651794433594,437.5318298339844,205.68446350097656,444.3288269042969,195.86312866210938,447.0540466308594,212.96116638183594,455.37322998046875,199.89889526367188,459.1780700683594,208.6089630126953,467.4618835449219,197.85958862304688,468.28302001953125,218.73023986816406,468.1595458984375,212.0225830078125,469.2533264160156,210.2593231201172,487.12591552734375,204.56405639648438,487.82635498046875,216.1405029296875,510.7882385253906,208.5248565673828,509.1348876953125
3,1,,196.04039001464844,438.5296630859375,197.50323486328125,436.2678527832031,193.665771484375,436.88006591796875,200.21240234375,436.6246643066406,191.31552124023438,437.9974670410156,205.5203857421875,444.7373046875,195.94325256347656,447.7705993652344,213.2073211669922,455.391845703125,199.33961486816406,459.8092346191406,208.42794799804688,467.0588073730469,195.8609619140625,468.2860412597656,218.44244384765625,468.4661865234375,212.00186157226562,469.66497802734375,209.36997985839844,487.234130859375,204.1981964111328,488.1287841796875,216.0167999267578,510.8369445800781,208.65689086914062,509.3431091308594
4,1,,196.0460205078125,439.2841491699219,197.5301055908203,436.9952087402344,193.7275390625,437.58843994140625,200.16310119628906,437.37982177734375,191.33364868164062,438.7281188964844,205.38958740234375,445.5577087402344,195.65829467773438,448.7770690917969,213.75816345214844,455.6413269042969,197.99069213867188,460.4463195800781,208.42852783203125,467.0054016113281,193.24366760253906,468.34857177734375,218.0197296142578,469.2635192871094,211.5935516357422,470.4970703125,208.5908203125,487.5318603515625,203.54751586914062,488.5089416503906,215.94937133789062,510.9695129394531,208.48179626464844,509.53570556640625
5,1,,196.10638427734375,440.2997131347656,197.62583923339844,438.004150390625,193.83570861816406,438.5635986328125,200.1929473876953,438.381103515625,191.42071533203125,439.66650390625,205.2604217529297,446.6109313964844,195.56137084960938,449.7834167480469,214.0384979248047,456.4815979003906,197.14955139160156,461.1109924316406,208.3022918701172,467.4034423828125,191.60372924804688,468.5882263183594,217.6923065185547,470.2499084472656,211.38861083984375,471.4469909667969,207.7833709716797,487.9507751464844,202.9248046875,488.9001770019531,215.87060546875,511.14703369140625,208.63316345214844,509.7069396972656
6,1,,196.17225646972656,441.79669189453125,197.67999267578125,439.4699401855469,193.85047912597656,440.0662841796875,200.19325256347656,439.8106384277344,191.3270263671875,441.19842529296875,205.29953002929688,448.10052490234375,195.5599822998047,451.29571533203125,214.45689392089844,457.97607421875,197.69180297851562,462.5375061035156,208.254150390625,468.4858093261719,192.71958923339844,469.67828369140625,217.45468139648438,471.50555419921875,211.1412353515625,472.69061279296875,206.79800415039062,488.50823974609375,202.02122497558594,489.5693359375,215.66497802734375,511.2757263183594,208.69406127929688,509.9957275390625
7,1,,196.21873474121094,443.22991943359375,197.69094848632812,440.915771484375,193.89126586914062,441.5309753417969,200.12940979003906,441.2483215332031,191.303466796875,442.6878967285156,205.33193969726562,449.5384521484375,195.46388244628906,452.6886901855469,214.66539001464844,459.5140380859375,197.601318359375,463.8650207519531,208.31263732910156,469.70819091796875,192.9205322265625,470.6841125488281,217.27853393554688,472.7816162109375,210.92042541503906,473.9402160644531,205.82110595703125,489.1106262207031,201.1521453857422,490.22247314453125,215.41978454589844,511.4437255859375,208.76937866210938,510.2494812011719
8,1,,195.61985778808594,444.7804870605469,197.10897827148438,442.5250244140625,193.4639129638672,443.0848693847656,199.83853149414062,442.7166748046875,191.254638671875,444.0003662109375,205.50003051757812,450.88140869140625,195.31796264648438,453.7076721191406,215.0291748046875,461.0535888671875,197.60430908203125,464.782470703125,208.38328552246094,471.0755920410156,193.6302947998047,471.6448669433594,217.06439208984375,474.02288818359375,210.5078887939453,475.04949951171875,205.05455017089844,489.6156311035156,200.3703155517578,490.7433166503906,215.1724090576172,511.4090881347656,208.7530975341797,510.43212890625
9,1,,195.37400817871094,446.00634765625,196.80569458007812,443.7890930175781,193.26060485839844,444.359130859375,199.59568786621094,443.904052734375,191.18919372558594,445.19476318359375,205.59521484375,451.9940490722656,195.4119415283203,454.6315002441406,215.1787872314453,462.5660705566406,198.7463836669922,465.9004821777344,208.31092834472656,472.3994140625,196.1360321044922,472.68939208984375,217.0135498046875,474.99853515625,210.39410400390625,475.943359375,204.29966735839844,489.9632263183594,199.6658172607422,491.14739990234375,215.00039672851562,511.4401550292969,208.77783203125,510.6115417480469
10,1,,194.8402557373047,446.9987487792969,196.27047729492188,444.819091796875,192.85398864746094,445.3548889160156,199.2882080078125,444.85723876953125,191.1064453125,446.0377502441406,205.62698364257812,452.8550109863281,195.4758758544922,455.3216247558594,215.4034423828125,463.66412353515625,199.72760009765625,466.82391357421875,208.21153259277344,473.3925476074219,198.3333740234375,473.6301574707031,216.95413208007812,475.6661376953125,210.3155517578125,476.54443359375,203.6753387451172,490.2930908203125,199.24229431152344,491.5719909667969,214.80856323242188,511.42901611328125,208.83978271484375,510.8082580566406
11,1,,194.4961700439453,447.344970703125,195.90504455566406,445.2218322753906,192.61753845214844,445.71197509765625,199.00364685058594,445.1975402832031,191.08607482910156,446.2425537109375,205.4749298095703,453.1103515625,195.514892578125,455.3691711425781,215.36557006835938,464.0284118652344,200.1551513671875,466.88623046875,208.12103271484375,473.5998229980469,199.31646728515625,473.7797546386719,216.8882598876953,475.9259033203125,210.36058044433594,476.7478942871094,203.22813415527344,490.3507080078125,199.27760314941406,491.6995544433594,214.7230224609375,511.2863464355469,208.86219787597656,510.8697204589844
