frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,180.48236083984375,372.10614013671875,181.609375,370.137451171875,179.93336486816406,370.33843994140625,185.99725341796875,370.0426940917969,181.92520141601562,370.0738525390625,194.4333953857422,378.04644775390625,185.10821533203125,378.827392578125,198.75868225097656,392.5543518066406,188.82456970214844,394.1517333984375,195.443359375,405.3363037109375,187.0017852783203,406.1380310058594,205.57325744628906,401.0092468261719,199.16775512695312,401.1483459472656,196.53741455078125,426.2554016113281,192.81036376953125,425.7160949707031,200.6815948486328,454.162841796875,196.56219482421875,452.2168273925781
1,1,,180.641845703125,372.0452880859375,181.81329345703125,370.06134033203125,180.03335571289062,370.2740783691406,186.24874877929688,369.95318603515625,181.89520263671875,370.0213623046875,194.54409790039062,377.953857421875,185.1077880859375,378.81536865234375,198.82398986816406,392.42681884765625,188.84596252441406,394.12158203125,195.54849243164062,405.2291259765625,187.014404296875,406.2391052246094,205.66262817382812,400.9917297363281,199.18455505371094,401.1917724609375,196.4881134033203,426.1451416015625,192.79159545898438,425.8015441894531,200.7306365966797,454.0,196.55433654785156,452.3798828125
2,1,,180.888671875,371.904541015625,182.1128387451172,369.9063720703125,180.1527862548828,370.1332702636719,186.54629516601562,369.8462219238281,181.748046875,369.9637145996094,194.67181396484375,377.924560546875,185.04193115234375,378.796142578125,198.8528289794922,392.4169006347656,188.82908630371094,394.0546875,195.50704956054688,405.22900390625,187.01666259765625,406.268310546875,205.6792449951172,400.96630859375,199.07191467285156,401.1722106933594,196.4840850830078,426.10369873046875,192.77774047851562,425.7544860839844,200.74880981445312,453.94403076171875,196.59434509277344,452.3154296875
3,1,,181.2085418701172,371.75115966796875,182.5024871826172,369.7223205566406,180.2860107421875,369.9766845703125,186.94923400878906,369.6961975097656,181.51443481445312,369.898681640625,194.89830017089844,377.9273681640625,184.92791748046875,378.760009765625,198.8018035888672,392.6097412109375,188.81776428222656,393.96160888671875,195.14537048339844,405.3852844238281,187.00485229492188,406.3059387207031,205.73196411132812,400.9335021972656,198.88821411132812,401.1249694824219,196.5134735107422,426.0339660644531,192.72657775878906,425.6745300292969,200.75228881835938,453.85986328125,196.65667724609375,452.2640380859375
4,1,,181.60121154785156,371.54193115234375,182.95816040039062,369.49249267578125,180.5093231201172,369.7702331542969,187.40548706054688,369.5325622558594,181.4046630859375,369.8075256347656,195.14454650878906,377.9131774902344,184.92965698242188,378.6947021484375,198.7430877685547,392.7861633300781,188.90093994140625,393.815185546875,194.77659606933594,405.4644470214844,187.05154418945312,406.21502685546875,205.77171325683594,400.8917236328125,198.75241088867188,401.07061767578125,196.55050659179688,425.9212341308594,192.71438598632812,425.60015869140625,200.76597595214844,453.7383728027344,196.7133331298828,452.24639892578125
5,1,,182.08230590820312,371.2948303222656,183.51202392578125,369.2372131347656,180.80435180664062,369.5211486816406,187.90878295898438,369.3788757324219,181.27647399902344,369.6871337890625,195.34483337402344,377.935791015625,184.84219360351562,378.6241149902344,198.67921447753906,392.9952697753906,188.90235900878906,393.632568359375,194.39053344726562,405.5569152832031,187.05557250976562,406.1063232421875,205.7430419921875,400.9053649902344,198.51805114746094,401.0721740722656,196.56134033203125,425.86669921875,192.71209716796875,425.61474609375,200.82546997070312,453.63214111328125,196.7600555419922,452.300537109375
6,1,,182.39602661132812,371.01727294921875,183.8739776611328,368.9761657714844,181.0037078857422,369.240478515625,188.2037811279297,369.26885986328125,181.19004821777344,369.5374450683594,195.50765991210938,378.0444641113281,184.69537353515625,378.51092529296875,198.63882446289062,393.3149719238281,188.8743896484375,393.3941650390625,193.9254913330078,405.67462158203125,187.07064819335938,405.8559875488281,205.6523895263672,400.94683837890625,198.1907196044922,401.0154113769531,196.56915283203125,425.8187561035156,192.45968627929688,425.43389892578125,200.8561248779297,453.6256408691406,196.6752166748047,452.1385498046875
7,1,,182.41172790527344,370.8443603515625,183.87660217285156,368.84100341796875,181.0828094482422,369.0704345703125,188.17288208007812,369.2329406738281,181.34962463378906,369.4061584472656,195.54837036132812,378.0980224609375,184.68714904785156,378.3824768066406,198.6396026611328,393.3935852050781,188.91563415527344,393.15411376953125,193.69854736328125,405.67413330078125,187.12013244628906,405.6518859863281,205.6154022216797,400.9811706542969,198.0926055908203,400.95721435546875,196.5514678955078,425.7483215332031,192.1985321044922,425.2253112792969,200.90904235839844,453.63726806640625,196.573974609375,451.96453857421875
8,1,,182.3450469970703,370.6554870605469,183.79067993164062,368.7041015625,181.13975524902344,368.8819274902344,188.06143188476562,369.1911315917969,181.5849151611328,369.2232971191406,195.4945526123047,378.057373046875,184.70730590820312,378.2165222167969,198.72927856445312,393.2291564941406,188.94699096679688,392.91363525390625,193.8053436279297,405.4983825683594,187.1840362548828,405.46124267578125,205.57681274414062,400.9881591796875,198.08697509765625,400.9068908691406,196.51190185546875,425.6537170410156,192.029296875,425.0562438964844,200.95816040039062,453.6215515136719,196.44029235839844,451.8290100097656
9,1,,182.07568359375,370.6676025390625,183.4842529296875,368.7384033203125,180.99461364746094,368.8931884765625,187.78317260742188,369.2010192871094,181.68406677246094,369.1636047363281,195.37181091308594,377.97784423828125,184.7552490234375,378.115966796875,198.82862854003906,392.992919921875,189.03367614746094,392.79241943359375,194.0130615234375,405.3749694824219,187.26229858398438,405.3998718261719,205.51580810546875,400.99365234375,198.1278839111328,400.8807373046875,196.42337036132812,425.589111328125,191.85519409179688,424.91741943359375,201.00840759277344,453.6234436035156,196.27781677246094,451.6838073730469
