frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,212.75021362304688,191.2079315185547,214.1340789794922,188.47300720214844,210.50543212890625,189.40086364746094,219.19960021972656,188.4979705810547,211.16973876953125,190.18275451660156,225.1768035888672,197.86166381835938,221.9790496826172,199.60888671875,227.77430725097656,213.54550170898438,226.3665313720703,213.72695922851562,225.0865020751953,223.5118408203125,223.9752960205078,222.6012725830078,243.55862426757812,219.33424377441406,241.40367126464844,220.34390258789062,230.0048065185547,239.5923614501953,232.94125366210938,241.69546508789062,237.22976684570312,263.95697021484375,235.81710815429688,265.56500244140625
1,1,,212.69863891601562,191.1291961669922,214.06224060058594,188.40216064453125,210.47994995117188,189.31539916992188,219.09349060058594,188.5114288330078,211.25259399414062,190.17227172851562,225.09304809570312,197.94618225097656,222.32958984375,199.75015258789062,227.75698852539062,214.15061950683594,226.8206787109375,214.42910766601562,224.4339141845703,223.7305450439453,223.01849365234375,223.18310546875,243.63609313964844,219.35418701171875,241.77066040039062,220.3477783203125,229.86038208007812,239.531494140625,233.0491943359375,241.68222045898438,237.20457458496094,263.9542541503906,235.7535858154297,265.70404052734375
2,1,,212.7268524169922,191.15049743652344,214.0484619140625,188.4213104248047,210.4846954345703,189.34010314941406,218.9961395263672,188.59130859375,211.25848388671875,190.26687622070312,225.00828552246094,198.13392639160156,222.56826782226562,199.88978576660156,227.67100524902344,214.58238220214844,227.32867431640625,214.66729736328125,224.25486755371094,223.9419708251953,223.2432861328125,223.38494873046875,243.71351623535156,219.34034729003906,242.04649353027344,220.3137969970703,229.76654052734375,239.4838104248047,233.11729431152344,241.69085693359375,237.15615844726562,263.85870361328125,235.71360778808594,265.77130126953125
3,1,,212.7202911376953,191.11032104492188,213.9999237060547,188.3899688720703,210.49343872070312,189.26109313964844,218.87852478027344,188.63629150390625,211.3667449951172,190.1855926513672,225.00868225097656,198.49087524414062,223.02423095703125,199.83575439453125,227.56907653808594,215.8096160888672,228.4390869140625,214.91795349121094,223.1546630859375,224.07217407226562,223.41604614257812,223.23353576660156,243.84426879882812,219.4109344482422,242.42758178710938,220.1739044189453,229.70809936523438,239.53016662597656,233.20657348632812,241.5867919921875,237.07823181152344,263.891357421875,235.70584106445312,265.85479736328125
4,1,,212.22691345214844,191.25559997558594,213.472412109375,188.6179656982422,210.40280151367188,189.3017578125,218.4293975830078,188.80471801757812,212.03955078125,189.83291625976562,224.79632568359375,198.72802734375,223.53994750976562,199.4092559814453,227.43260192871094,216.8311767578125,229.2939453125,214.97154235839844,222.10047912597656,224.03643798828125,223.1721649169922,222.92779541015625,243.8344268798828,219.5924835205078,242.8629608154297,220.0408935546875,229.6796417236328,239.6696319580078,233.16754150390625,241.47450256347656,237.07762145996094,264.0460205078125,235.67312622070312,265.9012756347656
5,1,,211.92689514160156,191.383056640625,213.0735626220703,188.7939453125,210.35240173339844,189.40573120117188,218.08795166015625,188.8365936279297,212.5498809814453,189.64639282226562,224.87059020996094,198.74404907226562,223.9654998779297,198.9148712158203,227.29156494140625,216.9852294921875,229.77572631835938,214.28843688964844,221.89764404296875,223.2200469970703,223.72129821777344,221.81553649902344,243.73126220703125,219.77658081054688,242.95184326171875,219.95419311523438,229.9161834716797,239.94259643554688,233.11434936523438,241.2965545654297,237.03680419921875,264.3219909667969,235.6802978515625,265.71533203125
6,1,,211.53311157226562,191.3729705810547,212.7440643310547,188.80543518066406,210.22891235351562,189.32327270507812,218.07762145996094,188.83493041992188,212.97669982910156,189.3952178955078,224.88829040527344,198.8860321044922,224.2235107421875,198.59767150878906,227.3094940185547,217.38905334472656,230.0464324951172,214.0357666015625,221.43482971191406,222.3900146484375,223.7112579345703,221.21896362304688,243.45840454101562,219.8584442138672,242.8470001220703,219.77041625976562,229.93894958496094,240.47320556640625,232.90158081054688,241.30844116210938,236.96385192871094,264.78887939453125,235.78851318359375,265.58734130859375
7,1,,211.10487365722656,191.26954650878906,212.4315185546875,188.70761108398438,210.0556182861328,189.1287841796875,218.15435791015625,188.8095245361328,213.3592071533203,189.12445068359375,224.95489501953125,199.1545867919922,224.4635467529297,198.43919372558594,227.5120849609375,217.90321350097656,230.21470642089844,214.00384521484375,221.04539489746094,220.9368896484375,222.89706420898438,220.49000549316406,243.2337646484375,220.07522583007812,242.7654571533203,219.710205078125,229.96182250976562,240.98486328125,232.7723388671875,241.23138427734375,236.92735290527344,265.3629150390625,235.9365692138672,265.48443603515625
8,1,,210.77532958984375,191.16650390625,212.1675567626953,188.59658813476562,209.9799346923828,188.97634887695312,218.20652770996094,188.64437866210938,213.82659912109375,188.8600616455078,224.9180450439453,198.97129821777344,224.7760009765625,198.30491638183594,227.43246459960938,217.61746215820312,230.05723571777344,214.1024169921875,220.8028106689453,219.97134399414062,221.8782501220703,220.1816864013672,242.99945068359375,220.1278533935547,242.81130981445312,219.71409606933594,229.89454650878906,241.35525512695312,232.74966430664062,241.34181213378906,236.85806274414062,265.7574462890625,236.07443237304688,265.4747619628906
9,1,,210.96018981933594,190.90428161621094,212.4183349609375,188.28123474121094,210.04159545898438,188.75648498535156,218.54074096679688,188.50071716308594,213.6528778076172,189.02578735351562,225.08770751953125,198.96669006347656,224.54306030273438,198.84164428710938,227.48141479492188,216.75222778320312,229.46499633789062,214.3038787841797,221.1207275390625,218.47161865234375,220.9084014892578,220.0730743408203,242.88633728027344,220.10618591308594,242.45860290527344,219.86668395996094,229.8206329345703,241.52304077148438,232.41224670410156,241.4808349609375,236.7902374267578,265.87969970703125,236.11061096191406,265.4280700683594
