frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,224.24766540527344,401.8444519042969,225.38571166992188,399.7442932128906,221.9864044189453,399.8766784667969,225.1804962158203,400.5398254394531,217.43612670898438,401.1679992675781,218.506591796875,411.3446350097656,215.32215881347656,411.0361328125,213.83059692382812,428.5692138671875,211.50473022460938,426.6838073730469,218.6018829345703,441.8746643066406,214.4973907470703,443.3025817871094,205.2504425048828,438.3535461425781,202.62918090820312,438.8471984863281,218.19607543945312,461.60400390625,213.333984375,463.61431884765625,217.048583984375,485.6671447753906,206.33355712890625,490.77337646484375
1,1,,224.19850158691406,401.9676208496094,225.34909057617188,399.8835144042969,221.90939331054688,400.0224609375,225.23204040527344,400.66949462890625,217.3734130859375,401.2943115234375,218.7521514892578,411.3683166503906,215.35325622558594,410.9007873535156,213.95999145507812,428.2933349609375,211.64991760253906,426.1429748535156,218.3456268310547,441.51715087890625,214.86038208007812,442.6538391113281,205.44932556152344,438.2301025390625,202.82200622558594,438.5556945800781,216.9895782470703,462.1322937011719,213.20559692382812,463.6494140625,214.9494171142578,486.49456787109375,206.4496612548828,490.8246154785156
2,1,,224.21286010742188,402.0489501953125,225.30767822265625,399.9889831542969,221.92489624023438,400.149658203125,225.0762481689453,400.74920654296875,217.32308959960938,401.426025390625,218.74127197265625,411.283447265625,215.27020263671875,410.8276062011719,214.0594024658203,427.93585205078125,211.63845825195312,425.809814453125,218.169677734375,441.3423156738281,214.65179443359375,442.268310546875,205.42742919921875,438.17120361328125,202.87696838378906,438.4064636230469,216.0819091796875,462.486572265625,213.1812286376953,463.6692199707031,213.44276428222656,487.0646667480469,206.82736206054688,490.8160095214844
3,1,,224.45947265625,402.2210388183594,225.4579315185547,400.182373046875,222.1649932861328,400.35736083984375,224.9737091064453,400.923828125,217.43177795410156,401.629638671875,218.99513244628906,411.2932434082031,215.26083374023438,410.8181457519531,214.35809326171875,427.4190368652344,211.5240478515625,425.7257995605469,217.96560668945312,440.7325134277344,214.67971801757812,441.7320556640625,205.55078125,437.9192199707031,203.2356414794922,437.8768310546875,212.8431854248047,463.8367004394531,212.84878540039062,463.8677978515625,208.15750122070312,489.0574035644531,207.28363037109375,490.8616943359375
4,1,,224.3997802734375,402.5557556152344,225.43319702148438,400.5245056152344,222.08355712890625,400.7023620605469,225.08360290527344,401.2247314453125,217.38560485839844,401.9181823730469,219.3213653564453,411.4612731933594,215.16329956054688,410.87200927734375,214.8207550048828,427.26934814453125,211.45358276367188,425.31353759765625,218.54055786132812,440.2253112792969,214.71142578125,440.87274169921875,205.8304901123047,437.7904357910156,203.27716064453125,437.6855163574219,212.87106323242188,463.6744384765625,212.92001342773438,463.6483154296875,207.8823699951172,489.0227355957031,207.59934997558594,490.7241516113281
5,1,,224.1932373046875,403.0125732421875,225.29843139648438,401.0128479003906,221.99191284179688,401.1490783691406,225.07489013671875,401.64697265625,217.47900390625,402.2271423339844,219.50686645507812,411.63525390625,214.9033203125,411.0762023925781,215.33384704589844,427.070556640625,211.44236755371094,425.2509765625,219.20370483398438,439.796630859375,214.71884155273438,439.8470153808594,206.13917541503906,437.7800598144531,203.3066864013672,437.6898193359375,212.98463439941406,463.4339294433594,212.9403839111328,463.453369140625,207.66766357421875,489.0428161621094,207.93356323242188,490.73565673828125
6,1,,224.18614196777344,403.4651794433594,225.2881622314453,401.46099853515625,221.9949493408203,401.5997619628906,225.05780029296875,402.03662109375,217.48426818847656,402.61822509765625,219.62091064453125,411.9373779296875,214.7162628173828,411.4605407714844,215.77279663085938,427.2657165527344,211.3263397216797,425.73687744140625,220.15423583984375,439.63714599609375,214.6222381591797,439.5333557128906,206.1895751953125,437.9118347167969,203.19346618652344,437.85125732421875,213.16448974609375,463.35101318359375,213.2308807373047,463.36865234375,207.46810913085938,489.0587158203125,208.07162475585938,490.6510314941406
7,1,,224.04515075683594,404.0229797363281,225.2644805908203,402.0137634277344,221.87001037597656,402.1177978515625,225.33770751953125,402.5915222167969,217.54110717773438,403.0660095214844,219.93284606933594,412.527099609375,214.67953491210938,411.91632080078125,216.18954467773438,427.7881774902344,211.2336883544922,426.06121826171875,221.08863830566406,439.5653076171875,214.8663330078125,439.1391296386719,206.2618408203125,438.1479797363281,203.0218963623047,438.0850830078125,213.73109436035156,463.189208984375,213.63766479492188,463.3119812011719,207.54034423828125,488.80419921875,207.82801818847656,490.6007080078125
8,1,,223.7419891357422,404.6903381347656,225.0408172607422,402.7027893066406,221.63018798828125,402.7862243652344,225.41317749023438,403.25201416015625,217.5700225830078,403.6611328125,220.13987731933594,413.14227294921875,214.63621520996094,412.447265625,216.3956756591797,428.593994140625,211.28062438964844,426.70892333984375,221.78431701660156,439.80078125,215.08514404296875,439.0489807128906,206.1702117919922,438.5022888183594,202.7316436767578,438.43536376953125,214.3084716796875,463.227783203125,214.3023223876953,463.39202880859375,207.8143768310547,488.62432861328125,207.7739715576172,490.5076599121094
9,1,,223.66873168945312,405.2945861816406,225.04220581054688,403.3251037597656,221.626220703125,403.3779602050781,225.54214477539062,403.9501647949219,217.69451904296875,404.2806091308594,220.21246337890625,413.84796142578125,214.55123901367188,413.1746826171875,216.5766143798828,429.4054870605469,211.13096618652344,427.6725158691406,222.41259765625,440.1809387207031,215.20150756835938,439.40142822265625,206.1007537841797,438.9502868652344,202.53009033203125,438.9112854003906,214.9164276123047,463.4336242675781,214.858642578125,463.62567138671875,208.3047637939453,488.6578369140625,207.75045776367188,490.5644836425781
