frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,193.74583435058594,272.33929443359375,195.3793487548828,270.1278381347656,192.2978057861328,270.6270751953125,200.241943359375,270.1036376953125,192.5274658203125,271.3079528808594,205.5664520263672,279.7987060546875,196.56748962402344,281.88543701171875,206.6142120361328,293.5468444824219,199.5059814453125,295.5459289550781,200.29083251953125,305.5660095214844,197.59104919433594,305.7185363769531,211.52137756347656,303.6212463378906,205.61622619628906,304.5199890136719,205.8072967529297,322.87744140625,203.203369140625,324.52301025390625,209.98069763183594,342.48797607421875,208.9663848876953,344.0793151855469
1,1,,193.5930938720703,272.51837158203125,195.249755859375,270.33941650390625,192.20266723632812,270.8172302246094,200.23707580566406,270.4045715332031,192.5356903076172,271.5238952636719,205.6510009765625,280.0264587402344,196.49749755859375,282.10162353515625,206.61666870117188,293.68231201171875,199.33050537109375,295.788330078125,200.2604522705078,305.73297119140625,197.56167602539062,305.96875,211.65054321289062,303.5335388183594,205.65089416503906,304.44189453125,205.89784240722656,322.5050048828125,203.35430908203125,324.2847900390625,209.72161865234375,341.7864990234375,208.99928283691406,343.60833740234375
2,1,,193.47286987304688,272.8129577636719,195.1490936279297,270.6419982910156,192.1248779296875,271.1142883300781,200.24563598632812,270.72021484375,192.5499267578125,271.8045349121094,205.68551635742188,280.248291015625,196.5299072265625,282.3243408203125,206.6214599609375,293.8310852050781,199.26922607421875,296.0213928222656,200.32061767578125,305.9006652832031,197.57281494140625,306.19476318359375,211.6846923828125,303.6004638671875,205.6699676513672,304.5018615722656,205.92724609375,322.4326171875,203.24578857421875,324.2327575683594,209.59361267089844,341.65716552734375,208.6924285888672,343.5072326660156
3,1,,193.52330017089844,273.38970947265625,195.20559692382812,271.23199462890625,192.19720458984375,271.69598388671875,200.33363342285156,271.30194091796875,192.66253662109375,272.3556823730469,205.8341522216797,280.6942443847656,196.62554931640625,282.7287902832031,206.65415954589844,294.27093505859375,199.2567901611328,296.40289306640625,200.37733459472656,306.2913818359375,197.65724182128906,306.5244140625,211.93739318847656,303.8183898925781,205.85035705566406,304.6780700683594,205.87962341308594,322.6075134277344,202.90664672851562,324.30682373046875,209.28012084960938,341.9887390136719,208.04354858398438,343.707275390625
4,1,,193.54324340820312,273.9662170410156,195.20477294921875,271.8116760253906,192.26388549804688,272.2714538574219,200.37628173828125,271.8658142089844,192.81231689453125,272.8823547363281,206.05935668945312,281.2306213378906,196.6967010498047,283.1392822265625,206.7139434814453,294.8165588378906,199.23989868164062,296.7787780761719,200.5775146484375,306.69744873046875,197.75791931152344,306.9371643066406,212.07156372070312,304.0591125488281,205.85092163085938,304.8303527832031,205.89051818847656,322.6730651855469,202.53466796875,324.1900329589844,209.01943969726562,342.1147766113281,207.5650634765625,343.60955810546875
5,1,,193.9410400390625,274.54498291015625,195.5736541748047,272.4026794433594,192.6131134033203,272.8609619140625,200.605712890625,272.4912109375,193.03558349609375,273.505126953125,206.386962890625,281.9132385253906,196.832275390625,283.6628112792969,206.92616271972656,295.600830078125,199.27162170410156,297.21826171875,200.671875,307.2659606933594,197.7925567626953,307.3600769042969,212.3038787841797,304.6448669433594,205.92027282714844,305.29681396484375,205.91644287109375,323.218017578125,202.09298706054688,324.4413146972656,208.59251403808594,342.8211975097656,207.02088928222656,343.9462585449219
6,1,,194.4210968017578,275.0722351074219,196.00315856933594,272.9239501953125,193.01895141601562,273.3937072753906,200.82093811035156,272.9949951171875,193.27745056152344,274.06146240234375,206.68511962890625,282.5284729003906,197.03472900390625,284.12091064453125,207.18215942382812,296.3940734863281,199.48146057128906,297.5495910644531,200.8217315673828,307.81524658203125,197.91461181640625,307.6756591796875,212.4561767578125,305.40191650390625,205.95242309570312,305.9299621582031,205.8601837158203,324.124755859375,201.3895263671875,324.99822998046875,208.31362915039062,344.1910400390625,206.25439453125,344.85986328125
7,1,,194.62474060058594,275.82037353515625,196.19007873535156,273.70611572265625,193.30450439453125,274.13702392578125,201.0413360595703,273.81719970703125,193.67820739746094,274.7702331542969,207.05621337890625,283.40240478515625,197.238525390625,284.65740966796875,207.34600830078125,297.3812561035156,199.55552673339844,297.90106201171875,200.85122680664062,308.3954162597656,198.0447235107422,308.0219421386719,212.53623962402344,306.1722717285156,205.8848114013672,306.50482177734375,205.84022521972656,324.73223876953125,200.82028198242188,325.2518005371094,208.03268432617188,344.9966735839844,205.7606658935547,345.2582702636719
8,1,,194.90260314941406,276.4443664550781,196.45114135742188,274.3292236328125,193.58541870117188,274.75579833984375,201.25274658203125,274.4615478515625,193.95497131347656,275.4021911621094,207.3297882080078,284.12060546875,197.5064697265625,285.2270202636719,207.5714874267578,298.2698059082031,199.75491333007812,298.3711242675781,200.8434295654297,309.1033935546875,198.1799774169922,308.4740295410156,212.66668701171875,306.9212951660156,205.9921417236328,307.1686096191406,205.39120483398438,324.8802795410156,200.11911010742188,325.33367919921875,207.83148193359375,345.4934997558594,205.4253692626953,345.7204895019531
9,1,,195.14625549316406,277.26239013671875,196.6926727294922,275.1630554199219,193.8490753173828,275.57568359375,201.52500915527344,275.3320007324219,194.28269958496094,276.2098693847656,207.58920288085938,284.8807373046875,197.93312072753906,285.9516906738281,207.88925170898438,298.8334045410156,199.892578125,298.97955322265625,200.90892028808594,309.5125427246094,198.41940307617188,309.0774230957031,213.01316833496094,307.6300048828125,206.4572296142578,307.8667907714844,205.1624755859375,325.22283935546875,200.26406860351562,325.78485107421875,207.65689086914062,346.0896301269531,205.2481231689453,346.5447082519531
10,1,,195.15554809570312,278.01416015625,196.70545959472656,275.9143371582031,193.90748596191406,276.3240051269531,201.6743927001953,276.0560302734375,194.48147583007812,276.87811279296875,207.7417449951172,285.4716491699219,198.312744140625,286.48370361328125,208.04745483398438,299.2700500488281,199.98934936523438,299.4357604980469,201.0621337890625,309.7458801269531,198.7046661376953,309.55364990234375,213.20726013183594,308.0332946777344,206.82647705078125,308.25323486328125,204.6636505126953,324.8197326660156,200.30445861816406,325.5308532714844,207.62130737304688,345.7383117675781,205.1966094970703,346.4779357910156
11,1,,195.38046264648438,278.79949951171875,196.94662475585938,276.6790771484375,194.12770080566406,277.11187744140625,202.00814819335938,276.79241943359375,194.74722290039062,277.6314392089844,207.94126892089844,286.06610107421875,198.83438110351562,287.10760498046875,208.20785522460938,299.77227783203125,200.1687469482422,299.96417236328125,201.19187927246094,309.9797058105469,198.9010772705078,309.9126892089844,213.4945526123047,308.5392761230469,207.39418029785156,308.79718017578125,203.7108154296875,324.2574768066406,200.4195098876953,325.2671203613281,207.51480102539062,345.561767578125,205.42689514160156,346.783203125
