frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,190.73989868164062,270.7933349609375,192.5299835205078,268.9720153808594,188.94549560546875,269.1913757324219,196.05152893066406,270.1157531738281,187.36740112304688,270.6116638183594,200.21267700195312,279.8996887207031,188.89991760253906,280.54876708984375,200.8119659423828,294.2237243652344,192.71148681640625,293.92626953125,195.93313598632812,304.3616027832031,191.8673858642578,303.92254638671875,204.5909423828125,304.0396423339844,196.42901611328125,304.4618835449219,204.68601989746094,325.36279296875,193.61708068847656,325.63372802734375,207.36883544921875,347.74542236328125,198.30613708496094,347.6648864746094
1,1,,190.7202606201172,270.7884521484375,192.50970458984375,268.97015380859375,188.9287872314453,269.19195556640625,196.03443908691406,270.1142883300781,187.35650634765625,270.6165466308594,200.18264770507812,279.8663330078125,188.90167236328125,280.54669189453125,200.7625732421875,294.13812255859375,192.69456481933594,293.9296569824219,195.8504638671875,304.3358459472656,191.9375762939453,303.93109130859375,204.55349731445312,304.046630859375,196.4144287109375,304.47991943359375,204.61163330078125,325.38092041015625,193.63064575195312,325.6591796875,207.34165954589844,347.765380859375,198.30416870117188,347.6633605957031
2,1,,190.63922119140625,270.7403259277344,192.4193115234375,268.9334716796875,188.84671020507812,269.1584167480469,195.92098999023438,270.12530517578125,187.26898193359375,270.63580322265625,200.1100311279297,279.88714599609375,188.78958129882812,280.5986633300781,200.73590087890625,294.1110534667969,192.63307189941406,293.9824523925781,195.76129150390625,304.3121643066406,191.92947387695312,303.93499755859375,204.52377319335938,304.0434265136719,196.3547821044922,304.48809814453125,204.59384155273438,325.3866271972656,193.6107940673828,325.6632995605469,207.33358764648438,347.800537109375,198.29196166992188,347.66461181640625
3,1,,190.5230255126953,270.68896484375,192.2918243408203,268.89630126953125,188.73594665527344,269.1248779296875,195.77337646484375,270.1305847167969,187.1638641357422,270.65081787109375,199.99600219726562,279.8698425292969,188.66632080078125,280.63330078125,200.681396484375,294.010986328125,192.5422821044922,294.017333984375,195.66502380371094,304.2745056152344,191.90757751464844,303.9287109375,204.44430541992188,304.0144348144531,196.26853942871094,304.48040771484375,204.5257568359375,325.3873596191406,193.59828186035156,325.6763000488281,207.3140869140625,347.8309631347656,198.27532958984375,347.6647644042969
4,1,,190.37945556640625,270.6236267089844,192.14324951171875,268.8443298339844,188.58628845214844,269.08197021484375,195.63536071777344,270.1291809082031,187.01336669921875,270.6740417480469,199.95651245117188,279.8857727050781,188.48187255859375,280.697998046875,200.63616943359375,294.0062255859375,192.41395568847656,294.0934143066406,195.50848388671875,304.2999572753906,191.81076049804688,303.8918151855469,204.39593505859375,303.9573669433594,196.12071228027344,304.44110107421875,204.48675537109375,325.3630065917969,193.61166381835938,325.66009521484375,207.3003692626953,347.8365783691406,198.32131958007812,347.64849853515625
5,1,,190.20767211914062,270.5360107421875,191.96315002441406,268.77105712890625,188.41989135742188,269.0157775878906,195.4821014404297,270.0912780761719,186.8721160888672,270.6556091308594,199.931640625,279.8766784667969,188.31883239746094,280.7169189453125,200.6127166748047,293.97674560546875,192.29595947265625,294.1065673828125,195.37271118164062,304.27923583984375,191.72488403320312,303.86749267578125,204.3645782470703,303.9282531738281,195.99203491210938,304.4209289550781,204.4964141845703,325.3497314453125,193.6165771484375,325.6470642089844,207.31094360351562,347.8287048339844,198.37400817871094,347.6311340332031
6,1,,190.0014190673828,270.46307373046875,191.75038146972656,268.707763671875,188.21694946289062,268.96368408203125,195.30601501464844,270.0621032714844,186.69842529296875,270.6573791503906,199.88819885253906,279.8809814453125,188.13104248046875,280.76812744140625,200.56524658203125,293.9461975097656,192.1355438232422,294.1461486816406,195.2362060546875,304.2542419433594,191.55308532714844,303.8348388671875,204.30148315429688,303.9142150878906,195.8294677734375,304.4235534667969,204.4943389892578,325.33489990234375,193.5950927734375,325.6431579589844,207.32723999023438,347.81573486328125,198.4434356689453,347.624755859375
7,1,,189.8340301513672,270.44873046875,191.57992553710938,268.6862487792969,188.05043029785156,268.9613342285156,195.19662475585938,270.02020263671875,186.57131958007812,270.6682434082031,199.88990783691406,279.8399963378906,188.03208923339844,280.80657958984375,200.49586486816406,293.88720703125,191.9984130859375,294.2056884765625,195.10687255859375,304.2489318847656,191.3821258544922,303.8238525390625,204.24522399902344,303.86627197265625,195.7058868408203,304.4029846191406,204.49017333984375,325.2920227050781,193.588623046875,325.628173828125,207.32472229003906,347.75909423828125,198.50965881347656,347.6018981933594
8,1,,189.67359924316406,270.46478271484375,191.3607177734375,268.6814880371094,187.85562133789062,269.0047607421875,194.93617248535156,269.9302062988281,186.37673950195312,270.70654296875,199.72482299804688,279.7297058105469,187.9988555908203,280.79388427734375,200.40286254882812,293.77081298828125,191.79615783691406,294.20257568359375,195.08636474609375,304.37152099609375,191.11392211914062,303.862548828125,203.88185119628906,303.8263244628906,195.4540557861328,304.3948669433594,204.2898406982422,325.2477111816406,193.59751892089844,325.5654602050781,207.45542907714844,347.7052917480469,198.6914520263672,347.4686279296875
9,1,,189.58595275878906,270.49688720703125,191.2095184326172,268.6915283203125,187.73471069335938,269.0599060058594,194.69810485839844,269.8523864746094,186.24085998535156,270.74749755859375,199.50352478027344,279.6011657714844,188.0237579345703,280.77044677734375,200.28607177734375,293.6112060546875,191.63092041015625,294.2052917480469,195.11160278320312,304.4371032714844,190.9005584716797,303.92108154296875,203.5203094482422,303.8053283691406,195.28659057617188,304.41119384765625,204.03443908691406,325.2235412597656,193.5965118408203,325.5382385253906,207.51046752929688,347.6710205078125,198.81552124023438,347.3602294921875
