frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,222.16311645507812,128.61941528320312,225.02658081054688,126.20965576171875,219.35325622558594,125.7052230834961,227.49298095703125,128.61868286132812,214.2910919189453,127.14830017089844,227.28257751464844,143.5921173095703,213.79086303710938,142.66436767578125,226.17129516601562,166.35267639160156,215.94581604003906,164.45956420898438,219.47938537597656,184.12315368652344,212.35638427734375,179.6178741455078,230.40249633789062,180.06866455078125,220.45570373535156,179.71502685546875,226.74949645996094,207.98147583007812,213.76600646972656,208.496337890625,232.2156219482422,240.51980590820312,215.3291473388672,239.68692016601562
1,1,,222.016357421875,129.1973114013672,224.9541015625,126.80462646484375,219.23004150390625,126.17241668701172,227.39840698242188,129.1713104248047,214.04446411132812,127.401611328125,227.2718963623047,144.0272216796875,213.21885681152344,143.05337524414062,226.71250915527344,166.5332794189453,215.93948364257812,164.78439331054688,219.657470703125,184.41571044921875,212.50506591796875,179.96926879882812,230.7289276123047,180.2647705078125,220.47299194335938,180.00535583496094,226.45233154296875,208.04107666015625,213.611083984375,208.94483947753906,232.008544921875,240.28085327148438,215.5529327392578,240.2305450439453
2,1,,221.94410705566406,129.68637084960938,224.7993927001953,127.27405548095703,219.15626525878906,126.6863021850586,227.13821411132812,129.5540771484375,213.9163818359375,127.89517211914062,227.27964782714844,144.40829467773438,212.93942260742188,143.508056640625,226.9426727294922,166.95176696777344,215.6575469970703,165.1423797607422,219.61105346679688,184.905029296875,212.44192504882812,180.4814910888672,230.92706298828125,180.37313842773438,220.51480102539062,180.1815643310547,226.06121826171875,208.12979125976562,213.3467254638672,209.2961883544922,232.04627990722656,240.32766723632812,215.81231689453125,240.69561767578125
3,1,,221.64993286132812,130.7061004638672,224.54132080078125,128.28224182128906,218.87130737304688,127.67828369140625,226.90655517578125,130.5171661376953,213.62538146972656,128.847412109375,227.2606658935547,145.39959716796875,212.47052001953125,144.4508514404297,227.5709228515625,167.91078186035156,215.45481872558594,165.96139526367188,219.57421875,185.79977416992188,212.37710571289062,181.51123046875,230.98316955566406,181.00901794433594,220.3033905029297,180.82667541503906,225.33212280273438,208.4349365234375,212.4303436279297,209.51089477539062,231.84912109375,240.35409545898438,215.5709686279297,240.79522705078125
4,1,,221.43202209472656,131.68267822265625,224.30410766601562,129.26817321777344,218.69448852539062,128.66485595703125,226.583251953125,131.49258422851562,213.41738891601562,129.84164428710938,227.07281494140625,146.40040588378906,211.99298095703125,145.43475341796875,228.1868133544922,168.71014404296875,215.16650390625,166.67108154296875,219.5908203125,186.59007263183594,212.4005889892578,182.4506378173828,230.7211456298828,181.7836151123047,219.91590881347656,181.58616638183594,224.1667938232422,208.71649169921875,211.3520965576172,209.77725219726562,231.62269592285156,240.34085083007812,215.2122344970703,240.8018798828125
5,1,,221.2914276123047,132.55441284179688,224.12252807617188,130.1280517578125,218.5754852294922,129.5789337158203,226.35972595214844,132.3236541748047,213.34439086914062,130.83340454101562,227.03038024902344,147.35736083984375,211.7842254638672,146.45436096191406,228.87059020996094,169.53285217285156,215.001220703125,167.41331481933594,219.6851348876953,187.3081817626953,212.34336853027344,183.60862731933594,230.32931518554688,182.68923950195312,219.49127197265625,182.51219177246094,223.07315063476562,209.27682495117188,210.36355590820312,210.44284057617188,231.49029541015625,240.3525390625,215.0507049560547,241.06011962890625
6,1,,221.29258728027344,133.22190856933594,224.00588989257812,130.78628540039062,218.5717010498047,130.35574340820312,226.12855529785156,133.02061462402344,213.36915588378906,131.83827209472656,226.90907287597656,148.1661834716797,211.9920654296875,147.26318359375,229.2123260498047,170.41844177246094,214.7555694580078,168.03567504882812,219.65420532226562,188.0166778564453,212.1029815673828,184.54766845703125,229.62840270996094,183.6464080810547,218.9994659423828,183.3184814453125,222.30429077148438,209.60780334472656,209.3341064453125,210.3951416015625,231.58299255371094,240.60678100585938,214.52352905273438,240.60781860351562
7,1,,221.3045196533203,133.75025939941406,224.04364013671875,131.32315063476562,218.587890625,130.9022674560547,226.1893768310547,133.67041015625,213.41104125976562,132.53921508789062,226.9021453857422,148.87657165527344,212.13699340820312,147.96324157714844,229.7432098388672,170.96128845214844,214.6289520263672,168.70181274414062,219.8323211669922,188.358642578125,211.98458862304688,185.34666442871094,229.0417022705078,184.6275634765625,218.51925659179688,184.1639862060547,221.76234436035156,209.90614318847656,208.42030334472656,210.26214599609375,231.56063842773438,240.69931030273438,213.92422485351562,239.9940643310547
8,1,,221.4872589111328,133.99903869628906,224.20333862304688,131.55860900878906,218.7300567626953,131.18357849121094,226.31820678710938,133.9595489501953,213.52969360351562,132.9634552001953,226.97445678710938,149.30328369140625,212.45889282226562,148.45486450195312,230.1773681640625,171.2479705810547,214.88131713867188,169.07803344726562,220.00454711914062,188.39834594726562,211.96694946289062,185.79812622070312,228.6163787841797,185.41929626464844,218.29721069335938,184.9347686767578,221.17715454101562,210.2097625732422,207.9737548828125,210.53463745117188,231.63577270507812,240.6887664794922,213.94822692871094,239.9445037841797
9,1,,221.68028259277344,134.07278442382812,224.4524383544922,131.6223907470703,218.89340209960938,131.2252655029297,226.6357421875,134.0880584716797,213.69302368164062,133.0636444091797,227.27098083496094,149.61758422851562,212.75335693359375,148.67333984375,230.5792236328125,171.7294921875,215.05130004882812,169.45236206054688,220.03778076171875,188.4014129638672,212.00918579101562,186.15707397460938,228.71682739257812,185.9599609375,218.4025421142578,185.42892456054688,221.05743408203125,210.42593383789062,207.763916015625,210.54722595214844,231.73780822753906,240.67913818359375,214.1781768798828,239.83006286621094
10,1,,221.85299682617188,134.0858154296875,224.7008819580078,131.6661834716797,219.10614013671875,131.18356323242188,226.91151428222656,134.1833038330078,213.87942504882812,132.94500732421875,227.42587280273438,149.71925354003906,212.78790283203125,148.60276794433594,230.880126953125,171.8789520263672,214.98699951171875,169.62283325195312,220.0991973876953,188.24703979492188,212.08819580078125,186.51718139648438,228.8826141357422,186.16961669921875,218.5108184814453,185.55714416503906,220.9996337890625,210.52255249023438,207.6141357421875,210.49537658691406,231.85952758789062,240.70819091796875,214.36868286132812,239.68411254882812
11,1,,221.9694366455078,134.0128173828125,224.94754028320312,131.62803649902344,219.2761688232422,131.05015563964844,227.27835083007812,134.19908142089844,214.09178161621094,132.7161865234375,227.57481384277344,149.78707885742188,212.77940368652344,148.48770141601562,231.1805877685547,171.9080047607422,215.10769653320312,169.59141540527344,220.17115783691406,188.00125122070312,212.29312133789062,186.73760986328125,229.0418701171875,186.30055236816406,218.62496948242188,185.66441345214844,220.72071838378906,210.76235961914062,207.5232696533203,210.76553344726562,231.85316467285156,240.6614532470703,214.656005859375,239.8073272705078
12,1,,222.06378173828125,133.94618225097656,225.15512084960938,131.62161254882812,219.45321655273438,130.92205810546875,227.55355834960938,134.18890380859375,214.29908752441406,132.38783264160156,227.618896484375,149.76560974121094,212.68858337402344,148.11553955078125,231.4071502685547,171.9805145263672,215.2025909423828,169.21160888671875,220.1716766357422,187.8275604248047,212.3997344970703,186.67254638671875,229.06777954101562,186.40567016601562,218.61495971679688,185.69329833984375,220.43508911132812,210.94091796875,207.4264373779297,210.9712371826172,231.78651428222656,240.5673370361328,214.8705291748047,239.9055938720703
13,1,,222.1827850341797,133.99607849121094,225.33447265625,131.7351531982422,219.67160034179688,130.9088592529297,227.68251037597656,134.29324340820312,214.4387969970703,132.14007568359375,227.54429626464844,149.69529724121094,212.37025451660156,147.73814392089844,231.468017578125,171.9314422607422,214.7099609375,168.92886352539062,220.21054077148438,187.7889862060547,212.43727111816406,186.84140014648438,229.22337341308594,186.28427124023438,218.65428161621094,185.46112060546875,220.36236572265625,211.01492309570312,207.3636016845703,211.0986785888672,231.83348083496094,240.6106414794922,214.94464111328125,239.9480743408203
14,1,,222.2696533203125,134.15618896484375,225.46337890625,131.93324279785156,219.8000030517578,131.0294952392578,227.79156494140625,134.5048370361328,214.5310821533203,132.1502227783203,227.4679718017578,149.8497772216797,212.33087158203125,147.6700439453125,231.49588012695312,172.04129028320312,214.6891326904297,168.796142578125,220.17181396484375,187.8782196044922,212.52598571777344,187.09718322753906,229.1151885986328,186.45533752441406,218.58531188964844,185.5720672607422,220.174560546875,211.01612854003906,207.26097106933594,211.1397247314453,231.81910705566406,240.49996948242188,215.0286865234375,239.9549560546875
15,1,,222.18899536132812,134.3402099609375,225.4151611328125,132.13880920410156,219.73048400878906,131.21121215820312,227.80284118652344,134.7705535888672,214.50396728515625,132.3681640625,227.44931030273438,150.20286560058594,212.24534606933594,147.8513641357422,231.44723510742188,172.35385131835938,214.42578125,168.6728973388672,220.01425170898438,187.99758911132812,212.11361694335938,186.87318420410156,228.81466674804688,186.74169921875,218.2310028076172,185.833251953125,219.96792602539062,211.05567932128906,207.04367065429688,211.1378631591797,231.8290557861328,240.30776977539062,214.97247314453125,239.88665771484375
16,1,,222.05892944335938,134.60491943359375,225.28054809570312,132.3919677734375,219.58657836914062,131.4748077392578,227.68594360351562,134.99342346191406,214.37136840820312,132.62869262695312,227.37742614746094,150.56491088867188,212.09437561035156,148.06497192382812,231.41571044921875,172.83714294433594,214.15505981445312,168.71031188964844,219.84402465820312,188.2244873046875,211.797607421875,186.9502716064453,228.4604949951172,187.0346221923828,217.8235321044922,186.10470581054688,219.6612091064453,211.12994384765625,206.76007080078125,211.16030883789062,231.751220703125,240.17416381835938,214.82640075683594,239.86500549316406
17,1,,221.94195556640625,134.9560089111328,225.14503479003906,132.70065307617188,219.408447265625,131.83241271972656,227.54299926757812,135.27212524414062,214.16351318359375,133.05224609375,227.2033233642578,150.99566650390625,212.0634307861328,148.48585510253906,231.37579345703125,173.3469696044922,214.0819549560547,169.044189453125,219.68565368652344,188.36538696289062,211.57774353027344,187.24720764160156,227.9312744140625,187.41769409179688,217.40228271484375,186.50048828125,219.1111297607422,211.24378967285156,206.403076171875,211.2211456298828,231.6717529296875,240.05543518066406,214.7116241455078,239.82147216796875
18,1,,221.7499542236328,135.26768493652344,224.95407104492188,132.99322509765625,219.189453125,132.14688110351562,227.38192749023438,135.59420776367188,213.98147583007812,133.45155334472656,227.0223846435547,151.48133850097656,212.02528381347656,148.9160614013672,231.31297302246094,173.92242431640625,214.04844665527344,169.43832397460938,219.4743194580078,188.51620483398438,211.44886779785156,187.65306091308594,227.36558532714844,187.8060760498047,216.93057250976562,186.88174438476562,218.56259155273438,211.28274536132812,205.9933319091797,211.1941680908203,231.5442352294922,239.90541076660156,214.53973388671875,239.74319458007812
19,1,,221.5087432861328,135.63546752929688,224.68563842773438,133.34974670410156,218.9476318359375,132.53546142578125,227.10125732421875,135.9032745361328,213.76483154296875,133.84332275390625,226.8189239501953,151.75753784179688,211.83770751953125,149.2210235595703,231.27696228027344,174.2346954345703,213.81588745117188,169.78060913085938,219.40464782714844,188.53817749023438,211.27651977539062,187.94993591308594,227.07411193847656,187.93191528320312,216.67123413085938,186.99020385742188,218.06790161132812,211.34219360351562,205.63507080078125,211.1839141845703,231.36398315429688,239.96641540527344,214.28688049316406,239.67831420898438
20,1,,221.3980255126953,136.02786254882812,224.56344604492188,133.72157287597656,218.8135528564453,132.9193572998047,226.9480743408203,136.21124267578125,213.5771026611328,134.1849822998047,226.72877502441406,151.96925354003906,211.67897033691406,149.47164916992188,231.3656463623047,174.5039520263672,213.6477508544922,170.2552032470703,219.39697265625,188.57742309570312,211.47598266601562,188.6276092529297,227.11068725585938,188.04811096191406,216.69029235839844,187.08499145507812,217.6177215576172,211.33441162109375,205.35650634765625,211.06182861328125,231.1654815673828,240.1143035888672,214.1834716796875,239.62014770507812
21,1,,221.3196258544922,136.3830108642578,224.46539306640625,134.05148315429688,218.7049560546875,133.28814697265625,226.83465576171875,136.5303497314453,213.4114532470703,134.60618591308594,226.70541381835938,152.2285919189453,211.42889404296875,149.8382568359375,231.3296661376953,174.7311248779297,213.0614013671875,170.73863220214844,219.34608459472656,188.61178588867188,211.5121612548828,189.1610107421875,227.16477966308594,188.1451873779297,216.63189697265625,187.18682861328125,217.1716766357422,211.3254852294922,205.09947204589844,210.92213439941406,231.02256774902344,240.24253845214844,214.12371826171875,239.4946746826172
22,1,,221.18507385253906,136.71722412109375,224.3172149658203,134.36268615722656,218.53977966308594,133.64407348632812,226.71788024902344,136.88534545898438,213.2559051513672,135.07339477539062,226.75704956054688,152.5535888671875,211.3483428955078,150.27011108398438,231.236572265625,175.03819274902344,212.76806640625,171.24659729003906,219.29620361328125,188.69876098632812,211.65919494628906,189.6500244140625,227.5751190185547,188.13363647460938,216.94088745117188,187.15823364257812,216.8692626953125,211.27618408203125,204.85006713867188,210.6674041748047,230.92616271972656,240.3900146484375,213.76922607421875,239.2675018310547
23,1,,221.1090545654297,137.03213500976562,224.2009735107422,134.6309051513672,218.4039764404297,133.99493408203125,226.57144165039062,137.105224609375,213.03173828125,135.48822021484375,226.734130859375,152.74267578125,211.283447265625,150.6450958251953,231.1676025390625,175.30368041992188,212.4910888671875,171.6765594482422,219.26121520996094,188.902099609375,211.48106384277344,189.7283172607422,227.90464782714844,188.23989868164062,217.25390625,187.24557495117188,216.43064880371094,211.28085327148438,204.56793212890625,210.5867156982422,231.01089477539062,240.47152709960938,213.35699462890625,238.97488403320312
24,1,,221.04000854492188,137.24050903320312,224.12078857421875,134.79063415527344,218.26934814453125,134.23548889160156,226.50271606445312,137.2799530029297,212.84132385253906,135.8572540283203,226.66384887695312,152.95578002929688,211.40744018554688,151.02369689941406,231.11004638671875,175.5338897705078,212.5686492919922,172.01577758789062,219.20069885253906,189.10610961914062,211.33135986328125,189.6708526611328,227.94711303710938,188.4100341796875,217.41757202148438,187.367431640625,215.9320068359375,211.33407592773438,204.11741638183594,210.52928161621094,231.14857482910156,240.4558868408203,212.84716796875,238.53384399414062
