frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,202.8274383544922,267.2969665527344,203.60914611816406,265.340576171875,202.1015625,265.5704345703125,206.09681701660156,264.86614990234375,203.03973388671875,265.0464172363281,211.42477416992188,271.9589538574219,207.11512756347656,273.00946044921875,214.86903381347656,287.28973388671875,209.7378692626953,288.3731994628906,216.28170776367188,299.41827392578125,208.54150390625,298.0517883300781,222.25088500976562,294.7116394042969,219.46571350097656,295.3978576660156,208.9383544921875,313.4967956542969,207.556396484375,315.42822265625,216.80609130859375,338.9064025878906,215.72079467773438,340.6456298828125
1,1,,202.97410583496094,267.0581359863281,203.81655883789062,265.0909423828125,202.07632446289062,265.347412109375,206.32733154296875,264.7755432128906,202.64541625976562,265.0322265625,211.5378875732422,272.009033203125,206.68775939941406,273.1352844238281,214.83465576171875,287.1416320800781,209.62826538085938,288.2322998046875,216.41476440429688,299.32330322265625,208.83462524414062,298.1135559082031,222.31982421875,294.5757751464844,219.1196746826172,295.36474609375,209.23228454589844,312.6016845703125,207.14393615722656,314.8648681640625,217.02389526367188,337.9583435058594,215.81329345703125,340.2083435058594
2,1,,203.0570526123047,266.96600341796875,203.9230499267578,264.9841003417969,202.05618286132812,265.2553405761719,206.40216064453125,264.7204895019531,202.391357421875,265.0211181640625,211.49716186523438,272.0282897949219,206.4709930419922,273.20965576171875,214.7950897216797,287.130859375,209.564208984375,288.2276306152344,216.51602172851562,299.3230285644531,208.93649291992188,298.1968688964844,222.3113250732422,294.49871826171875,218.98028564453125,295.3638610839844,209.2550048828125,312.0706787109375,206.91226196289062,314.5945129394531,217.1181182861328,337.15716552734375,215.90402221679688,339.8135986328125
3,1,,203.15267944335938,266.9712219238281,204.0537109375,264.984375,202.025390625,265.2648620605469,206.50099182128906,264.7655029296875,202.05511474609375,265.09674072265625,211.4909210205078,272.0877380371094,206.12179565429688,273.2405700683594,214.72531127929688,287.03857421875,209.42881774902344,288.0308532714844,216.70248413085938,299.14422607421875,209.12368774414062,298.1521301269531,222.3224334716797,294.41741943359375,218.72317504882812,295.3061828613281,209.57188415527344,311.3719787597656,206.5231475830078,313.9718933105469,217.30361938476562,336.2777099609375,216.02597045898438,339.0679016113281
4,1,,203.21762084960938,266.7532653808594,204.22023010253906,264.7281799316406,201.93954467773438,265.0229797363281,206.748779296875,264.60955810546875,201.6473388671875,264.9894104003906,211.5574493408203,272.12738037109375,205.70639038085938,273.34063720703125,214.70973205566406,287.0460205078125,209.24754333496094,288.0872497558594,216.843505859375,299.02020263671875,208.9358673095703,298.3136901855469,222.3284454345703,294.4019470214844,218.3704376220703,295.3534851074219,209.8043975830078,310.9902648925781,206.14361572265625,313.7659912109375,217.4971466064453,335.9677429199219,216.04129028320312,339.0296936035156
5,1,,203.11549377441406,266.46234130859375,204.2002410888672,264.4159851074219,201.78269958496094,264.7006530761719,206.78013610839844,264.4251403808594,201.34286499023438,264.78692626953125,211.45291137695312,272.19140625,205.28109741210938,273.4777526855469,214.71710205078125,287.1415100097656,208.84864807128906,288.17431640625,216.8681640625,299.05255126953125,208.28289794921875,298.23486328125,222.30503845214844,294.3185119628906,218.12644958496094,295.3694763183594,209.87896728515625,310.3591003417969,205.82308959960938,313.5060729980469,217.6431884765625,335.11932373046875,216.01271057128906,338.77191162109375
6,1,,202.94219970703125,266.4764709472656,204.02340698242188,264.4450988769531,201.70066833496094,264.6937561035156,206.57913208007812,264.4383544921875,201.41209411621094,264.7101745605469,211.33633422851562,272.25457763671875,205.23208618164062,273.43035888671875,214.72691345214844,287.33294677734375,208.60443115234375,288.2851257324219,216.8934326171875,299.1109313964844,207.8220672607422,298.1983642578125,222.25668334960938,294.3190002441406,218.13475036621094,295.2782287597656,210.03936767578125,310.4983825683594,205.7440948486328,313.3468933105469,217.63453674316406,335.11260986328125,215.90921020507812,338.3254089355469
7,1,,202.85153198242188,266.5259094238281,203.92236328125,264.5069885253906,201.65914916992188,264.73431396484375,206.45545959472656,264.5133056640625,201.45265197753906,264.73687744140625,211.3795928955078,272.4163513183594,205.1636505126953,273.4696044921875,214.80886840820312,287.5889892578125,208.47438049316406,288.455322265625,216.99119567871094,299.1574401855469,207.5577850341797,298.323486328125,222.2720947265625,294.40203857421875,218.0703125,295.2375793457031,210.3000946044922,310.7210998535156,205.6472625732422,313.1268310546875,217.58409118652344,335.5160827636719,215.75624084472656,338.0761413574219
8,1,,202.74163818359375,266.5377502441406,203.76272583007812,264.53118896484375,201.61387634277344,264.75177001953125,206.25216674804688,264.5556945800781,201.54197692871094,264.76959228515625,211.44505310058594,272.5082092285156,205.11514282226562,273.5290222167969,214.85198974609375,287.8442687988281,208.3474884033203,288.7103271484375,216.91781616210938,299.4154052734375,207.19915771484375,298.4682312011719,222.2054901123047,294.4676818847656,217.9205322265625,295.2351379394531,210.42169189453125,310.87890625,205.5612030029297,313.01416015625,217.57809448242188,335.89141845703125,215.70152282714844,338.0409240722656
9,1,,202.5271453857422,266.6824951171875,203.467041015625,264.7086486816406,201.5357666015625,264.91082763671875,205.90423583984375,264.7207336425781,201.7729949951172,264.8825378417969,211.32997131347656,272.6598205566406,205.3528289794922,273.5867004394531,214.82257080078125,288.02130126953125,208.43580627441406,288.8258056640625,216.82151794433594,299.53692626953125,207.5188751220703,298.5612487792969,222.13685607910156,294.52215576171875,218.09906005859375,295.21185302734375,210.3577880859375,310.6925048828125,205.5858917236328,312.63580322265625,217.43783569335938,335.5721130371094,215.5693359375,337.4739990234375
10,1,,202.3859100341797,266.9647521972656,203.2261962890625,265.0137939453125,201.46922302246094,265.2380676269531,205.63748168945312,264.953857421875,201.92697143554688,265.1669921875,211.3411407470703,272.6965637207031,205.51754760742188,273.64105224609375,214.7508544921875,288.10308837890625,208.51478576660156,288.9381103515625,216.68789672851562,299.68267822265625,207.88494873046875,298.5124816894531,221.95330810546875,294.7978515625,218.02357482910156,295.4717712402344,210.10443115234375,310.9800720214844,205.7761993408203,312.831298828125,217.44554138183594,336.17950439453125,215.65452575683594,337.9206848144531
11,1,,202.3455352783203,267.1212158203125,203.15769958496094,265.1717529296875,201.43499755859375,265.42333984375,205.6113739013672,265.0971984863281,201.96902465820312,265.3810729980469,211.3409881591797,272.7554626464844,205.63352966308594,273.8099060058594,214.58984375,288.1199645996094,208.43055725097656,289.0215759277344,216.2770233154297,299.59381103515625,207.8678741455078,298.2715148925781,221.7480010986328,295.0230712890625,217.91436767578125,295.7691650390625,209.63148498535156,310.943603515625,205.8983154296875,313.0404052734375,217.3958740234375,336.1296081542969,215.69284057617188,338.2700500488281
12,1,,202.33717346191406,267.1944885253906,203.1761016845703,265.2537536621094,201.39137268066406,265.52337646484375,205.7390899658203,265.2106018066406,201.8867645263672,265.5396423339844,211.3715057373047,272.79443359375,205.52183532714844,273.94085693359375,214.4226531982422,288.024169921875,208.2312774658203,288.9290466308594,215.72389221191406,299.47216796875,207.90322875976562,298.1124572753906,221.50628662109375,295.3020935058594,217.56173706054688,296.1642761230469,209.43283081054688,311.1061706542969,205.94107055664062,313.6861267089844,217.54725646972656,336.2924499511719,215.66343688964844,339.2225341796875
13,1,,202.45184326171875,267.4064025878906,203.32513427734375,265.474609375,201.4627227783203,265.7512512207031,205.95709228515625,265.4159851074219,201.83120727539062,265.7682800292969,211.51483154296875,272.9933166503906,205.07135009765625,274.1505126953125,214.41419982910156,288.09130859375,206.97715759277344,288.686767578125,215.34352111816406,299.38031005859375,206.90798950195312,297.52386474609375,221.1805419921875,295.68255615234375,216.87213134765625,296.6743469238281,209.78973388671875,311.4117431640625,206.16226196289062,314.4971618652344,217.58901977539062,336.2893371582031,215.46400451660156,340.1427917480469
14,1,,202.80030822753906,267.3299865722656,203.74876403808594,265.39031982421875,201.62644958496094,265.67449951171875,206.3955841064453,265.420166015625,201.51632690429688,265.808837890625,211.80718994140625,273.18048095703125,204.29554748535156,274.3569030761719,214.4938507080078,288.2904968261719,205.7831268310547,288.58740234375,214.99847412109375,299.5449523925781,205.89195251464844,297.2353210449219,220.8975372314453,295.99432373046875,215.88690185546875,297.12939453125,210.28427124023438,311.6614990234375,206.2604217529297,315.25677490234375,217.65650939941406,336.2518005371094,215.4309844970703,341.0068054199219
15,1,,203.14181518554688,267.0392761230469,204.22987365722656,265.0795593261719,201.78012084960938,265.33624267578125,206.92396545410156,265.3282165527344,201.16705322265625,265.6615295410156,212.00926208496094,273.536376953125,203.5803680419922,274.62060546875,214.44964599609375,288.7394104003906,205.13754272460938,288.71820068359375,214.36997985839844,299.8775329589844,205.42730712890625,297.5644836425781,220.70669555664062,296.1841125488281,215.03956604003906,297.3831481933594,210.9619598388672,311.7103271484375,206.2548828125,315.6668395996094,217.76573181152344,336.155029296875,215.15968322753906,341.6022033691406
16,1,,203.08938598632812,266.8931884765625,204.27728271484375,264.9122619628906,201.69754028320312,265.14129638671875,207.12368774414062,265.2905578613281,201.00057983398438,265.557373046875,212.17266845703125,273.8223571777344,203.0907745361328,274.84490966796875,214.45932006835938,289.25714111328125,204.82005310058594,289.02410888671875,213.80239868164062,300.41070556640625,205.0142822265625,297.9584045410156,220.54473876953125,296.3459777832031,214.37796020507812,297.57452392578125,211.8321533203125,312.0074462890625,206.38185119628906,316.1968078613281,218.0315399169922,336.65740966796875,214.92127990722656,342.550048828125
