frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,237.7562255859375,326.2898864746094,239.89480590820312,323.0164489746094,234.16348266601562,324.12567138671875,246.1949005126953,323.3635559082031,231.83535766601562,325.7928771972656,256.15716552734375,337.6285400390625,240.4569549560547,340.9415283203125,260.36627197265625,363.8148498535156,247.58335876464844,365.3200988769531,260.1446533203125,388.7418518066406,252.1659698486328,388.8837890625,277.5626220703125,367.8121337890625,266.6826477050781,370.1845397949219,267.09002685546875,395.3737487792969,257.58966064453125,399.4399719238281,267.16107177734375,430.75933837890625,258.4022216796875,429.0807189941406
1,1,,237.52487182617188,325.98046875,239.60140991210938,322.63055419921875,233.96124267578125,323.88262939453125,246.02232360839844,322.8640441894531,231.9489288330078,325.56591796875,256.14691162109375,337.20184326171875,240.72808837890625,340.56689453125,260.1979064941406,363.28912353515625,247.401123046875,364.4458312988281,259.8221740722656,388.37298583984375,251.47698974609375,386.84490966796875,277.2242431640625,367.7452087402344,266.52398681640625,370.1184997558594,266.9610900878906,395.2718200683594,257.39666748046875,399.48175048828125,267.35137939453125,430.97698974609375,258.2002868652344,429.0417785644531
2,1,,237.5685577392578,325.2848815917969,239.7065887451172,321.9936828613281,234.0694122314453,323.14410400390625,246.00205993652344,322.3707275390625,231.95553588867188,324.83270263671875,255.9380340576172,336.8135681152344,240.59483337402344,339.94940185546875,260.07818603515625,362.9012756347656,247.12315368652344,363.44976806640625,259.705810546875,388.0352478027344,251.38131713867188,385.26141357421875,277.0086975097656,367.64825439453125,266.3272705078125,369.9146728515625,266.7463073730469,395.4481506347656,257.2073059082031,399.6496276855469,267.4412536621094,430.8712158203125,258.0556640625,429.2426452636719
3,1,,237.56871032714844,324.15740966796875,239.66326904296875,320.90362548828125,234.18234252929688,322.0386962890625,245.82936096191406,321.322998046875,232.27528381347656,323.6773681640625,255.71881103515625,335.7246398925781,240.6962127685547,338.5634765625,259.7889099121094,361.5582275390625,247.11753845214844,361.32757568359375,259.6519470214844,386.64764404296875,251.5460205078125,381.58087158203125,276.34539794921875,367.4504699707031,265.77655029296875,369.5919189453125,266.33612060546875,395.5135803222656,256.3482666015625,399.5341796875,267.661376953125,430.86090087890625,257.1990661621094,429.148193359375
4,1,,237.79576110839844,322.8140563964844,239.89759826660156,319.6664123535156,234.50364685058594,320.655517578125,245.82550048828125,320.2359313964844,232.5003204345703,322.2630920410156,255.3748016357422,334.6563415527344,240.54193115234375,337.3072509765625,259.495849609375,360.1994934082031,247.03189086914062,359.87091064453125,259.5314636230469,385.4568176269531,251.18089294433594,380.13330078125,275.98388671875,366.90234375,265.51654052734375,368.9752197265625,265.8136901855469,395.28192138671875,255.81503295898438,399.13909912109375,267.6884460449219,430.85955810546875,257.06707763671875,429.1823425292969
5,1,,238.34878540039062,321.0859069824219,240.47509765625,318.1121520996094,235.08807373046875,318.903564453125,246.08245849609375,319.05804443359375,232.8095245361328,320.6763610839844,255.15211486816406,333.5270080566406,240.35818481445312,335.9425048828125,259.2609558105469,358.49224853515625,247.07858276367188,358.1017761230469,259.84710693359375,383.72076416015625,251.08038330078125,378.5215148925781,275.7663269042969,366.2376403808594,265.39617919921875,368.27557373046875,265.4131164550781,395.0677490234375,256.1178283691406,398.7369384765625,267.54840087890625,430.5688781738281,258.37738037109375,429.113525390625
6,1,,239.12205505371094,319.2749328613281,241.29925537109375,316.4891662597656,235.87864685058594,316.9970703125,246.43040466308594,317.79473876953125,233.06192016601562,318.86798095703125,254.9042510986328,332.3121032714844,239.9003143310547,334.5428771972656,259.2801513671875,356.90032958984375,247.03656005859375,356.7572021484375,260.1495056152344,381.4270935058594,251.4451446533203,377.6736755371094,275.808349609375,365.3725891113281,265.4723205566406,367.43145751953125,265.2837219238281,394.9037780761719,257.25286865234375,398.5440368652344,267.0821228027344,430.09326171875,260.3869934082031,429.355224609375
7,1,,239.56004333496094,317.5787353515625,241.79408264160156,314.92022705078125,236.33621215820312,315.2912292480469,246.8831024169922,316.5340576171875,233.4636993408203,317.3426818847656,255.09463500976562,331.0836486816406,239.83314514160156,333.2986755371094,259.2525329589844,355.7010498046875,247.43812561035156,356.1315612792969,259.6186828613281,380.5052185058594,251.52992248535156,377.863037109375,275.8422546386719,364.5130920410156,265.4742126464844,366.59991455078125,265.2234191894531,394.6413269042969,258.1951904296875,398.06573486328125,266.767333984375,430.0704650878906,262.32135009765625,429.331298828125
8,1,,239.9257354736328,316.1622619628906,242.1412353515625,313.6177978515625,236.8357696533203,313.9217224121094,247.0964813232422,315.5119934082031,234.08518981933594,316.2027282714844,255.39312744140625,330.06756591796875,239.77391052246094,332.4773254394531,259.40777587890625,354.1142272949219,247.3247833251953,355.455810546875,259.2500915527344,379.0705261230469,251.6000518798828,377.773681640625,275.98016357421875,363.7810974121094,265.5693054199219,365.95416259765625,265.51171875,394.2703857421875,259.33502197265625,397.7310791015625,266.5303649902344,429.93243408203125,264.6863098144531,429.3922424316406
9,1,,240.3419952392578,314.7371826171875,242.5855712890625,312.2809753417969,237.32431030273438,312.4973449707031,247.38107299804688,314.4230651855469,234.47781372070312,314.9646911621094,255.5933074951172,329.0264587402344,239.66127014160156,331.6431579589844,259.66552734375,352.25335693359375,247.2726593017578,354.6322937011719,258.97137451171875,376.9769592285156,251.19329833984375,376.68212890625,276.0296936035156,363.0665283203125,265.5791931152344,365.2821960449219,265.9866943359375,394.1546936035156,260.48394775390625,397.39453125,266.3518371582031,429.8028564453125,266.4659729003906,429.2096252441406
