frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,198.34877014160156,371.64971923828125,199.0641326904297,370.1834411621094,196.29168701171875,370.2452392578125,199.21641540527344,370.66748046875,191.6743927001953,370.79925537109375,202.0819854736328,379.1757507324219,186.40158081054688,376.97314453125,203.83883666992188,390.59552001953125,175.21359252929688,373.8663024902344,202.049560546875,402.8782958984375,167.96302795410156,374.0991516113281,206.1819305419922,402.48992919921875,196.9479522705078,403.54754638671875,201.29502868652344,420.217529296875,194.59226989746094,428.2756652832031,202.4080352783203,439.35308837890625,202.17733764648438,450.333740234375
1,1,,198.28614807128906,371.6311340332031,199.06451416015625,370.13433837890625,196.2277374267578,370.1933898925781,199.27801513671875,370.59576416015625,191.6648406982422,370.6429443359375,201.88441467285156,379.08062744140625,186.7512664794922,376.75054931640625,203.77557373046875,390.5931396484375,175.60865783691406,373.47772216796875,202.11819458007812,403.1981201171875,168.78567504882812,372.9945373535156,205.97561645507812,402.535888671875,197.08956909179688,403.48333740234375,200.73731994628906,420.33941650390625,194.6275634765625,427.6814270019531,202.7358856201172,439.8608093261719,202.42236328125,450.1231689453125
2,1,,197.8288116455078,371.64996337890625,198.76451110839844,370.1378479003906,195.79727172851562,370.17950439453125,199.32888793945312,370.5992736816406,191.51455688476562,370.56005859375,201.79031372070312,379.03070068359375,187.12315368652344,376.6064453125,203.69004821777344,390.5592346191406,176.07012939453125,373.185546875,202.16334533691406,403.3576354980469,169.4840545654297,372.15863037109375,205.6844482421875,402.5297546386719,197.08409118652344,403.3707580566406,200.35545349121094,420.52728271484375,194.6337432861328,427.34661865234375,202.9343719482422,440.2542419433594,202.54364013671875,449.9559020996094
3,1,,197.6986846923828,371.57305908203125,198.74984741210938,370.0174560546875,195.6650390625,370.0649719238281,199.47923278808594,370.4609069824219,191.52713012695312,370.3601379394531,201.60665893554688,378.87176513671875,187.69357299804688,376.6661682128906,203.6380157470703,390.6517333984375,178.05496215820312,374.7662658691406,202.34335327148438,403.65533447265625,172.69915771484375,374.5032958984375,204.97364807128906,402.43731689453125,196.7661590576172,403.24700927734375,199.94163513183594,420.57647705078125,194.7667236328125,426.5462951660156,203.005859375,440.5997619628906,202.52340698242188,449.38555908203125
4,1,,197.68319702148438,371.4745788574219,198.79014587402344,369.8619384765625,195.6659393310547,369.8943786621094,199.49224853515625,370.24176025390625,191.61830139160156,370.07525634765625,201.34310913085938,378.6792297363281,188.12799072265625,376.83013916015625,203.59744262695312,390.6997375488281,179.5750274658203,376.5960998535156,202.57028198242188,403.8751220703125,175.60598754882812,377.3574523925781,204.33901977539062,402.4804992675781,196.4972381591797,403.35748291015625,199.4735870361328,420.282470703125,194.67909240722656,426.0223693847656,202.73594665527344,440.04541015625,202.1718292236328,449.1098937988281
5,1,,197.4567413330078,371.4712829589844,198.66656494140625,369.8489685058594,195.5072021484375,369.8458251953125,199.50819396972656,370.15802001953125,191.61807250976562,369.95281982421875,201.35166931152344,378.46038818359375,187.8917236328125,377.1857604980469,203.59449768066406,390.5766906738281,180.4944305419922,379.6013488769531,202.7268829345703,403.6327819824219,177.62074279785156,382.6950988769531,203.7646942138672,402.2358703613281,195.64288330078125,403.2469787597656,199.9093780517578,419.8549499511719,194.3961639404297,425.6051940917969,202.44325256347656,439.3597106933594,201.50596618652344,448.3757629394531
6,1,,197.4262237548828,371.4872131347656,198.6790008544922,369.82147216796875,195.45472717285156,369.8152770996094,199.60574340820312,370.0274658203125,191.59515380859375,369.84600830078125,201.42706298828125,378.2050476074219,187.80885314941406,377.6766357421875,203.6663055419922,390.66253662109375,181.79441833496094,382.2823486328125,202.76535034179688,403.6078796386719,180.27308654785156,387.9006652832031,203.66307067871094,401.8667297363281,195.3177490234375,403.4150085449219,201.26644897460938,417.93878173828125,194.40866088867188,425.49151611328125,202.07852172851562,435.4971618652344,201.1467742919922,447.606689453125
7,1,,197.68724060058594,371.35174560546875,198.85548400878906,369.621826171875,195.68601989746094,369.6623229980469,199.55885314941406,369.68634033203125,191.67678833007812,369.6720886230469,201.36563110351562,377.7518005371094,187.53170776367188,378.0949401855469,203.68417358398438,390.5316162109375,182.95294189453125,384.9443054199219,202.7633819580078,403.17535400390625,182.6556396484375,392.8044128417969,203.553466796875,401.412353515625,194.91256713867188,403.5146789550781,202.3599395751953,416.0309143066406,194.22059631347656,425.317138671875,201.737060546875,431.781494140625,200.53707885742188,446.79364013671875
8,1,,197.60101318359375,371.1948547363281,198.73907470703125,369.3889465332031,195.563232421875,369.4850158691406,199.43316650390625,369.35760498046875,191.52853393554688,369.5059509277344,201.23085021972656,377.3499450683594,187.1412353515625,378.1999816894531,203.6363067626953,390.3302307128906,182.50625610351562,385.2507019042969,202.6685028076172,402.8002014160156,182.3501434326172,393.7849426269531,203.65773010253906,400.95428466796875,194.789306640625,403.584716796875,203.38136291503906,413.8529357910156,193.9481658935547,425.28082275390625,201.62759399414062,427.5111999511719,200.2407684326172,446.2397155761719
9,1,,197.41009521484375,371.2223815917969,198.57302856445312,369.3913879394531,195.36325073242188,369.5079040527344,199.38888549804688,369.2813415527344,191.380615234375,369.4715270996094,201.16232299804688,377.10284423828125,186.9087677001953,378.16845703125,203.56118774414062,390.2008972167969,182.1990509033203,384.8859558105469,202.5977325439453,402.6058349609375,182.15350341796875,393.418212890625,203.80552673339844,400.5621032714844,194.7907257080078,403.55938720703125,204.2117156982422,412.2183837890625,193.85665893554688,425.2245788574219,201.76988220214844,424.237060546875,200.24588012695312,445.6763916015625
