frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,199.54270935058594,261.59136962890625,201.07447814941406,259.353515625,197.79722595214844,259.2625732421875,201.0120086669922,259.83782958984375,193.67138671875,260.0466613769531,195.86705017089844,270.5877380371094,188.8990936279297,271.8941955566406,190.8685302734375,287.3103332519531,187.82322692871094,292.24639892578125,195.01837158203125,292.7466735839844,195.53561401367188,297.3183288574219,182.982177734375,298.5858459472656,177.87933349609375,299.27459716796875,193.38995361328125,323.9785461425781,188.9072265625,323.48468017578125,190.3088836669922,351.90557861328125,184.38760375976562,351.7689208984375
1,1,,199.19471740722656,261.0665588378906,200.96157836914062,258.82440185546875,197.50498962402344,258.6581726074219,201.38522338867188,259.62823486328125,193.696533203125,259.6197509765625,196.07577514648438,270.8865966796875,189.0024871826172,271.91717529296875,191.0927734375,288.3409423828125,188.1385955810547,292.70477294921875,195.62705993652344,293.9208068847656,196.58473205566406,297.72808837890625,182.99270629882812,298.6408386230469,177.8681182861328,299.236328125,193.11720275878906,324.0009765625,189.308349609375,323.5221252441406,189.95460510253906,351.89349365234375,184.88584899902344,351.8111572265625
2,1,,199.6248016357422,261.22161865234375,201.22067260742188,258.9831237792969,198.02052307128906,258.8077392578125,201.17208862304688,259.6651306152344,194.12115478515625,259.65374755859375,195.8645782470703,270.891357421875,188.9508819580078,271.9120178222656,191.1641845703125,288.4378662109375,188.09580993652344,292.6449279785156,195.60887145996094,293.82855224609375,196.46397399902344,297.3570251464844,182.73043823242188,298.5173034667969,177.81546020507812,299.1268615722656,192.15357971191406,323.57989501953125,189.2595672607422,323.3008728027344,189.3082733154297,351.52215576171875,185.5629425048828,351.6958923339844
3,1,,199.34243774414062,261.32879638671875,201.28204345703125,259.08154296875,197.71420288085938,258.8340148925781,201.9958038330078,259.8197937011719,194.0286407470703,259.59210205078125,196.55429077148438,271.1162109375,189.01573181152344,271.8731689453125,191.73385620117188,289.10357666015625,188.24566650390625,292.8505554199219,196.181640625,293.8463439941406,197.07823181152344,296.7947082519531,182.95933532714844,298.5730285644531,177.75547790527344,299.059326171875,191.12918090820312,323.4547424316406,189.48529052734375,323.26568603515625,188.52259826660156,351.21197509765625,186.55191040039062,351.54095458984375
4,1,,199.6110076904297,261.96337890625,201.56039428710938,259.7081604003906,198.04588317871094,259.4175109863281,202.2021484375,260.2723693847656,194.31178283691406,259.94439697265625,196.54283142089844,271.38409423828125,188.9711456298828,272.13372802734375,191.70700073242188,289.3661804199219,188.490966796875,292.9764099121094,196.3584442138672,294.36572265625,197.5709686279297,296.5471496582031,182.7930908203125,298.54510498046875,177.65011596679688,299.0672607421875,190.37310791015625,323.2105712890625,189.60108947753906,323.2136535644531,188.3242645263672,350.800048828125,187.810546875,351.2991943359375
5,1,,200.18971252441406,262.25341796875,201.94960021972656,259.95281982421875,198.65530395507812,259.6940002441406,202.03851318359375,260.3362121582031,194.75128173828125,260.1291809082031,196.2330322265625,271.3154602050781,189.13137817382812,272.386474609375,191.7505645751953,289.1641845703125,189.00088500976562,293.4973449707031,196.61553955078125,293.5115051269531,198.53851318359375,296.0521240234375,182.36358642578125,298.3854064941406,177.5776824951172,299.04779052734375,189.5928955078125,322.7784729003906,189.51171875,322.9977111816406,187.96629333496094,350.5608825683594,188.4318084716797,351.2085876464844
6,1,,200.77516174316406,262.8205871582031,202.38673400878906,260.4765930175781,199.1728973388672,260.2704162597656,202.09423828125,260.5929260253906,194.97779846191406,260.5546569824219,196.30899047851562,271.34124755859375,189.28465270996094,272.6431579589844,192.1394500732422,289.0396728515625,189.42205810546875,293.6345520019531,196.44273376464844,292.81536865234375,198.72547912597656,295.3076477050781,182.1772918701172,298.3748779296875,177.50103759765625,299.1311340332031,188.7460479736328,322.5612487792969,189.24449157714844,323.0668640136719,187.65650939941406,350.20159912109375,188.94029235839844,351.2156982421875
7,1,,200.6101531982422,263.0293273925781,202.500732421875,260.649658203125,198.88087463378906,260.41412353515625,202.8338623046875,260.8553466796875,194.67816162109375,260.7236022949219,196.84451293945312,271.6590881347656,189.3879852294922,272.9471740722656,192.3444061279297,289.36505126953125,189.97581481933594,294.0743103027344,196.91195678710938,292.7850646972656,199.65267944335938,295.15692138671875,182.4344024658203,298.6435241699219,177.401123046875,299.3985595703125,189.36785888671875,322.7432861328125,189.30538940429688,323.18292236328125,188.07301330566406,350.19451904296875,189.06333923339844,351.0780334472656
8,1,,200.5908966064453,262.94921875,202.65574645996094,260.56146240234375,198.76507568359375,260.2791442871094,203.29855346679688,260.9918212890625,194.4897918701172,260.7366027832031,197.11618041992188,272.00823974609375,189.45623779296875,273.23284912109375,192.64080810546875,289.5176696777344,190.37521362304688,294.33917236328125,197.31871032714844,292.6717529296875,200.17393493652344,295.3888244628906,182.5687255859375,298.93682861328125,177.3787384033203,299.6687927246094,189.80010986328125,322.937255859375,189.4048614501953,323.32421875,188.32620239257812,350.16082763671875,189.21803283691406,350.95257568359375
9,1,,200.60215759277344,262.6066589355469,202.72181701660156,260.211181640625,198.701904296875,259.94561767578125,203.52389526367188,260.89300537109375,194.45811462402344,260.6773986816406,197.33596801757812,272.2306823730469,189.71417236328125,273.4052429199219,192.80567932128906,289.9122009277344,190.6438446044922,294.5984802246094,197.6323699951172,292.80535888671875,200.580322265625,295.7007751464844,182.56300354003906,299.0858154296875,177.38555908203125,299.78607177734375,189.8991241455078,322.896484375,189.34683227539062,323.2497253417969,188.212646484375,350.0792541503906,189.0124053955078,350.8721618652344
