frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,200.26431274414062,269.6361389160156,202.45326232910156,267.289794921875,198.3109130859375,267.09088134765625,206.10153198242188,267.2409362792969,196.73622131347656,266.2628479003906,207.75515747070312,277.3894348144531,201.97323608398438,275.4144287109375,211.21971130371094,295.4203186035156,206.6918487548828,291.1192626953125,208.59625244140625,308.06842041015625,205.1815185546875,305.1517639160156,220.42483520507812,301.6829528808594,216.70968627929688,300.99859619140625,215.40692138671875,328.6136169433594,217.4965362548828,326.1291198730469,220.0034942626953,354.152587890625,218.51646423339844,349.3045959472656
1,1,,200.27737426757812,269.69146728515625,202.46536254882812,267.3202209472656,198.31942749023438,267.13043212890625,206.11349487304688,267.2904968261719,196.78114318847656,266.335693359375,207.65614318847656,277.3786315917969,202.25341796875,275.6853942871094,211.12791442871094,295.3975830078125,206.57374572753906,291.7131652832031,208.45111083984375,308.1618957519531,204.59967041015625,305.3160400390625,220.4755401611328,301.675048828125,217.02957153320312,301.1228942871094,215.26809692382812,328.57672119140625,217.84866333007812,326.3392333984375,220.03567504882812,354.1307067871094,218.5691680908203,349.5950012207031
2,1,,200.20738220214844,269.7296447753906,202.44969177246094,267.3764953613281,198.24305725097656,267.16436767578125,206.07144165039062,267.38812255859375,196.64320373535156,266.3934631347656,207.3942108154297,277.3400573730469,202.16664123535156,275.83221435546875,210.9833984375,295.2630920410156,206.05194091796875,292.0033264160156,208.3109588623047,307.7384033203125,202.98416137695312,304.955078125,220.46046447753906,301.7127990722656,217.17059326171875,301.2250061035156,214.9550018310547,328.6712646484375,217.73361206054688,326.48046875,220.06689453125,354.1961669921875,218.31698608398438,349.56378173828125
3,1,,200.0894012451172,269.88482666015625,202.38519287109375,267.5272521972656,198.13235473632812,267.2933044433594,205.99375915527344,267.58819580078125,196.54396057128906,266.5560302734375,206.9674072265625,277.366943359375,202.36962890625,276.21722412109375,210.7265625,295.17340087890625,205.2220458984375,292.71392822265625,208.08697509765625,307.4626770019531,200.56146240234375,304.3962097167969,220.42868041992188,301.7853088378906,217.625244140625,301.41156005859375,214.6656494140625,328.84014892578125,218.12998962402344,326.6282653808594,220.3608856201172,354.2663879394531,218.11563110351562,349.3377380371094
4,1,,200.02999877929688,270.0893249511719,202.33766174316406,267.700927734375,198.10702514648438,267.4525451660156,205.93984985351562,267.7511291503906,196.6275177001953,266.6951904296875,206.6738739013672,277.3487854003906,202.89947509765625,276.60791015625,210.70071411132812,294.8180847167969,205.0387420654297,293.5238342285156,207.89987182617188,306.76055908203125,199.04644775390625,304.4114685058594,220.3856964111328,301.92755126953125,218.14031982421875,301.6646728515625,214.3889617919922,329.0850524902344,218.5023193359375,326.9175720214844,220.5937957763672,354.47552490234375,217.73745727539062,349.45904541015625
5,1,,199.936279296875,270.41998291015625,202.27764892578125,268.00592041015625,198.01220703125,267.76959228515625,205.9411163330078,267.9691162109375,196.58108520507812,266.9480895996094,206.41676330566406,277.38214111328125,203.1222381591797,276.8525695800781,210.55897521972656,294.59423828125,205.1144561767578,293.7536926269531,207.7939910888672,306.4963684082031,198.66773986816406,304.5595397949219,220.2915496826172,301.9547424316406,218.3639373779297,301.7877502441406,214.28744506835938,329.1623840332031,218.747802734375,327.2251281738281,220.7392120361328,354.4006042480469,217.43797302246094,349.67041015625
6,1,,199.83969116210938,270.579345703125,202.17584228515625,268.168701171875,197.9642333984375,267.9278869628906,205.82345581054688,268.0893249511719,196.6006622314453,267.0683898925781,206.21803283691406,277.3333740234375,203.13128662109375,277.012939453125,210.53211975097656,294.293212890625,204.78659057617188,293.95477294921875,207.71202087402344,306.05841064453125,197.75082397460938,304.51287841796875,220.1682586669922,302.00775146484375,218.3642120361328,301.9200439453125,214.22938537597656,329.2713317871094,218.68809509277344,327.49530029296875,220.88674926757812,354.4371032714844,216.82760620117188,349.8885803222656
7,1,,199.6108856201172,270.7888488769531,201.9442901611328,268.36529541015625,197.7801513671875,268.1310729980469,205.6665802001953,268.2098693847656,196.54493713378906,267.2082214355469,206.0836944580078,277.3562316894531,203.16180419921875,277.2449951171875,210.5236053466797,294.28839111328125,204.948974609375,294.3768615722656,207.72715759277344,306.1811218261719,197.6674041748047,304.8792724609375,220.13381958007812,301.999267578125,218.3937225341797,302.025146484375,214.24179077148438,329.3433837890625,218.73281860351562,327.8418273925781,220.95828247070312,354.427734375,216.10577392578125,350.32757568359375
8,1,,199.37655639648438,270.8162841796875,201.68247985839844,268.3719787597656,197.6000213623047,268.1683044433594,205.49530029296875,268.14385986328125,196.50010681152344,267.23590087890625,206.2421112060547,277.2391357421875,202.91207885742188,277.3524475097656,210.69911193847656,294.2164611816406,204.99313354492188,294.71685791015625,207.7994384765625,306.0528564453125,197.5426483154297,305.28533935546875,220.0526580810547,301.9412536621094,217.97483825683594,302.0585632324219,214.28744506835938,329.2892761230469,218.13955688476562,328.0509338378906,220.70236206054688,354.4937438964844,215.30426025390625,350.9073791503906
9,1,,198.97772216796875,270.5101623535156,201.2679443359375,268.0585632324219,197.1912078857422,267.8949279785156,205.0832977294922,267.93365478515625,196.07626342773438,267.1486511230469,206.190673828125,277.27435302734375,202.15667724609375,277.51190185546875,210.5507049560547,294.88043212890625,204.423095703125,295.057861328125,207.67306518554688,306.9508361816406,196.35096740722656,304.9282531738281,220.06561279296875,301.73187255859375,217.48756408691406,301.9273681640625,214.2020721435547,329.1238098144531,217.3677978515625,328.1148376464844,220.51373291015625,354.4036865234375,214.6051025390625,351.20306396484375
10,1,,198.3868408203125,270.0539855957031,200.63601684570312,267.6111145019531,196.6728057861328,267.4743347167969,204.5059051513672,267.64288330078125,195.73109436035156,266.9429626464844,206.19662475585938,277.3669738769531,201.40016174316406,277.62432861328125,210.4656524658203,295.4945068359375,203.61741638183594,295.25848388671875,207.52020263671875,307.73114013671875,194.71466064453125,304.44805908203125,220.03334045410156,301.6687316894531,216.95034790039062,301.83697509765625,214.08566284179688,329.0905456542969,216.64443969726562,327.96856689453125,220.22865295410156,354.4620666503906,214.25222778320312,351.1220397949219
11,1,,197.75521850585938,269.6607360839844,200.0109100341797,267.2264099121094,196.08340454101562,267.0977783203125,204.0073699951172,267.4206237792969,195.243896484375,266.7553405761719,206.26181030273438,277.5224914550781,200.50074768066406,277.7142028808594,210.3754425048828,296.09368896484375,202.99874877929688,295.3179626464844,207.4295196533203,308.4593811035156,193.58648681640625,304.0027160644531,219.96878051757812,301.60809326171875,216.18324279785156,301.72979736328125,213.89268493652344,328.99237060546875,215.41732788085938,327.8372497558594,219.96347045898438,354.4808349609375,213.3819580078125,351.17401123046875
12,1,,197.3579559326172,269.1317138671875,199.56626892089844,266.703125,195.72047424316406,266.6013488769531,203.5968017578125,267.0922546386719,195.00697326660156,266.49542236328125,206.32760620117188,277.5342712402344,200.0213165283203,277.69598388671875,210.28028869628906,296.5367431640625,202.45497131347656,295.2266540527344,207.18663024902344,309.0651550292969,192.82542419433594,303.4750061035156,219.84414672851562,301.4160461425781,215.6500701904297,301.5340576171875,213.8118438720703,328.767578125,214.66957092285156,327.7123718261719,219.9447479248047,354.5003662109375,213.04615783691406,351.39788818359375
13,1,,196.71414184570312,268.7576599121094,199.01556396484375,266.3418273925781,195.09454345703125,266.1856384277344,203.23561096191406,266.9607849121094,194.43760681152344,266.223876953125,206.07931518554688,277.6514892578125,199.41714477539062,277.663818359375,210.30810546875,296.6194763183594,202.1473388671875,294.9934997558594,207.2357635498047,309.3321228027344,192.61453247070312,303.282958984375,219.5879364013672,301.4262390136719,215.13414001464844,301.49505615234375,213.45640563964844,328.7721862792969,214.01231384277344,327.7928771972656,219.8524932861328,354.5176696777344,212.66249084472656,351.5838928222656
