frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,211.65966796875,282.3927917480469,212.81109619140625,280.95941162109375,210.22459411621094,281.22265625,215.10130310058594,281.5457763671875,208.42266845703125,282.1980895996094,218.57012939453125,289.9831848144531,206.9009246826172,290.5906982421875,221.5830841064453,300.31280517578125,205.9269561767578,300.84368896484375,222.21841430664062,310.96429443359375,205.20645141601562,310.41729736328125,217.72451782226562,310.1943054199219,209.9538116455078,310.535888671875,218.7459716796875,326.03375244140625,211.15902709960938,326.207275390625,220.25392150878906,341.00146484375,212.358642578125,341.2918395996094
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,212.2158660888672,284.49261474609375,213.5038299560547,282.94464111328125,210.57208251953125,283.22430419921875,215.62698364257812,283.91046142578125,208.28369140625,284.5869140625,218.2677459716797,292.9559020996094,206.4657745361328,293.8580322265625,221.25942993164062,303.0718078613281,205.61279296875,304.10223388671875,221.43746948242188,312.86590576171875,205.0461883544922,313.4190368652344,217.59405517578125,312.40155029296875,209.84344482421875,312.9898376464844,218.15638732910156,327.16473388671875,210.96490478515625,328.32745361328125,218.7921905517578,341.0693359375,212.22178649902344,342.8802795410156
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,,204.1579132080078,299.2134704589844,205.61338806152344,297.75244140625,202.84645080566406,297.62823486328125,207.3547821044922,298.8768310546875,200.52418518066406,298.5017395019531,209.74562072753906,308.13690185546875,197.52459716796875,307.0634765625,211.35333251953125,319.09613037109375,196.61831665039062,317.4560546875,210.5430145263672,328.8013000488281,198.197509765625,326.6517333984375,206.9156951904297,327.3675537109375,198.4677276611328,326.4985656738281,205.86431884765625,342.2861328125,193.6739501953125,340.1367492675781,206.64956665039062,357.984619140625,196.15536499023438,354.79339599609375
