frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,186.6627960205078,314.34588623046875,188.6456298828125,312.1928405761719,185.0075225830078,312.36798095703125,192.81419372558594,312.8490905761719,184.43785095214844,313.009521484375,196.75030517578125,322.6093444824219,187.61495971679688,322.4475402832031,192.6723175048828,338.9317321777344,186.1473388671875,337.4307556152344,187.13534545898438,336.6782531738281,181.212646484375,330.9681091308594,201.4370880126953,349.8970642089844,194.07498168945312,349.24774169921875,199.71774291992188,372.4302062988281,188.11911010742188,370.0813293457031,206.40557861328125,399.4727478027344,190.9423828125,394.2280578613281
1,1,,186.65513610839844,314.6124267578125,188.53944396972656,312.4327087402344,184.99472045898438,312.6304931640625,192.515380859375,312.96905517578125,184.35989379882812,313.1773376464844,196.5435028076172,322.73406982421875,187.39511108398438,322.6239013671875,192.45419311523438,339.19012451171875,186.43820190429688,338.1839599609375,186.67791748046875,337.1715087890625,182.4845733642578,332.98004150390625,201.33738708496094,349.9154052734375,193.970947265625,349.3287658691406,199.39186096191406,372.27618408203125,187.9745635986328,370.1326599121094,206.3726806640625,399.3654479980469,191.20269775390625,394.530029296875
2,1,,186.46664428710938,314.7566223144531,188.3193359375,312.5528564453125,184.77517700195312,312.7802429199219,192.27517700195312,313.0445861816406,184.08470153808594,313.3164978027344,196.3509063720703,322.87054443359375,187.09942626953125,322.8009033203125,192.33706665039062,339.3459167480469,186.55758666992188,338.50946044921875,186.2799835205078,338.1954040527344,183.2653350830078,334.8206787109375,201.18017578125,350.0006103515625,193.71331787109375,349.4600830078125,199.188232421875,372.3121337890625,187.6120147705078,370.41461181640625,206.32786560058594,399.2796325683594,190.82559204101562,394.89984130859375
3,1,,186.1100616455078,315.19342041015625,187.90077209472656,312.9452819824219,184.41603088378906,313.1961975097656,191.74761962890625,313.3859558105469,183.7017059326172,313.7006530761719,195.94815063476562,323.2930908203125,186.58782958984375,323.2318115234375,191.96359252929688,339.8897705078125,186.42300415039062,339.3596496582031,185.76747131347656,338.7521057128906,183.80218505859375,336.5242919921875,200.9712371826172,350.0858154296875,193.3773193359375,349.5447082519531,198.9435272216797,372.2457275390625,186.90895080566406,370.3725280761719,206.22206115722656,399.2263488769531,190.18511962890625,394.94232177734375
4,1,,185.8499298095703,315.9810485839844,187.5153045654297,313.7099609375,184.13327026367188,313.97430419921875,191.10321044921875,313.974853515625,183.25714111328125,314.3115539550781,195.31179809570312,323.73297119140625,185.9921112060547,323.7139892578125,191.59837341308594,340.447998046875,186.5069580078125,340.4634094238281,185.19851684570312,339.71722412109375,185.1451416015625,339.39544677734375,200.55322265625,350.1984558105469,192.96258544921875,349.7673645019531,198.65109252929688,372.5062561035156,186.77224731445312,371.06927490234375,206.26438903808594,399.1387634277344,189.96612548828125,395.65185546875
5,1,,185.31744384765625,316.6532897949219,186.98789978027344,314.4218444824219,183.5131072998047,314.69671630859375,190.52041625976562,314.73541259765625,182.40029907226562,315.1104431152344,194.62908935546875,324.3824462890625,185.0929718017578,324.38555908203125,191.10694885253906,340.9928283691406,185.9661865234375,340.9060974121094,184.7220916748047,340.47601318359375,184.81201171875,340.7728576660156,199.98777770996094,350.3042297363281,192.2467498779297,350.01788330078125,198.27049255371094,372.7947692871094,186.17127990722656,371.8898010253906,206.17762756347656,398.8051452636719,189.32662963867188,396.2991638183594
6,1,,184.6551971435547,317.4289855957031,186.399658203125,315.2633056640625,182.79981994628906,315.50531005859375,189.9410858154297,315.6615905761719,181.45741271972656,315.958984375,193.7710418701172,325.1372985839844,183.9793701171875,325.0029296875,190.52914428710938,341.6216125488281,184.8729705810547,340.97296142578125,184.88259887695312,341.49005126953125,183.80279541015625,341.3852233886719,199.51129150390625,350.45086669921875,191.61170959472656,350.2317810058594,197.9336395263672,373.0478515625,185.59974670410156,372.3758544921875,205.9022979736328,398.479248046875,188.53448486328125,396.4480285644531
7,1,,184.10752868652344,318.3150634765625,185.8179473876953,316.2325439453125,182.27926635742188,316.41461181640625,189.0757598876953,316.6688537597656,180.71310424804688,316.82855224609375,192.80987548828125,325.89031982421875,182.6817626953125,325.7236022949219,189.6685028076172,342.5901184082031,183.4722137451172,341.943603515625,184.92147827148438,341.7796936035156,182.70718383789062,341.4755554199219,199.1012420654297,350.3984680175781,191.01593017578125,350.2886962890625,197.2923583984375,372.91229248046875,184.90481567382812,372.35565185546875,205.4324188232422,398.15380859375,188.1809539794922,396.32598876953125
8,1,,183.44757080078125,319.25030517578125,185.14163208007812,317.20556640625,181.5478515625,317.36328125,188.2255401611328,317.5943603515625,179.68190002441406,317.7003479003906,191.93368530273438,326.5617980957031,181.45977783203125,326.37152099609375,188.78546142578125,343.4512634277344,182.05715942382812,342.71258544921875,184.22877502441406,342.52099609375,181.79165649414062,342.11370849609375,198.73724365234375,350.4742126464844,190.49456787109375,350.4546203613281,196.35757446289062,372.6341857910156,184.2749786376953,372.25445556640625,204.7001953125,397.7275390625,187.8402862548828,396.23773193359375
9,1,,182.5951385498047,319.8049621582031,184.36785888671875,317.7857666015625,180.59866333007812,317.9392395019531,187.4579620361328,318.2786560058594,178.51202392578125,318.3746032714844,191.01611328125,327.29949951171875,180.3514404296875,327.1304931640625,187.75355529785156,344.256103515625,181.02513122558594,343.2957458496094,183.14553833007812,343.2515869140625,180.86776733398438,342.6729431152344,198.53866577148438,350.74957275390625,190.23631286621094,350.84259033203125,194.89886474609375,372.019287109375,183.34454345703125,372.05609130859375,203.7025604248047,396.8729553222656,187.66468811035156,396.04473876953125
