video_id,frame_no,phase
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,35,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,36,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,37,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,38,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,39,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,40,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,41,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,42,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,43,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,44,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,45,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,46,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,47,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,48,preparation
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,49,downswing
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,50,downswing
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,51,downswing
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,52,downswing
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,53,downswing
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,54,downswing
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,55,downswing
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,56,downswing
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,57,downswing
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,58,followthrough
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,59,followthrough
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,60,followthrough
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,61,followthrough
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,62,followthrough
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,63,followthrough
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,64,followthrough
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,65,followthrough
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,66,followthrough
