video_id,frame_no,phase
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,11,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,12,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,13,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,14,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,15,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,16,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,17,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,18,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,19,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,20,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,21,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,22,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,23,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,24,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,25,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,26,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,27,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,28,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,29,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,30,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,31,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,32,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,33,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,34,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,35,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,36,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,37,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,38,preparation
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,39,downswing
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,40,downswing
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,41,downswing
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,42,downswing
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,43,downswing
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,44,downswing
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,45,downswing
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,46,downswing
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,47,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,48,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,49,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,50,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,51,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,52,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,53,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,54,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,55,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,56,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,57,followthrough
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,58,followthrough
