video_id,frame_no,phase
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,56,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,57,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,58,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,59,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,60,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,61,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,62,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,63,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,64,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,65,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,66,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,67,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,68,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,69,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,70,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,71,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,72,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,73,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,74,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,75,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,76,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,77,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,78,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,79,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,80,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,81,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,82,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,83,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,84,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,85,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,86,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,87,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,88,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,89,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,90,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,91,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,92,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,93,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,94,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,95,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,96,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,97,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,98,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,99,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,100,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,101,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,102,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,103,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,104,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,105,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,106,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,107,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,108,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,109,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,110,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,111,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,112,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,113,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,114,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,115,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,116,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,117,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,118,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,119,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,120,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,121,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,122,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,123,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,124,followthrough
