video_id,frame_no,phase
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,27,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,28,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,29,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,30,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,31,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,32,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,33,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,34,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,35,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,36,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,37,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,38,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,39,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,40,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,41,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,42,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,43,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,44,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,45,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,46,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,47,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,48,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,49,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,50,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,51,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,52,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,53,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,54,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,55,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,56,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,57,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,58,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,59,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,60,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,61,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,62,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,63,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,64,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,65,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,66,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,67,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,68,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,69,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,70,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,71,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,72,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,73,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,74,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,75,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,76,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,77,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,78,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,79,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,80,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,81,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,82,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,83,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,84,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,85,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,86,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,87,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,88,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,89,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_5,90,followthrough
