video_id,frame_no,phase
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,14,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,15,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,16,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,17,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,18,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,19,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,20,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,21,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,22,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,23,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,24,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,25,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,26,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,27,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,28,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,29,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,30,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,31,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,32,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,33,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,34,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,35,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,36,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,37,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,38,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,39,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,40,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,41,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,42,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,43,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,44,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,45,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,46,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,47,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_5,48,followthrough
