video_id,frame_no,phase
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,10,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,11,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,12,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,13,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,14,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,15,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,16,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,17,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,18,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,19,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,20,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,21,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,22,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,23,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,24,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,25,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,26,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,27,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,28,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,29,preparation
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,30,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,31,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,32,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,33,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,34,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,35,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,36,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,37,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,38,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,39,downswing
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,40,followthrough
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,41,followthrough
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,42,followthrough
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,43,followthrough
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,44,followthrough
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,45,followthrough
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,46,followthrough
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,47,followthrough
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,48,followthrough
69fd62f4-beea-4c5a-b558-977b47e4ef47_delivery_1,49,followthrough
