video_id,frame_no,phase
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,27,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,28,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,29,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,30,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,31,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,32,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,33,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,34,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,35,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,36,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,37,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,38,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,39,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,40,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,41,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,42,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,43,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,44,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,45,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,46,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,47,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,48,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,49,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,50,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,51,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,52,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,53,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,54,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,55,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,56,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,57,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,58,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,59,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,60,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,61,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,62,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,63,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,64,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,65,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,66,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,67,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,68,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,69,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,70,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,71,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,72,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,73,preparation
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,74,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,75,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,76,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,77,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,78,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,79,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,80,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,81,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,82,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,83,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,84,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,85,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,86,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,87,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,88,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,89,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,90,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,91,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,92,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,93,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,94,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,95,downswing
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,96,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,97,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,98,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,99,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,100,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,101,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,102,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,103,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,104,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,105,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,106,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,107,followthrough
6c4a2070-b534-47fc-ab1a-2ed0c8a6b73e_delivery_3,108,followthrough
