video_id,frame_no,phase
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,41,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,42,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,43,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,44,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,45,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,46,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,47,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,48,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,49,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,50,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,51,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,52,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,53,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,54,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,55,preparation
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,56,downswing
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,57,downswing
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,58,downswing
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,59,downswing
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,60,downswing
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,61,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,62,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,63,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,64,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,65,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,66,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,67,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,68,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,69,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,70,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,71,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,72,followthrough
77417906-e1c4-4717-9419-5bf7bda6f076_delivery_1,73,followthrough
