video_id,frame_no,phase
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,30,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,31,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,32,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,33,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,34,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,35,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,36,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,37,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,38,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,39,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,40,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,41,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,42,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,43,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,44,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,45,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,46,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,47,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,48,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,49,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,50,preparation
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,51,downswing
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,52,downswing
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,53,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,54,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,55,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,56,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,57,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,58,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,59,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,60,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,61,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,62,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,63,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,64,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,65,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,66,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,67,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,68,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,69,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,70,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,71,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,72,followthrough
8c22159b-91b8-48b9-9696-ce3925b7a484_delivery_1,73,followthrough
