video_id,frame_no,phase
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,42,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,43,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,44,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,45,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,46,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,47,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,48,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,49,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,50,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,51,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,52,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,53,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,54,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,55,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,56,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,57,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,58,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,59,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,60,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,61,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,62,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,63,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,64,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,65,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,66,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,67,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,68,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,69,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,70,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,71,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,72,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,73,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,74,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_3,75,followthrough
