video_id,frame_no,phase
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,13,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,14,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,15,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,16,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,17,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,18,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,19,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,20,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,21,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,22,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,23,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,24,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,25,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,26,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,27,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,28,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,29,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,30,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,31,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,32,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,33,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,34,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,35,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,36,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,37,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,38,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,39,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,40,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,41,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,42,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,43,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,44,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,45,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,46,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,47,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,48,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,49,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,50,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,51,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,52,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,53,preparation
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,54,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,55,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,56,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,57,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,58,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,59,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,60,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,61,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,62,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,63,downswing
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,64,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,65,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,66,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,67,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,68,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,69,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,70,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,71,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,72,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,73,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,74,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,75,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,76,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,77,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,78,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,79,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,80,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,81,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,82,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,83,followthrough
b2a503a6-a533-4248-8f91-0f3278df91df_delivery_1,84,followthrough
