video_id,frame_no,phase
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,10,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,11,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,12,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,13,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,14,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,15,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,16,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,17,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,18,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,19,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,20,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,21,preparation
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,22,downswing
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,23,downswing
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,24,downswing
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,25,downswing
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,26,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,27,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,28,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,29,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,30,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,31,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,32,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,33,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,34,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,35,followthrough
bc045598-84d4-4cb3-9e2d-f1edb9b806f7_delivery_12,36,followthrough
