video_id,frame_no,phase
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,33,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,34,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,35,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,36,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,37,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,38,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,39,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,40,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,41,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,42,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,43,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,44,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,45,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,46,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,47,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,48,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,49,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,50,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,51,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,52,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,53,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,54,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,55,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,56,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,57,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,58,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,59,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,60,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,61,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,62,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,63,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,64,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,65,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,66,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,67,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,68,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_2,69,followthrough
