video_id,video,feature_csv,keypoints_csv,label_csv,label_status,split,video_frames,fps,feature_rows,zero_filled_features
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14,input/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14.mp4,output/features/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14_features.csv,output/keypoints/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14_keypoints.csv,output/training/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14_phase_labels.csv,manual,train,186,60.00967898048072,181,
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1,input/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1.mp4,output/features/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1_features.csv,output/keypoints/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1_keypoints.csv,output/training/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1_phase_labels.csv,manual,train,185,60.00778479370297,181,bat_arm_extension;ear_separation;eye_separation;left_arm_length;left_forearm_length;left_shoulder_wrist_dist;right_arm_length;right_forearm_length;right_shoulder_wrist_dist
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5,input/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5.mp4,output/features/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5_features.csv,output/keypoints/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5_keypoints.csv,output/training/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5_phase_labels.csv,manual,train,225,60.009601536245796,181,
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,input/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7.mp4,output/features/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7_features.csv,output/keypoints/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7_keypoints.csv,output/training/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7_phase_labels.csv,manual,train,185,60.00994759491663,181,
00e39b89-84a3-4095-b669-719634933843_delivery_22,input/00e39b89-84a3-4095-b669-719634933843_delivery_22.mp4,output/features/00e39b89-84a3-4095-b669-719634933843_delivery_22_features.csv,output/keypoints/00e39b89-84a3-4095-b669-719634933843_delivery_22_keypoints.csv,output/training/00e39b89-84a3-4095-b669-719634933843_delivery_22_phase_labels.csv,manual,train,145,29.896907216494846,89,
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,input/07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2.mp4,output/features/07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2_features.csv,output/keypoints/07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2_keypoints.csv,output/training/07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2_phase_labels.csv,manual,test,106,29.89723998959551,89,
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,input/0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6.mp4,output/features/0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6_features.csv,output/keypoints/0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6_keypoints.csv,output/training/0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6_phase_labels.csv,manual,test,90,30.04785398968728,90,
1422e687-d176-44a4-819e-2c10a141a682_delivery_1,input/1422e687-d176-44a4-819e-2c10a141a682_delivery_1.mp4,output/features/1422e687-d176-44a4-819e-2c10a141a682_delivery_1_features.csv,output/keypoints/1422e687-d176-44a4-819e-2c10a141a682_delivery_1_keypoints.csv,output/training/1422e687-d176-44a4-819e-2c10a141a682_delivery_1_phase_labels.csv,manual,train,135,29.917044836170323,135,
1422e687-d176-44a4-819e-2c10a141a682_delivery_2,input/1422e687-d176-44a4-819e-2c10a141a682_delivery_2.mp4,output/features/1422e687-d176-44a4-819e-2c10a141a682_delivery_2_features.csv,output/keypoints/1422e687-d176-44a4-819e-2c10a141a682_delivery_2_keypoints.csv,output/training/1422e687-d176-44a4-819e-2c10a141a682_delivery_2_phase_labels.csv,manual,train,160,29.92114531495122,160,
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,input/1422e687-d176-44a4-819e-2c10a141a682_delivery_3.mp4,output/features/1422e687-d176-44a4-819e-2c10a141a682_delivery_3_features.csv,output/keypoints/1422e687-d176-44a4-819e-2c10a141a682_delivery_3_keypoints.csv,output/training/1422e687-d176-44a4-819e-2c10a141a682_delivery_3_phase_labels.csv,manual,train,126,29.917449999076624,126,
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,input/178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10.mp4,output/features/178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10_features.csv,output/keypoints/178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10_keypoints.csv,output/training/178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10_phase_labels.csv,manual,train,204,54.852635824507416,165,
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,input/1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2.mp4,output/features/1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2_features.csv,output/keypoints/1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2_keypoints.csv,output/training/1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2_phase_labels.csv,manual,train,93,29.91112429376512,93,
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13,input/21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13.mp4,output/features/21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13_features.csv,output/keypoints/21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13_keypoints.csv,output/training/21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_13_phase_labels.csv,manual,train,98,30.05100493695081,98,
21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_14,input/21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_14.mp4,output/features/21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_14_features.csv,output/keypoints/21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_14_keypoints.csv,output/training/21c1f521-f220-4a6e-83aa-71ca085845bf_delivery_14_phase_labels.csv,manual,train,104,30.046996584401242,104,
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,input/22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2.mp4,output/features/22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2_features.csv,output/keypoints/22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2_keypoints.csv,output/training/22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2_phase_labels.csv,manual,train,171,60.010528162835584,171,
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3,input/22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3.mp4,output/features/22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3_features.csv,output/keypoints/22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3_keypoints.csv,output/training/22a76ae6-8845-4c11-9024-87a931a562d4_delivery_3_phase_labels.csv,manual,train,134,60.00537361554766,134,
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,input/22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4.mp4,output/features/22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4_features.csv,output/keypoints/22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4_keypoints.csv,output/training/22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4_phase_labels.csv,manual,test,177,58.25413136251769,175,
2528ff4e-de60-4e30-8b17-d238eca61e70_delivery_14,input/2528ff4e-de60-4e30-8b17-d238eca61e70_delivery_14.mp4,output/features/2528ff4e-de60-4e30-8b17-d238eca61e70_delivery_14_features.csv,output/keypoints/2528ff4e-de60-4e30-8b17-d238eca61e70_delivery_14_keypoints.csv,output/training/2528ff4e-de60-4e30-8b17-d238eca61e70_delivery_14_phase_labels.csv,manual,test,99,29.902640225259844,89,
2d36b9ce-c540-4fce-afae-1320568ec687_delivery_7,input/2d36b9ce-c540-4fce-afae-1320568ec687_delivery_7.mp4,output/features/2d36b9ce-c540-4fce-afae-1320568ec687_delivery_7_features.csv,output/keypoints/2d36b9ce-c540-4fce-afae-1320568ec687_delivery_7_keypoints.csv,output/training/2d36b9ce-c540-4fce-afae-1320568ec687_delivery_7_phase_labels.csv,manual,train,142,60.0101425593058,142,
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,input/3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11.mp4,output/features/3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11_features.csv,output/keypoints/3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11_keypoints.csv,output/training/3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11_phase_labels.csv,manual,train,203,50.0,150,
