frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,228.0344696044922,371.4725646972656,229.5317840576172,368.0705261230469,224.79803466796875,369.4981384277344,234.08731079101562,367.2601318359375,223.05899047851562,370.0889892578125,241.74114990234375,376.6650390625,231.93020629882812,380.5588073730469,243.51255798339844,396.8692626953125,234.56068420410156,400.89410400390625,242.93984985351562,416.6222839355469,239.6595001220703,414.7095947265625,267.3134460449219,401.6788330078125,261.1062316894531,403.6861877441406,245.38504028320312,429.2355651855469,247.47750854492188,430.8076477050781,250.29022216796875,461.099609375,253.08070373535156,459.9171447753906
1,1,,228.09597778320312,371.32672119140625,229.6300506591797,367.9436340332031,224.8505859375,369.34588623046875,234.21275329589844,367.2021789550781,223.0637664794922,369.9722900390625,241.87973022460938,376.65350341796875,231.7672882080078,380.494140625,243.56658935546875,396.90460205078125,234.52310180664062,400.9106750488281,242.87037658691406,416.41070556640625,239.57180786132812,414.681640625,267.2509460449219,401.6817321777344,260.8111877441406,403.6753845214844,245.46214294433594,429.0264587402344,247.30828857421875,430.63079833984375,250.38275146484375,461.02978515625,252.87289428710938,459.91827392578125
2,1,,228.2479248046875,371.29669189453125,229.7537384033203,367.9304504394531,224.97219848632812,369.3198547363281,234.30406188964844,367.17657470703125,223.1180419921875,369.94085693359375,242.2391357421875,376.66619873046875,231.5957489013672,380.5837097167969,243.78277587890625,396.9425048828125,234.47732543945312,401.1180419921875,242.807373046875,416.3484191894531,239.63523864746094,414.6901550292969,267.0981750488281,401.6609802246094,260.2237548828125,403.72906494140625,246.39466857910156,428.67889404296875,247.130126953125,430.59320068359375,250.7265167236328,460.24591064453125,252.4910430908203,459.7256774902344
3,1,,228.45230102539062,371.1687927246094,229.94700622558594,367.834716796875,225.1333770751953,369.2046813964844,234.46522521972656,367.1337890625,223.1557159423828,369.88189697265625,242.6943817138672,376.69830322265625,231.22315979003906,380.70062255859375,244.0212860107422,396.9106750488281,234.2773895263672,401.3019104003906,242.71766662597656,416.2818603515625,239.69497680664062,414.5318298339844,266.8045654296875,401.6662292480469,259.2664794921875,403.8168640136719,247.50987243652344,428.358642578125,246.71603393554688,430.5921936035156,251.16098022460938,459.5570373535156,251.91685485839844,459.63433837890625
4,1,,228.6146697998047,371.10723876953125,230.08302307128906,367.80560302734375,225.2667694091797,369.1609191894531,234.5710906982422,367.1416320800781,223.2173309326172,369.8757019042969,243.1101837158203,376.7381591796875,230.99436950683594,380.7434387207031,244.2105255126953,396.9562072753906,234.22096252441406,401.39862060546875,242.63294982910156,416.19342041015625,239.78848266601562,414.3626403808594,266.6337585449219,401.6552429199219,258.5628356933594,403.8196716308594,248.4242706298828,427.9548645019531,246.36398315429688,430.3138122558594,251.50875854492188,458.963623046875,251.3732147216797,459.31610107421875
5,1,,228.78857421875,371.05224609375,230.21156311035156,367.7821044921875,225.40826416015625,369.1314697265625,234.64183044433594,367.1465759277344,223.29429626464844,369.89288330078125,243.43106079101562,376.72088623046875,230.902099609375,380.8136901855469,244.36090087890625,396.8675231933594,234.25302124023438,401.5200500488281,242.55934143066406,416.0417175292969,239.88613891601562,414.3162841796875,266.451416015625,401.57110595703125,258.027587890625,403.8006896972656,249.33779907226562,427.55621337890625,246.29092407226562,430.1602478027344,251.83364868164062,458.24188232421875,251.06063842773438,459.0594177246094
6,1,,228.8524169921875,371.012939453125,230.23367309570312,367.7635192871094,225.45291137695312,369.1148376464844,234.569580078125,367.1669616699219,223.27392578125,369.92730712890625,243.44346618652344,376.74078369140625,230.8336181640625,380.81243896484375,244.34713745117188,396.7698974609375,234.40615844726562,401.337158203125,242.61859130859375,416.0096435546875,240.08004760742188,413.78076171875,266.2953796386719,401.4706726074219,257.79840087890625,403.6744079589844,249.81524658203125,427.80511474609375,246.45826721191406,430.2481384277344,251.73512268066406,458.4514465332031,251.1676025390625,459.0352783203125
7,1,,228.81942749023438,370.9350280761719,230.21817016601562,367.6942138671875,225.41824340820312,369.0399169921875,234.50466918945312,367.2091369628906,223.2072296142578,369.94122314453125,243.1313018798828,376.79168701171875,230.95306396484375,380.7156066894531,244.149658203125,396.7120666503906,234.7775115966797,400.94952392578125,242.69898986816406,415.9467468261719,240.16773986816406,413.1219177246094,266.25189208984375,401.40045166015625,258.0810241699219,403.47796630859375,249.42196655273438,428.2678527832031,246.77420043945312,430.235107421875,251.34710693359375,459.399658203125,251.51162719726562,459.1522216796875
8,1,,228.73367309570312,370.87237548828125,230.13665771484375,367.63616943359375,225.35304260253906,368.9770202636719,234.3994598388672,367.20355224609375,223.16555786132812,369.9115295410156,242.94020080566406,376.74932861328125,231.07984924316406,380.58734130859375,244.11563110351562,396.5832824707031,235.12905883789062,400.5737609863281,242.85140991210938,415.81195068359375,240.12098693847656,412.34356689453125,266.38604736328125,401.2481994628906,258.4512634277344,403.22357177734375,249.05026245117188,428.4530334472656,246.93783569335938,430.0331115722656,251.04766845703125,460.0504455566406,251.7355499267578,459.099365234375
9,1,,228.6912841796875,370.8704833984375,230.06719970703125,367.6397705078125,225.3429718017578,368.9710388183594,234.23670959472656,367.2485046386719,223.16978454589844,369.9241027832031,242.7261505126953,376.7747497558594,231.18084716796875,380.5184020996094,244.0638427734375,396.64703369140625,235.30162048339844,400.2667541503906,242.9823455810547,415.9370422363281,239.88401794433594,411.4388732910156,266.4973449707031,401.0116271972656,258.8064270019531,402.9073486328125,248.55056762695312,428.6689453125,247.05772399902344,429.98175048828125,250.82655334472656,460.6832275390625,251.94886779785156,459.240478515625
