frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,207.84738159179688,276.7054138183594,209.36248779296875,274.30792236328125,206.25828552246094,274.6435241699219,213.04469299316406,274.8802795410156,206.0998992919922,275.2923278808594,219.85391235351562,286.4718933105469,209.4405975341797,284.4700622558594,223.449951171875,305.9067077636719,206.67124938964844,290.4623107910156,213.08370971679688,306.2469177246094,196.64801025390625,283.1748352050781,232.621337890625,314.1235656738281,225.86337280273438,313.9478759765625,218.93035888671875,338.44476318359375,215.3828582763672,340.920654296875,226.10653686523438,367.2746276855469,221.59677124023438,370.9104309082031
1,1,,208.3188934326172,276.5328063964844,209.9495086669922,274.0797119140625,206.4400634765625,274.44976806640625,213.49649047851562,274.74517822265625,205.63836669921875,275.2524719238281,219.6875762939453,286.51739501953125,209.09523010253906,284.3550109863281,223.33090209960938,306.0187683105469,206.12176513671875,289.32098388671875,213.1845245361328,306.4032897949219,196.0959930419922,281.0890197753906,232.67926025390625,314.1983947753906,225.82330322265625,314.0290832519531,219.04635620117188,338.49072265625,215.47305297851562,340.9958190917969,226.13352966308594,367.2366638183594,221.43980407714844,370.8694152832031
2,1,,208.49859619140625,276.6134033203125,210.181640625,274.13525390625,206.55027770996094,274.4627380371094,213.80149841308594,274.76812744140625,205.6284637451172,275.1595153808594,219.72506713867188,286.52313232421875,209.59693908691406,284.5901184082031,223.05860900878906,306.16278076171875,208.00009155273438,291.7191467285156,213.06723022460938,306.3193664550781,198.56056213378906,285.41632080078125,232.68174743652344,314.2495422363281,226.04685974121094,314.0769958496094,219.1884002685547,338.3464050292969,215.87985229492188,340.6478271484375,226.1958465576172,367.2364196777344,221.63119506835938,370.6054992675781
3,1,,209.36158752441406,276.5160827636719,211.24032592773438,273.9655456542969,206.94583129882812,274.32891845703125,214.6933135986328,274.6434326171875,204.98715209960938,275.148681640625,219.5278778076172,286.565673828125,209.42727661132812,284.4966735839844,222.74954223632812,306.3699645996094,208.41574096679688,291.4863586425781,212.97669982910156,306.4468688964844,199.18223571777344,285.9177551269531,232.67787170410156,314.3477783203125,226.05990600585938,314.1524353027344,219.28872680664062,338.4896240234375,216.24896240234375,340.6822814941406,226.18345642089844,367.107177734375,221.7642822265625,370.3302917480469
4,1,,209.486572265625,276.58978271484375,211.3661651611328,274.01336669921875,207.01287841796875,274.39776611328125,214.81295776367188,274.6285400390625,205.0291290283203,275.1703796386719,219.37864685058594,286.5511779785156,209.86846923828125,284.3074951171875,222.57313537597656,306.58245849609375,208.74745178222656,291.102783203125,212.96412658691406,306.62774658203125,199.2784423828125,285.6656799316406,232.70654296875,314.35089111328125,226.4856414794922,314.0870056152344,219.41378784179688,338.5869140625,216.6791534423828,340.6382751464844,226.2127227783203,367.1921691894531,221.64181518554688,370.2641296386719
5,1,,209.3839569091797,276.8431396484375,211.23406982421875,274.22698974609375,206.99261474609375,274.5980224609375,214.885986328125,274.7374572753906,205.34451293945312,275.2197265625,219.57809448242188,286.59039306640625,210.81687927246094,284.75531005859375,222.3857421875,306.88238525390625,211.38233947753906,294.5376281738281,212.93922424316406,306.62933349609375,202.61378479003906,291.3167724609375,232.55191040039062,314.33935546875,226.71090698242188,314.05865478515625,219.2235107421875,338.4787902832031,216.93252563476562,340.2008056640625,226.01889038085938,367.50250244140625,221.4541015625,370.0630798339844
6,1,,209.2061309814453,276.88311767578125,211.01568603515625,274.2823791503906,206.96849060058594,274.5955810546875,214.8478240966797,274.749755859375,205.74537658691406,275.0663757324219,219.6483154296875,286.510986328125,211.77630615234375,285.0426940917969,222.0087127685547,306.93695068359375,213.9566650390625,297.84368896484375,212.8021240234375,306.3827209472656,205.8827667236328,297.29296875,232.45262145996094,314.3016357421875,227.08213806152344,314.0126647949219,219.1537322998047,338.2355651855469,217.24908447265625,339.7380065917969,225.9593963623047,367.5526428222656,221.5664825439453,369.8504638671875
7,1,,209.216064453125,276.617919921875,210.99180603027344,274.02069091796875,206.96054077148438,274.37200927734375,214.76025390625,274.6039733886719,205.72760009765625,275.0185546875,219.5325469970703,286.4099426269531,211.8461456298828,285.0937805175781,221.8354034423828,307.00830078125,213.85226440429688,297.705322265625,213.19644165039062,308.3285827636719,206.00051879882812,297.2035827636719,232.35177612304688,314.0953369140625,227.13214111328125,313.88470458984375,218.91195678710938,338.154052734375,217.1433563232422,339.7231750488281,225.8717803955078,367.4972229003906,221.69741821289062,369.73907470703125
8,1,,209.14906311035156,276.3499755859375,210.8119354248047,273.7852783203125,207.01544189453125,274.1314697265625,214.48231506347656,274.4559631347656,205.99940490722656,274.85211181640625,219.41928100585938,286.1679992675781,212.19020080566406,285.3271179199219,221.63818359375,306.6527099609375,214.6095733642578,299.0345458984375,214.0443115234375,310.6257019042969,207.6048583984375,299.7774963378906,232.30506896972656,313.8037414550781,227.4049835205078,313.7558898925781,218.67559814453125,337.64959716796875,217.2787628173828,339.22857666015625,225.6985321044922,367.31396484375,222.19580078125,369.3401794433594
9,1,,209.00003051757812,276.0834655761719,210.7074432373047,273.52496337890625,206.88548278808594,273.8439025878906,214.46925354003906,274.3721008300781,205.86288452148438,274.6908264160156,219.30026245117188,285.96392822265625,212.12095642089844,285.83038330078125,221.229736328125,306.24786376953125,215.40371704101562,301.7485046386719,214.84765625,312.7806396484375,210.07247924804688,305.0057067871094,232.2528839111328,313.5160827636719,227.35374450683594,313.7184143066406,218.3969268798828,337.056396484375,217.1691131591797,338.80364990234375,225.78504943847656,366.9631652832031,222.66262817382812,368.94647216796875
