frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,207.47991943359375,290.71728515625,209.43902587890625,288.2936096191406,204.90597534179688,288.89849853515625,212.72357177734375,289.43389892578125,202.95611572265625,290.7689514160156,213.65118408203125,300.3528137207031,208.49478149414062,301.8584289550781,212.51634216308594,316.86981201171875,208.5156707763672,316.8167724609375,207.72286987304688,325.07861328125,205.94688415527344,320.08428955078125,218.5005645751953,329.5904541015625,215.44003295898438,330.1396484375,209.69207763671875,357.6318054199219,213.33566284179688,357.9424133300781,212.72555541992188,385.59197998046875,214.16590881347656,384.3277893066406
1,1,,207.44619750976562,290.7071228027344,209.4345703125,288.28594970703125,204.86929321289062,288.8795166015625,212.74163818359375,289.49237060546875,202.89419555664062,290.7970886230469,213.60594177246094,300.437255859375,208.3720703125,301.92620849609375,212.52435302734375,316.75079345703125,208.38958740234375,316.7655944824219,207.80078125,324.93353271484375,205.91859436035156,320.2389831542969,218.53427124023438,329.5777587890625,215.4306640625,330.1199035644531,209.58822631835938,357.6576232910156,213.29234313964844,357.9430847167969,212.68869018554688,385.60479736328125,214.18472290039062,384.30059814453125
2,1,,207.37533569335938,290.7202453613281,209.38522338867188,288.2988586425781,204.7903289794922,288.88616943359375,212.71551513671875,289.5502624511719,202.8031463623047,290.84014892578125,213.5733642578125,300.5108337402344,208.28944396972656,302.0060119628906,212.54244995117188,316.7330627441406,208.45530700683594,316.8855285644531,207.77426147460938,324.80157470703125,205.99276733398438,320.514404296875,218.58712768554688,329.564208984375,215.44676208496094,330.09967041015625,209.54757690429688,357.67193603515625,213.24949645996094,357.9292297363281,212.66152954101562,385.6407165527344,214.2205810546875,384.2964172363281
3,1,,207.28414916992188,290.7254333496094,209.33493041992188,288.2929382324219,204.67886352539062,288.87890625,212.70944213867188,289.6122741699219,202.66017150878906,290.899658203125,213.51348876953125,300.59765625,208.14682006835938,302.1310729980469,212.50856018066406,316.6700744628906,208.3580780029297,317.00732421875,207.78163146972656,324.6801452636719,205.97604370117188,320.7550964355469,218.64039611816406,329.5210266113281,215.4521026611328,330.06329345703125,209.3963165283203,357.6367492675781,213.1330108642578,357.8683166503906,212.60011291503906,385.6506042480469,214.26490783691406,384.242919921875
4,1,,207.20120239257812,290.735595703125,209.27687072753906,288.29931640625,204.58572387695312,288.87945556640625,212.68038940429688,289.6865539550781,202.55665588378906,290.9617919921875,213.46311950683594,300.6999816894531,208.0606231689453,302.26177978515625,212.5115203857422,316.5322265625,208.473388671875,317.1763916015625,207.8249053955078,324.3697814941406,206.08580017089844,321.2590637207031,218.6695098876953,329.4649353027344,215.44580078125,330.0018615722656,209.36489868164062,357.6014099121094,213.02261352539062,357.7891845703125,212.59707641601562,385.64801025390625,214.2755126953125,384.1781005859375
5,1,,207.1124267578125,290.77813720703125,209.1988983154297,288.3333740234375,204.47930908203125,288.9200439453125,212.6436767578125,289.7558288574219,202.44082641601562,291.04901123046875,213.4640655517578,300.8072814941406,207.93569946289062,302.3824157714844,212.50473022460938,316.46856689453125,208.62841796875,317.35211181640625,207.88890075683594,324.1528625488281,206.4265594482422,322.08978271484375,218.7239227294922,329.3948669433594,215.39321899414062,329.94097900390625,209.4044952392578,357.42266845703125,212.91981506347656,357.6747741699219,212.64256286621094,385.5181579589844,214.2701873779297,384.2189025878906
6,1,,207.03472900390625,290.7983703613281,209.15133666992188,288.3481140136719,204.3872833251953,288.9217529296875,212.63638305664062,289.8339538574219,202.3303680419922,291.094482421875,213.44235229492188,300.9705505371094,207.798828125,302.5243835449219,212.36807250976562,316.6168212890625,208.7602996826172,317.6831970214844,207.81382751464844,324.16473388671875,206.68357849121094,322.8835754394531,218.74635314941406,329.3525390625,215.30519104003906,329.8955993652344,209.53652954101562,357.2958068847656,212.7967071533203,357.58306884765625,212.7021484375,385.41552734375,214.24069213867188,384.2243957519531
7,1,,206.93890380859375,290.8265380859375,209.0901336669922,288.368896484375,204.2979736328125,288.925537109375,212.6424102783203,289.8965148925781,202.26063537597656,291.11114501953125,213.40670776367188,301.1243591308594,207.68397521972656,302.6206359863281,212.24838256835938,316.730712890625,208.8574981689453,317.814208984375,207.79649353027344,324.27874755859375,206.8616180419922,323.48858642578125,218.69593811035156,329.3096008300781,215.17091369628906,329.8467102050781,209.66136169433594,357.14739990234375,212.69984436035156,357.5027770996094,212.8039093017578,385.2642517089844,214.17726135253906,384.240966796875
8,1,,206.8474884033203,290.8417053222656,209.0377197265625,288.391845703125,204.22796630859375,288.9217224121094,212.65188598632812,289.9786682128906,202.2364501953125,291.121337890625,213.2898406982422,301.2414245605469,207.70599365234375,302.6919250488281,212.1306915283203,316.7799987792969,209.04891967773438,317.8573913574219,207.76361083984375,324.4659118652344,206.95724487304688,323.82830810546875,218.64596557617188,329.322998046875,215.19052124023438,329.8567810058594,209.80068969726562,357.11871337890625,212.73681640625,357.5261535644531,212.86639404296875,385.1675720214844,214.12635803222656,384.2511901855469
9,1,,206.73992919921875,290.87078857421875,208.97128295898438,288.43365478515625,204.15670776367188,288.9339599609375,212.65419006347656,290.0563049316406,202.22593688964844,291.1169738769531,213.16168212890625,301.3416748046875,207.72474670410156,302.7380065917969,211.9588165283203,316.9543151855469,209.1046142578125,317.9248046875,207.61546325683594,325.0077209472656,206.96151733398438,324.1121826171875,218.5997772216797,329.4254455566406,215.23077392578125,329.9532470703125,209.82940673828125,357.1495056152344,212.75762939453125,357.5950927734375,212.91868591308594,385.0859375,214.0933380126953,384.2231140136719
