frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,180.50204467773438,321.3871765136719,182.60353088378906,319.4613342285156,179.41477966308594,319.1676025390625,186.6377410888672,321.0700988769531,179.7446746826172,319.8689270019531,189.18955993652344,331.16839599609375,184.58631896972656,330.86468505859375,193.1788787841797,347.1554870605469,190.66799926757812,346.8597106933594,190.9643096923828,357.7742004394531,188.05662536621094,356.634765625,201.51205444335938,354.1017761230469,198.46939086914062,354.1375427246094,192.6294403076172,378.8052978515625,193.6400146484375,378.7481384277344,195.46852111816406,403.982421875,195.34585571289062,402.72418212890625
1,1,,180.18798828125,321.4674377441406,182.39608764648438,319.54693603515625,179.17413330078125,319.18597412109375,186.66041564941406,321.2018737792969,179.61965942382812,319.8091125488281,189.041015625,331.3229675292969,184.47401428222656,330.8305969238281,193.072021484375,347.32489013671875,190.59701538085938,346.8207702636719,191.12283325195312,358.05987548828125,188.04483032226562,356.94403076171875,201.623046875,354.1130065917969,198.60887145996094,354.096435546875,192.66661071777344,378.78704833984375,193.74942016601562,378.72119140625,195.57240295410156,403.8810119628906,195.4292755126953,402.5889892578125
2,1,,179.81585693359375,321.3999938964844,182.0005645751953,319.46240234375,178.8888702392578,319.1226501464844,186.41650390625,321.14520263671875,179.69053649902344,319.786865234375,189.09915161132812,331.3988037109375,184.65748596191406,330.9859313964844,192.8732452392578,347.6224670410156,190.69358825683594,347.4075927734375,190.88845825195312,358.04876708984375,188.0669403076172,357.1334228515625,201.52081298828125,354.2475891113281,198.5935821533203,354.22784423828125,192.60723876953125,378.7994689941406,193.66026306152344,378.6810302734375,195.37489318847656,404.0193786621094,195.45343017578125,402.6214904785156
3,1,,179.5418243408203,321.42083740234375,181.72532653808594,319.4814453125,178.70248413085938,319.1299743652344,186.21592712402344,321.1935119628906,179.71282958984375,319.7857971191406,188.9623565673828,331.54302978515625,184.5916748046875,331.0746765136719,192.52688598632812,347.8345642089844,190.54348754882812,347.6021423339844,190.83724975585938,358.1161804199219,188.09625244140625,357.3054504394531,201.54148864746094,354.278564453125,198.6428985595703,354.2480773925781,192.64981079101562,378.7711181640625,193.6228790283203,378.6548767089844,195.41444396972656,404.0194091796875,195.4211883544922,402.615234375
4,1,,178.91062927246094,321.3893737792969,181.0713348388672,319.4338684082031,178.26190185546875,319.080810546875,185.8148193359375,321.157958984375,179.8862762451172,319.7117614746094,188.99777221679688,331.67041015625,184.8582000732422,331.2161865234375,192.23831176757812,348.3742370605469,190.78033447265625,348.4507141113281,190.38848876953125,357.9996032714844,188.11570739746094,357.5539855957031,201.41818237304688,354.4333190917969,198.66490173339844,354.35321044921875,192.57797241210938,378.7572326660156,193.52552795410156,378.5204162597656,195.22451782226562,404.208251953125,195.38394165039062,402.615478515625
5,1,,178.32559204101562,321.359619140625,180.46240234375,319.36822509765625,177.8211669921875,319.03631591796875,185.44415283203125,321.08380126953125,180.00384521484375,319.66473388671875,189.0498504638672,331.7614440917969,185.16693115234375,331.410888671875,191.85812377929688,348.9026184082031,190.8504638671875,349.4448547363281,189.67384338378906,357.6162414550781,187.79486083984375,357.7410888671875,201.3392791748047,354.57275390625,198.76158142089844,354.46551513671875,192.4413299560547,378.6945495605469,193.46128845214844,378.3450927734375,195.02389526367188,404.3668518066406,195.34474182128906,402.5889892578125
6,1,,178.06817626953125,321.2974548339844,180.10516357421875,319.2741394042969,177.65077209472656,318.9945068359375,185.09136962890625,320.9601745605469,180.23387145996094,319.66241455078125,189.12173461914062,331.8277282714844,185.52647399902344,331.61761474609375,191.4580535888672,349.45172119140625,191.01681518554688,350.368408203125,188.73013305664062,357.18023681640625,187.57798767089844,357.7044677734375,201.21177673339844,354.7183532714844,198.80990600585938,354.60003662109375,192.361083984375,378.7242431640625,193.41969299316406,378.2731018066406,194.8529052734375,404.5904541015625,195.24903869628906,402.6795654296875
7,1,,178.07620239257812,321.40301513671875,180.15602111816406,319.3699645996094,177.67881774902344,319.0494079589844,185.1214141845703,321.0516662597656,180.2086944580078,319.6435852050781,188.94219970703125,331.9171142578125,185.42376708984375,331.6391296386719,191.1161651611328,349.7181701660156,191.0095977783203,350.6161193847656,188.36746215820312,357.1378479003906,187.22384643554688,357.70892333984375,201.43759155273438,354.4005126953125,199.0509490966797,354.262939453125,192.40542602539062,378.6048889160156,193.59536743164062,378.11785888671875,194.9903106689453,404.6016540527344,195.16714477539062,402.5839538574219
8,1,,178.43106079101562,321.347412109375,180.5167694091797,319.2889099121094,177.88088989257812,318.955078125,185.25253295898438,320.9993591308594,180.01577758789062,319.5777893066406,188.81671142578125,332.0078125,185.3562469482422,331.6748962402344,190.9708709716797,350.06597900390625,191.10714721679688,350.8516540527344,187.93121337890625,357.0195007324219,187.05714416503906,357.62860107421875,201.46559143066406,354.4004211425781,199.0915069580078,354.23828125,192.43821716308594,378.63458251953125,193.65365600585938,378.07366943359375,195.143310546875,404.64056396484375,194.9938201904297,402.54241943359375
9,1,,178.9049835205078,321.2734680175781,180.98683166503906,319.1943359375,178.16159057617188,318.8683166503906,185.4714813232422,320.9469909667969,179.82064819335938,319.5723571777344,188.73660278320312,332.058349609375,185.34207153320312,331.7266540527344,190.98495483398438,350.12030029296875,191.2068328857422,350.7968444824219,187.8132781982422,357.0258483886719,187.001708984375,357.5319519042969,201.43919372558594,354.4083557128906,199.1053466796875,354.25506591796875,192.4098663330078,378.6566162109375,193.75924682617188,378.0790100097656,195.22903442382812,404.59991455078125,194.91993713378906,402.4852294921875
