frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,219.96812438964844,409.2862243652344,222.0068817138672,407.1222229003906,217.8525390625,407.5325927734375,226.2891082763672,408.2387390136719,217.14881896972656,408.97705078125,227.03878784179688,418.3812561035156,224.4518585205078,419.4601135253906,222.90969848632812,433.4130859375,224.7640838623047,434.3305969238281,217.1446075439453,446.235107421875,218.59835815429688,446.7950134277344,236.34521484375,444.13616943359375,234.54803466796875,444.5309143066406,231.35989379882812,462.8805236816406,232.05389404296875,462.84649658203125,234.15200805664062,485.1769104003906,234.70689392089844,483.6799011230469
1,1,,220.03042602539062,409.244873046875,222.07015991210938,407.0975646972656,217.93008422851562,407.4716491699219,226.29647827148438,408.2447204589844,217.18011474609375,408.8665771484375,227.0966033935547,418.4793701171875,224.28970336914062,419.44256591796875,222.8546905517578,433.5414123535156,224.61691284179688,434.29656982421875,216.8038330078125,446.7072448730469,218.51205444335938,447.01275634765625,236.42242431640625,444.26824951171875,234.4326934814453,444.6339416503906,231.358642578125,462.7198791503906,232.10804748535156,462.7442626953125,234.18765258789062,485.0146484375,234.54669189453125,483.66497802734375
2,1,,220.06822204589844,409.1934814453125,222.0973358154297,407.0551452636719,217.99594116210938,407.40692138671875,226.28067016601562,408.1925354003906,217.25021362304688,408.7467041015625,227.13497924804688,418.4688720703125,224.21896362304688,419.376220703125,222.86793518066406,433.5365905761719,224.5268096923828,434.2281188964844,216.60182189941406,446.9309997558594,218.38760375976562,447.11041259765625,236.40328979492188,444.2796630859375,234.31793212890625,444.6287841796875,231.3474578857422,462.7059020996094,232.1540069580078,462.759521484375,234.22698974609375,484.971435546875,234.4734649658203,483.707763671875
3,1,,220.2021026611328,409.0251159667969,222.25221252441406,406.90185546875,218.1591796875,407.21142578125,226.3743438720703,408.0583190917969,217.38795471191406,408.5281677246094,226.9959259033203,418.3466491699219,224.2247314453125,419.2235107421875,222.84483337402344,433.50714111328125,224.3443145751953,434.1907958984375,216.44906616210938,447.0538635253906,218.05433654785156,447.2607421875,236.17156982421875,444.06231689453125,234.23046875,444.4373779296875,231.23440551757812,462.61328125,232.19058227539062,462.7802734375,234.184814453125,484.8739318847656,234.50511169433594,483.7917785644531
4,1,,220.2845001220703,408.8906555175781,222.33102416992188,406.79144287109375,218.28318786621094,407.069091796875,226.43057250976562,407.9330139160156,217.4967498779297,408.3379821777344,227.10040283203125,418.26007080078125,224.07809448242188,419.10693359375,222.82130432128906,433.4684753417969,224.06143188476562,434.2007141113281,216.3173065185547,447.00567626953125,217.75035095214844,447.4379577636719,235.97764587402344,444.06976318359375,233.8676300048828,444.4346008300781,231.2161407470703,462.5246887207031,232.01190185546875,462.7044372558594,234.20082092285156,484.7187805175781,234.34304809570312,483.7492980957031
5,1,,220.30555725097656,408.686767578125,222.4036102294922,406.60784912109375,218.34986877441406,406.85772705078125,226.564453125,407.7464294433594,217.58126831054688,408.13201904296875,226.9695587158203,417.93536376953125,224.0155792236328,418.87939453125,222.7709197998047,432.9934997558594,223.78106689453125,434.06134033203125,216.5538330078125,446.3192138671875,217.5492401123047,447.34295654296875,235.58363342285156,443.8245544433594,233.591552734375,444.2443542480469,231.20648193359375,462.6100769042969,231.8944091796875,462.8131408691406,234.14382934570312,484.78759765625,234.37635803222656,483.84063720703125
6,1,,220.27630615234375,408.4393615722656,222.40318298339844,406.366455078125,218.3551788330078,406.6166687011719,226.6553192138672,407.4722595214844,217.63665771484375,407.9111022949219,226.9402313232422,417.5392761230469,223.991943359375,418.61285400390625,222.8493194580078,432.4036865234375,223.5946502685547,433.80975341796875,216.9400634765625,445.3547668457031,217.43165588378906,446.9962463378906,235.20501708984375,443.5119934082031,233.29013061523438,443.9776306152344,231.18540954589844,462.6602478027344,231.7523956298828,462.8323974609375,234.04660034179688,484.8583679199219,234.4095001220703,483.8572998046875
7,1,,220.29830932617188,408.2926330566406,222.45643615722656,406.2249755859375,218.38748168945312,406.4781799316406,226.78689575195312,407.2690734863281,217.66900634765625,407.76678466796875,226.91668701171875,417.165283203125,223.98744201660156,418.35797119140625,222.92539978027344,431.77593994140625,223.45289611816406,433.5103454589844,217.3201141357422,444.2580871582031,217.38681030273438,446.5787353515625,234.85890197753906,443.27618408203125,233.02525329589844,443.7868957519531,231.1592254638672,462.66162109375,231.60169982910156,462.8075866699219,233.96176147460938,484.8692321777344,234.40834045410156,483.82257080078125
8,1,,220.27371215820312,408.1603698730469,222.4258575439453,406.08184814453125,218.3665008544922,406.35693359375,226.82229614257812,407.0471496582031,217.66390991210938,407.6106262207031,227.09156799316406,416.8832092285156,223.89028930664062,418.1659851074219,223.09242248535156,431.15673828125,223.3916473388672,433.1029052734375,217.56565856933594,443.59222412109375,217.518798828125,446.12994384765625,234.7553253173828,443.20880126953125,232.73446655273438,443.7319030761719,231.21771240234375,462.6271667480469,231.57481384277344,462.71392822265625,233.9254150390625,484.8669128417969,234.2955322265625,483.7542419433594
9,1,,220.2196502685547,408.019775390625,222.3850555419922,405.9552307128906,218.35092163085938,406.2132263183594,226.84361267089844,406.89031982421875,217.69126892089844,407.4118347167969,227.15411376953125,416.6545715332031,223.8032684326172,417.9197692871094,223.2718048095703,430.6990051269531,223.38388061523438,432.67315673828125,217.8184356689453,443.1910095214844,217.71888732910156,445.7350769042969,234.6648712158203,443.1315002441406,232.54530334472656,443.6475830078125,231.21043395996094,462.5711669921875,231.5897979736328,462.65185546875,233.9232940673828,484.84429931640625,234.23544311523438,483.743408203125
10,1,,220.2803192138672,407.9596252441406,222.418212890625,405.89300537109375,218.4261932373047,406.1505432128906,226.83702087402344,406.756591796875,217.78395080566406,407.27337646484375,227.1645050048828,416.5119323730469,223.8988494873047,417.7364807128906,223.3983917236328,430.5643005371094,223.4760284423828,432.42852783203125,217.883544921875,443.1911926269531,217.83059692382812,445.5447692871094,234.57679748535156,443.1043701171875,232.5243377685547,443.6094970703125,231.13990783691406,462.58697509765625,231.614013671875,462.6888122558594,233.93716430664062,484.8205871582031,234.27674865722656,483.7478332519531
11,1,,220.4033203125,407.9937438964844,222.52252197265625,405.9364929199219,218.56707763671875,406.1885681152344,226.9066925048828,406.74285888671875,217.9236297607422,407.25079345703125,227.27134704589844,416.4618835449219,223.96217346191406,417.6905822753906,223.5139617919922,430.49993896484375,223.60719299316406,432.3945617675781,217.97152709960938,443.1705017089844,217.92169189453125,445.5105285644531,234.5742645263672,443.1227111816406,232.49180603027344,443.6283874511719,231.13668823242188,462.5927429199219,231.620361328125,462.6996154785156,233.96961975097656,484.75482177734375,234.3587646484375,483.6998596191406
12,1,,220.48524475097656,407.9701232910156,222.58847045898438,405.9129638671875,218.64527893066406,406.1735534667969,226.94729614257812,406.7047424316406,217.9854736328125,407.24285888671875,227.36712646484375,416.45892333984375,223.95986938476562,417.73736572265625,223.56097412109375,430.5018005371094,223.6792449951172,432.5806884765625,218.1471405029297,442.9937438964844,217.95274353027344,445.773681640625,234.55145263671875,443.1548156738281,232.40151977539062,443.6741638183594,231.15655517578125,462.6358642578125,231.58929443359375,462.73046875,233.96578979492188,484.7240295410156,234.4164581298828,483.67279052734375
13,1,,220.53518676757812,408.04931640625,222.64898681640625,406.0004577636719,218.680908203125,406.2527770996094,226.97442626953125,406.82476806640625,217.98963928222656,407.3379821777344,227.2699432373047,416.5784606933594,224.05899047851562,417.7941589355469,223.45945739746094,430.8725280761719,223.74729919433594,432.7596740722656,218.0486297607422,443.7123718261719,217.94813537597656,446.1322326660156,234.53335571289062,443.2950439453125,232.5222930908203,443.7941589355469,231.15072631835938,462.7811279296875,231.6049346923828,462.8513488769531,233.9850616455078,484.8586120605469,234.51646423339844,483.73681640625
14,1,,220.5861053466797,408.1896667480469,222.7011260986328,406.1224670410156,218.6812744140625,406.3974304199219,226.9966278076172,406.9559631347656,217.94049072265625,407.5252990722656,227.1939697265625,416.7369689941406,224.21591186523438,417.97149658203125,223.31678771972656,431.26348876953125,223.7978973388672,433.0686950683594,217.88589477539062,444.460205078125,217.8496551513672,446.58819580078125,234.5410614013672,443.5039367675781,232.69224548339844,444.00244140625,231.1439666748047,462.97772216796875,231.62310791015625,463.00799560546875,233.98675537109375,485.0340576171875,234.54493713378906,483.7987976074219
15,1,,220.58460998535156,408.3203430175781,222.7076873779297,406.24725341796875,218.63072204589844,406.5362854003906,226.97564697265625,407.1377868652344,217.83213806152344,407.74371337890625,227.11199951171875,416.97369384765625,224.26422119140625,418.202392578125,223.20298767089844,431.74871826171875,223.83860778808594,433.41754150390625,217.74282836914062,445.1391296386719,217.7346954345703,447.0160217285156,234.5876922607422,443.737548828125,232.82603454589844,444.2308349609375,231.16183471679688,463.2049865722656,231.5958709716797,463.2066955566406,234.05001831054688,485.209228515625,234.61944580078125,483.912109375
16,1,,220.5422821044922,408.44903564453125,222.67691040039062,406.3639831542969,218.53675842285156,406.66748046875,226.91009521484375,407.30169677734375,217.6756134033203,407.94256591796875,226.9068603515625,417.167236328125,224.31861877441406,418.4090881347656,223.105712890625,432.0538024902344,223.8277130126953,433.6354064941406,217.6628875732422,445.73846435546875,217.63113403320312,447.348388671875,234.53970336914062,444.021240234375,232.95921325683594,444.526123046875,231.18878173828125,463.5455017089844,231.61854553222656,463.55145263671875,234.13189697265625,485.4812927246094,234.63723754882812,484.146728515625
17,1,,220.47427368164062,408.56341552734375,222.62669372558594,406.46917724609375,218.43667602539062,406.77191162109375,226.83969116210938,407.49127197265625,217.52944946289062,408.0858154296875,226.85757446289062,417.4396667480469,224.22640991210938,418.6385192871094,223.00961303710938,432.3128662109375,223.77931213378906,433.7433776855469,217.32571411132812,446.4644775390625,217.65113830566406,447.3669738769531,234.76219177246094,444.2940673828125,233.08421325683594,444.77740478515625,231.28028869628906,463.6924743652344,231.83944702148438,463.68505859375,234.2816162109375,485.6669616699219,234.58749389648438,484.2619934082031
18,1,,220.423095703125,408.6787109375,222.57386779785156,406.5751953125,218.36293029785156,406.8941345214844,226.77989196777344,407.609375,217.4271240234375,408.2492370605469,226.78529357910156,417.5482482910156,224.16712951660156,418.8427734375,223.03656005859375,432.2071533203125,223.80386352539062,433.8536376953125,217.52745056152344,445.99884033203125,217.7774200439453,447.22357177734375,234.7777557373047,444.4018249511719,233.10487365722656,444.937744140625,231.3812255859375,463.74359130859375,231.9222412109375,463.8151550292969,234.36981201171875,485.6625061035156,234.64414978027344,484.36846923828125
19,1,,220.3819122314453,408.791015625,222.5341796875,406.6985168457031,218.3133087158203,407.01959228515625,226.72113037109375,407.7718200683594,217.34323120117188,408.3965759277344,226.74160766601562,417.67962646484375,224.06617736816406,418.9896240234375,223.0390625,432.0969543457031,223.86097717285156,433.8671875,217.64024353027344,445.57818603515625,217.9728240966797,446.9548034667969,234.85479736328125,444.5638427734375,233.10662841796875,445.1002197265625,231.43609619140625,463.87213134765625,231.99737548828125,463.932861328125,234.48788452148438,485.7101135253906,234.6173858642578,484.3636474609375
20,1,,220.3101806640625,408.8706970214844,222.45755004882812,406.76763916015625,218.22898864746094,407.11431884765625,226.67176818847656,407.82159423828125,217.24752807617188,408.5258483886719,226.7715606689453,417.6548767089844,223.91561889648438,419.1622314453125,223.0784454345703,431.65704345703125,223.84881591796875,434.055908203125,218.10101318359375,444.13372802734375,218.10531616210938,446.75848388671875,234.90225219726562,444.4898986816406,233.0231475830078,445.105224609375,231.5914306640625,463.7102355957031,232.0181427001953,463.82476806640625,234.52789306640625,485.56048583984375,234.67222595214844,484.328369140625
21,1,,220.24513244628906,408.9273986816406,222.38650512695312,406.80303955078125,218.13612365722656,407.175537109375,226.62081909179688,407.8411865234375,217.132568359375,408.6231994628906,226.81549072265625,417.65582275390625,223.7610626220703,419.29193115234375,223.19821166992188,431.2107238769531,223.77980041503906,434.25738525390625,218.78363037109375,442.0029296875,218.2172393798828,446.5990295410156,234.9560546875,444.38623046875,232.94070434570312,445.0447082519531,231.63121032714844,463.58209228515625,231.96531677246094,463.6965637207031,234.51858520507812,485.41796875,234.61114501953125,484.2767028808594
22,1,,220.18882751464844,409.0086669921875,222.3262939453125,406.8724670410156,218.05709838867188,407.273193359375,226.5752410888672,407.88214111328125,217.04092407226562,408.779541015625,226.66696166992188,417.5924987792969,223.7733612060547,419.3717346191406,223.2218017578125,430.9576110839844,223.6831817626953,434.3538513183594,219.28172302246094,440.8562316894531,218.1927490234375,446.5090026855469,234.8146209716797,444.2580261230469,232.9797821044922,444.98785400390625,231.55496215820312,463.49786376953125,231.75328063964844,463.67730712890625,234.4562530517578,485.328369140625,234.66851806640625,484.28900146484375
23,1,,220.15188598632812,409.0338439941406,222.2744598388672,406.89556884765625,218.00425720214844,407.30322265625,226.49342346191406,407.9065856933594,216.97251892089844,408.821533203125,226.6197052001953,417.5884704589844,223.73768615722656,419.3735046386719,223.2108612060547,430.6562194824219,223.6844482421875,434.2613830566406,219.42335510253906,439.6664123535156,218.26382446289062,446.1814880371094,234.83021545410156,444.1611022949219,232.9886474609375,444.88446044921875,231.4676971435547,463.48565673828125,231.6497802734375,463.61663818359375,234.41189575195312,485.31988525390625,234.5085906982422,484.2294616699219
