frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,398.980712890625,797.1732177734375,401.9366455078125,792.076904296875,393.7010192871094,793.6195068359375,410.091552734375,792.4902954101562,391.0358581542969,795.2223510742188,421.16534423828125,810.3224487304688,403.2660217285156,814.0463256835938,423.9983825683594,844.49560546875,411.37554931640625,849.4571533203125,429.7926940917969,872.7965087890625,429.17913818359375,873.40869140625,454.4824523925781,850.130126953125,442.15338134765625,853.28369140625,446.6340026855469,898.19580078125,440.38653564453125,900.9920043945312,446.6506652832031,949.2022705078125,442.6820983886719,949.4791259765625
1,1,,398.94384765625,797.1022338867188,401.94195556640625,792.0062866210938,393.6505126953125,793.5343627929688,410.1618347167969,792.4617919921875,390.960693359375,795.1546630859375,421.20343017578125,810.3504028320312,403.170654296875,813.9825439453125,424.01129150390625,844.6885375976562,411.3899230957031,849.4900512695312,429.8336181640625,872.960205078125,429.25048828125,873.49609375,454.4108581542969,850.1395263671875,441.97015380859375,853.24853515625,446.691650390625,898.2146606445312,440.18804931640625,900.9345703125,446.75775146484375,949.2408447265625,442.54388427734375,949.4169311523438
2,1,,398.93896484375,797.0850219726562,401.95208740234375,791.986572265625,393.63916015625,793.507080078125,410.1773376464844,792.44384765625,390.9368896484375,795.114013671875,421.1207580566406,810.3477783203125,403.2094421386719,813.9275512695312,423.9435729980469,844.7982788085938,411.432861328125,849.5075073242188,429.7824401855469,873.06640625,429.2777404785156,873.5797729492188,454.3622741699219,850.1536865234375,442.0192565917969,853.2432250976562,446.65948486328125,898.2706909179688,440.3577880859375,900.953369140625,446.761474609375,949.2796630859375,442.71435546875,949.3925170898438
3,1,,398.9489440917969,796.9384155273438,402.0041809082031,791.8320922851562,393.56982421875,793.3519287109375,410.207763671875,792.3853759765625,390.6979064941406,795.0527954101562,420.9234924316406,810.343994140625,403.0206604003906,813.8521728515625,423.8090515136719,844.904052734375,411.3858947753906,849.5108642578125,429.79315185546875,873.174560546875,429.3648681640625,873.6915893554688,454.0204162597656,850.1170654296875,441.67474365234375,853.1708374023438,446.6331481933594,898.32861328125,440.20428466796875,900.8902587890625,446.7290954589844,949.3916625976562,442.5367736816406,949.2860107421875
4,1,,398.9157409667969,796.8856201171875,401.97894287109375,791.7854614257812,393.50225830078125,793.2965698242188,410.1333312988281,792.3901977539062,390.5343322753906,795.0294799804688,420.7378234863281,810.36865234375,402.8397521972656,813.7947387695312,423.6549987792969,845.0069580078125,411.27032470703125,849.5015869140625,429.6854248046875,873.2698974609375,429.3955078125,873.7570190429688,453.77685546875,850.093994140625,441.4356689453125,853.1173095703125,446.5058288574219,898.3446655273438,440.1103515625,900.8378295898438,446.5259094238281,949.4734497070312,442.3249816894531,949.2425537109375
5,1,,398.895751953125,796.9236450195312,401.95672607421875,791.8137817382812,393.4505310058594,793.3281860351562,410.0409851074219,792.4085083007812,390.4002380371094,795.044677734375,420.51544189453125,810.3460083007812,402.8044128417969,813.7654418945312,423.54425048828125,844.9502563476562,411.202880859375,849.4188232421875,429.57025146484375,873.2232055664062,429.4051513671875,873.7138671875,453.9180603027344,850.08447265625,441.7377014160156,853.118408203125,446.3363342285156,898.3681640625,440.3503112792969,900.8735961914062,446.2882995605469,949.5280151367188,442.4611511230469,949.2551879882812
6,1,,398.9819030761719,796.8955078125,402.0382080078125,791.7655639648438,393.4642028808594,793.2945556640625,409.9736022949219,792.3739624023438,390.20404052734375,795.0427856445312,420.2621154785156,810.2821655273438,402.580322265625,813.7638549804688,423.33355712890625,844.6884155273438,411.0271301269531,849.2877197265625,429.3377990722656,873.0400390625,429.2813415527344,873.6357421875,453.96453857421875,849.9863891601562,441.82073974609375,853.063232421875,446.17572021484375,898.30419921875,440.3426208496094,900.8433837890625,446.1401672363281,949.6181640625,442.5709228515625,949.3025512695312
7,1,,399.0783386230469,796.8517456054688,402.1394958496094,791.6964721679688,393.46514892578125,793.2496337890625,409.9512939453125,792.3141479492188,389.9459533691406,795.041748046875,420.1366882324219,810.199462890625,402.1925354003906,813.7547607421875,423.2002258300781,844.4121704101562,410.7102966308594,849.1480102539062,429.1773376464844,872.8175048828125,429.1636962890625,873.4785766601562,454.014892578125,849.9140625,441.6856689453125,853.0321655273438,446.0517272949219,898.2286987304688,439.9945373535156,900.7815551757812,446.0544738769531,949.7348022460938,442.4017333984375,949.350830078125
8,1,,399.197265625,796.8776245117188,402.2702941894531,791.6895141601562,393.52532958984375,793.2607421875,410.0111999511719,792.2556762695312,389.84210205078125,795.024169921875,420.1017761230469,810.124267578125,402.025634765625,813.7205200195312,423.0993957519531,844.2711181640625,410.5403747558594,849.031005859375,428.9894104003906,872.6727905273438,429.04718017578125,873.3514404296875,454.267822265625,849.8700561523438,441.8603515625,853.0173950195312,445.9042053222656,898.1411743164062,439.8900451660156,900.7260131835938,446.0766296386719,949.7913208007812,442.57763671875,949.3970947265625
9,1,,399.334228515625,796.8524780273438,402.4213562011719,791.6362915039062,393.5815734863281,793.2291259765625,410.08233642578125,792.1788940429688,389.6789245605469,795.0033569335938,420.0731506347656,810.0214233398438,401.7533264160156,813.6776733398438,423.0567321777344,844.0213012695312,410.3299255371094,848.885498046875,428.964599609375,872.4852905273438,428.9872741699219,873.2045288085938,454.329833984375,849.8453979492188,441.7400207519531,853.0219116210938,445.93182373046875,898.1453247070312,439.56903076171875,900.718994140625,446.2626953125,949.9177856445312,442.5236511230469,949.4329223632812
