frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,219.72618103027344,342.95880126953125,222.1203155517578,340.87017822265625,217.79270935058594,340.8115234375,226.55938720703125,341.58099365234375,216.1602325439453,341.2030029296875,229.3379364013672,352.9299011230469,218.52915954589844,352.001953125,227.63919067382812,372.1905212402344,219.40122985839844,368.3153381347656,222.41986083984375,384.8813171386719,216.3787384033203,382.29638671875,236.71510314941406,380.72149658203125,229.15892028808594,380.6705017089844,230.91763305664062,407.3741455078125,227.2085723876953,407.3167419433594,235.95651245117188,432.44195556640625,225.81109619140625,432.2000732421875
1,1,,219.65762329101562,342.9765625,222.0494384765625,340.8924255371094,217.75393676757812,340.8309020996094,226.51797485351562,341.589111328125,216.17364501953125,341.2033996582031,229.35336303710938,352.9065856933594,218.49954223632812,352.00958251953125,227.68414306640625,372.159912109375,219.37191772460938,368.3656311035156,222.5689697265625,384.91510009765625,216.2673797607422,382.30084228515625,236.68177795410156,380.74786376953125,229.08164978027344,380.7063293457031,230.9029083251953,407.3935241699219,227.0264129638672,407.3443603515625,235.90029907226562,432.4578857421875,225.5503387451172,432.23199462890625
2,1,,219.59237670898438,342.97967529296875,221.95008850097656,340.9117431640625,217.7469940185547,340.848876953125,226.42848205566406,341.58941650390625,216.26416015625,341.19384765625,229.39901733398438,352.8859558105469,218.4723358154297,351.9749755859375,227.68923950195312,372.17547607421875,219.3461151123047,368.339111328125,222.5271759033203,384.9603271484375,216.26678466796875,382.19769287109375,236.66537475585938,380.7982177734375,229.00326538085938,380.7525329589844,230.93702697753906,407.422607421875,226.96241760253906,407.3835754394531,235.9091339111328,432.474609375,225.53036499023438,432.27679443359375
3,1,,219.4912567138672,342.9902038574219,221.81494140625,340.9379577636719,217.72372436523438,340.8697509765625,226.30422973632812,341.58892822265625,216.36280822753906,341.171142578125,229.4376678466797,352.8149108886719,218.422607421875,351.9466857910156,227.78857421875,372.106201171875,219.3780059814453,368.37945556640625,222.7496337890625,385.0813903808594,216.31192016601562,382.2073059082031,236.7537078857422,380.73974609375,228.99795532226562,380.71771240234375,230.9066925048828,407.3736267089844,226.67788696289062,407.3868103027344,235.94699096679688,432.51885986328125,225.2359161376953,432.39251708984375
4,1,,219.4292449951172,343.0058898925781,221.7259521484375,340.9654235839844,217.7142791748047,340.8960876464844,226.2191619873047,341.5907897949219,216.43629455566406,341.1579895019531,229.44871520996094,352.72332763671875,218.4195556640625,351.8421325683594,227.9497528076172,371.9546203613281,219.44252014160156,368.1059875488281,223.1439666748047,385.1723937988281,216.58773803710938,381.8161315917969,236.83090209960938,380.63067626953125,229.04141235351562,380.6176452636719,230.8306121826172,407.2810363769531,226.4340057373047,407.3410339355469,235.9895782470703,432.5093688964844,224.98216247558594,432.44403076171875
5,1,,219.34042358398438,343.02142333984375,221.61569213867188,340.9914855957031,217.68731689453125,340.91943359375,226.14306640625,341.5971984863281,216.52801513671875,341.1456298828125,229.4578094482422,352.6460876464844,218.4587860107422,351.75140380859375,228.06971740722656,371.8267517089844,219.4848175048828,367.9203796386719,223.44833374023438,385.2659912109375,216.75509643554688,381.5580139160156,236.91134643554688,380.49346923828125,229.15391540527344,380.478271484375,230.7861785888672,407.1633605957031,226.46621704101562,407.2200012207031,236.0788116455078,432.5125732421875,225.22825622558594,432.4041442871094
6,1,,219.30543518066406,343.0201416015625,221.55862426757812,340.9964599609375,217.69525146484375,340.92523193359375,226.09033203125,341.5899353027344,216.613037109375,341.128662109375,229.44515991210938,352.57159423828125,218.50506591796875,351.6681823730469,228.19393920898438,371.6996765136719,219.47607421875,367.72601318359375,223.75897216796875,385.4258728027344,216.88027954101562,381.3160400390625,236.99900817871094,380.355712890625,229.304931640625,380.342529296875,230.72067260742188,407.0433654785156,226.5904541015625,407.1028137207031,236.15704345703125,432.4985046386719,225.5177764892578,432.3358154296875
7,1,,219.21316528320312,343.0232238769531,221.47006225585938,341.0054016113281,217.6497039794922,340.92767333984375,226.0611572265625,341.6124572753906,216.66928100585938,341.12384033203125,229.42263793945312,352.51898193359375,218.57113647460938,351.61199951171875,228.3325958251953,371.55340576171875,219.47645568847656,367.5660095214844,224.19854736328125,385.59918212890625,216.97804260253906,381.143310546875,237.0638427734375,380.2225646972656,229.45391845703125,380.2078857421875,230.6642608642578,406.9571228027344,226.66354370117188,406.9959411621094,236.2342987060547,432.53558349609375,225.73646545410156,432.27923583984375
8,1,,219.11900329589844,343.0523681640625,221.3521728515625,341.04302978515625,217.61062622070312,340.970947265625,225.99057006835938,341.6363830566406,216.75650024414062,341.15081787109375,229.4166259765625,352.486083984375,218.64340209960938,351.55413818359375,228.39137268066406,371.46197509765625,219.40269470214844,367.3810119628906,224.39013671875,385.661865234375,216.99554443359375,380.8124084472656,237.02432250976562,380.2000732421875,229.5138397216797,380.167724609375,230.65443420410156,406.9503173828125,226.94314575195312,406.94073486328125,236.25277709960938,432.55804443359375,226.27044677734375,432.1711730957031
9,1,,219.043212890625,343.1493225097656,221.26487731933594,341.1446533203125,217.5777130126953,341.06890869140625,225.94717407226562,341.7137756347656,216.81622314453125,341.2073669433594,229.41688537597656,352.5456237792969,218.71176147460938,351.5166320800781,228.416259765625,371.5888366699219,219.3802032470703,367.13946533203125,224.4239501953125,385.9335021972656,217.17623901367188,380.30584716796875,236.95980834960938,380.29974365234375,229.49893188476562,380.2305603027344,230.60763549804688,407.0350036621094,226.91177368164062,407.00274658203125,236.23353576660156,432.5843505859375,226.2611541748047,432.17828369140625
