frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,221.9022674560547,422.08270263671875,223.7827606201172,419.8431701660156,219.70761108398438,420.2010192871094,227.3265380859375,420.4775085449219,216.93161010742188,421.3742370605469,233.5147247314453,432.409423828125,214.53958129882812,433.8170166015625,239.78457641601562,445.2417907714844,213.14109802246094,447.8219299316406,233.990966796875,455.301513671875,215.20350646972656,458.0245666503906,231.99229431152344,463.8702697753906,219.05494689941406,464.0996398925781,232.19871520996094,487.397705078125,216.72006225585938,487.1973571777344,232.29000854492188,509.87506103515625,215.92295837402344,509.0741882324219
1,1,,221.29371643066406,422.3533935546875,223.1228790283203,420.06683349609375,219.08328247070312,420.4726257324219,226.6691436767578,420.48040771484375,216.3639678955078,421.53094482421875,233.11831665039062,432.3352355957031,214.2808380126953,433.877685546875,239.08413696289062,445.3647766113281,212.96200561523438,447.92401123046875,232.92147827148438,455.4144592285156,215.37045288085938,457.8143310546875,231.91537475585938,463.9773864746094,218.98226928710938,464.26922607421875,232.1455535888672,487.5377502441406,216.37655639648438,487.23333740234375,232.31918334960938,509.8831481933594,215.58273315429688,509.080322265625
2,1,,220.48162841796875,422.6478576660156,222.29083251953125,420.3039855957031,218.3164825439453,420.7587890625,226.05792236328125,420.45556640625,215.83981323242188,421.65386962890625,232.8740997314453,432.2137145996094,214.1282196044922,433.882568359375,238.53916931152344,445.3802795410156,212.84803771972656,447.8670654296875,231.9809112548828,455.3718566894531,215.24110412597656,457.3707275390625,231.78521728515625,463.95904541015625,218.85946655273438,464.2894592285156,232.03036499023438,487.5634460449219,216.1455841064453,487.1924743652344,232.37132263183594,509.88873291015625,215.35452270507812,509.1250305175781
3,1,,219.13577270507812,423.7672424316406,220.81800842285156,421.3777770996094,217.0276336669922,421.8993835449219,224.7031707763672,421.0176696777344,214.820068359375,422.3669128417969,231.96871948242188,432.1156311035156,213.69439697265625,433.951171875,237.35177612304688,445.4348449707031,212.44662475585938,447.9054870605469,230.0222625732422,455.2435607910156,215.02516174316406,456.7952575683594,231.44102478027344,463.8977966308594,218.7212371826172,464.2998046875,232.1450653076172,487.4896240234375,216.03485107421875,487.3198547363281,232.23074340820312,509.8052673339844,214.80368041992188,509.3298034667969
4,1,,217.74212646484375,424.61663818359375,219.28904724121094,422.1383972167969,215.63819885253906,422.7814636230469,223.28994750976562,421.31488037109375,213.66896057128906,422.979736328125,231.1446075439453,432.0005798339844,213.17462158203125,434.1666564941406,236.30441284179688,445.4717102050781,212.0358123779297,448.0688171386719,228.39332580566406,455.138671875,214.47845458984375,455.9609069824219,231.02749633789062,463.8075256347656,218.44009399414062,464.3205261230469,231.93215942382812,487.36688232421875,215.76858520507812,487.296875,232.1403350830078,509.7407531738281,214.53941345214844,509.3967590332031
5,1,,216.12579345703125,425.36566162109375,217.59521484375,422.79620361328125,214.0481414794922,423.5303039550781,221.82229614257812,421.5467834472656,212.3723907470703,423.4494323730469,230.27301025390625,431.8635559082031,212.5669708251953,434.3568115234375,235.46604919433594,445.50091552734375,211.6656951904297,448.3898010253906,227.1005401611328,454.92181396484375,213.88551330566406,455.13519287109375,230.68743896484375,463.74810791015625,218.23431396484375,464.355224609375,231.54315185546875,487.4022216796875,215.6994171142578,487.3386535644531,232.04379272460938,509.8194274902344,214.40130615234375,509.4081115722656
6,1,,214.5499267578125,425.9697570800781,215.9425811767578,423.38079833984375,212.50999450683594,424.17645263671875,220.2781982421875,421.9156799316406,211.05303955078125,423.9671630859375,229.1377716064453,431.88787841796875,211.71766662597656,434.6102294921875,234.63742065429688,445.5345764160156,211.0516357421875,448.6329040527344,225.90133666992188,454.6645202636719,213.21731567382812,454.4996032714844,230.12615966796875,463.71649169921875,217.89051818847656,464.4303283691406,230.99887084960938,487.4330749511719,215.71482849121094,487.4677429199219,231.8365020751953,509.9606018066406,214.36807250976562,509.5555725097656
7,1,,213.26321411132812,426.37579345703125,214.56442260742188,423.77728271484375,211.1591796875,424.66351318359375,218.85037231445312,422.29345703125,209.69097900390625,424.5627746582031,227.91258239746094,432.0060119628906,210.73423767089844,435.05523681640625,233.7057647705078,445.3575744628906,210.27696228027344,448.9197998046875,224.89682006835938,454.3660583496094,212.3477020263672,454.0228271484375,229.4471893310547,463.7383728027344,217.40061950683594,464.58331298828125,230.44326782226562,487.416015625,215.7018280029297,487.57000732421875,231.5384521484375,510.0967102050781,214.28184509277344,509.5800476074219
8,1,,212.00912475585938,426.1476135253906,213.33038330078125,423.48529052734375,209.83544921875,424.4631652832031,217.78271484375,422.0843811035156,208.41786193847656,424.61883544921875,227.14096069335938,432.0018615722656,209.85789489746094,435.5122375488281,232.9054412841797,445.12286376953125,209.7498779296875,449.4139404296875,223.90415954589844,454.2527770996094,211.77197265625,453.82208251953125,228.9368896484375,463.8603820800781,216.83343505859375,464.8739318847656,229.81985473632812,487.4774169921875,215.23582458496094,487.6539306640625,231.30738830566406,510.1988830566406,214.2946014404297,509.5118713378906
9,1,,210.81761169433594,426.095458984375,212.16116333007812,423.4240417480469,208.61289978027344,424.4447326660156,216.734375,422.1428527832031,207.23875427246094,424.810546875,226.20301818847656,432.1667785644531,208.98704528808594,435.8851623535156,232.1490020751953,444.92919921875,209.14625549316406,449.5564270019531,222.80160522460938,454.23455810546875,211.09201049804688,453.97998046875,228.163330078125,464.2264099121094,216.13345336914062,465.3117980957031,229.1273193359375,487.7462463378906,214.88429260253906,487.8564453125,231.0074920654297,510.33514404296875,214.22276306152344,509.468994140625
