frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,249.0790557861328,0.0,248.06903076171875,0.0,248.96229553222656,0.0,246.19442749023438,0.0,248.093994140625,0.0,246.65560913085938,0.0,246.71383666992188,0.0,242.972412109375,1.0396596193313599,244.97894287109375,1.1463239192962646,241.97525024414062,9.24925708770752,243.68995666503906,9.335441589355469,248.38174438476562,6.182515621185303,248.1708984375,6.448363304138184,249.1031036376953,26.914770126342773,249.3453369140625,27.210317611694336,250.47592163085938,46.60396957397461,249.8407440185547,46.702667236328125
1,1,,249.67977905273438,0.0,249.11123657226562,0.0,249.21743774414062,0.0,248.2315673828125,0.0,247.80247497558594,0.0,249.6794891357422,0.0,245.84835815429688,0.0,247.7189483642578,0.8183574080467224,243.87362670898438,1.3052678108215332,246.97909545898438,8.433917045593262,242.53738403320312,9.47001838684082,250.68975830078125,6.543235778808594,247.80690002441406,6.819124698638916,251.51919555664062,27.185152053833008,248.69215393066406,27.42664337158203,253.41583251953125,47.006011962890625,248.98538208007812,47.041934967041016
2,1,,249.87083435058594,0.01972365938127041,249.54991149902344,0.0,249.2537078857422,0.0,249.32009887695312,0.0,247.6299591064453,0.0,251.3808135986328,0.0,245.416015625,0.0,250.50640869140625,0.88511723279953,243.30690002441406,1.299126386642456,249.98130798339844,8.294235229492188,241.96217346191406,9.09019947052002,251.91018676757812,6.6053690910339355,247.59603881835938,6.8289475440979,253.0589599609375,27.342334747314453,248.21612548828125,27.407390594482422,255.16717529296875,47.45257568359375,248.6188201904297,47.19844055175781
3,1,,250.34185791015625,0.01972365938127041,250.64122009277344,0.0,249.269775390625,0.0,251.7983856201172,0.0,246.75067138671875,0.0,255.38241577148438,0.0,243.23147583007812,0.0,256.2122802734375,0.8179423809051514,239.60301208496094,1.619576334953308,255.6431121826172,7.950409889221191,238.0357208251953,9.97057819366455,255.18844604492188,7.469577789306641,246.5929718017578,7.718683242797852,256.6900634765625,27.964275360107422,246.5309295654297,27.889986038208008,259.5450439453125,48.27517318725586,246.80894470214844,47.87062454223633
4,1,,251.28585815429688,0.01972365938127041,252.00875854492188,0.0,250.01800537109375,0.0,254.28472900390625,0.0,247.45069885253906,0.0,258.7474670410156,0.0,243.8807373046875,0.0,261.8589172363281,0.9467670321464539,241.32179260253906,1.8799819946289062,261.489501953125,7.624746799468994,240.2217254638672,10.460881233215332,257.37213134765625,8.511899948120117,246.90414428710938,8.67409896850586,258.9684753417969,28.999513626098633,246.7064971923828,28.86224365234375,262.0004577636719,49.460723876953125,246.48550415039062,49.0031852722168
5,1,,252.7159881591797,0.01972365938127041,253.44757080078125,0.0,251.51821899414062,0.0,255.8140411376953,0.0,249.1185760498047,0.0,260.19439697265625,0.0,245.7021942138672,0.0,263.0257263183594,2.0282132625579834,243.2945556640625,2.479036808013916,262.58966064453125,9.600459098815918,242.19908142089844,11.578975677490234,258.437255859375,10.211004257202148,248.2101287841797,10.225926399230957,259.9600830078125,30.580474853515625,247.93699645996094,30.233999252319336,262.5509338378906,50.98400115966797,247.6849365234375,50.190425872802734
6,1,,254.17152404785156,0.01972365938127041,254.8465576171875,0.0,253.03082275390625,0.0,257.1446228027344,0.0,250.69068908691406,0.0,261.4577941894531,0.0,247.30709838867188,0.0,263.78302001953125,2.4241902828216553,245.28265380859375,2.588351011276245,262.3460693359375,8.921781539916992,245.48318481445312,10.451120376586914,259.5075988769531,11.812769889831543,249.4581298828125,11.760488510131836,260.75726318359375,32.00337600708008,249.0501708984375,31.551305770874023,262.8673400878906,52.149925231933594,248.63522338867188,51.209625244140625
7,1,,255.60626220703125,0.0,256.285400390625,0.0,254.4984130859375,0.0,258.652099609375,0.0,252.28636169433594,0.0,263.0185852050781,0.0,249.08262634277344,0.0,264.6468811035156,2.46169376373291,247.17210388183594,2.6170408725738525,260.90472412109375,7.690920829772949,247.72679138183594,9.093759536743164,260.9697570800781,13.335906028747559,250.94622802734375,13.225817680358887,261.6746520996094,33.463401794433594,250.4364776611328,33.05150604248047,263.48663330078125,53.43229293823242,249.60948181152344,52.539188385009766
8,1,,256.77508544921875,0.0,257.4834289550781,0.0,255.71913146972656,0.0,260.035400390625,0.0,253.7188720703125,0.0,264.6104431152344,0.0,250.66876220703125,0.0,265.9260559082031,2.4402098655700684,248.3526153564453,2.357485771179199,260.3500671386719,6.55714750289917,248.9290771484375,6.962136268615723,262.50762939453125,14.230870246887207,252.49713134765625,14.054834365844727,262.7215881347656,34.704368591308594,251.76156616210938,34.23405456542969,264.0852355957031,54.845401763916016,251.04763793945312,53.80348587036133
9,1,,257.3893127441406,0.006493472959846258,258.1127014160156,0.0,256.36468505859375,0.0,260.8223876953125,0.0,254.582275390625,0.0,265.66180419921875,0.0,251.93350219726562,0.00011799633648479357,266.97711181640625,2.2914109230041504,249.2724151611328,2.4230778217315674,260.2585144042969,5.585608959197998,248.64852905273438,5.033990383148193,263.8429870605469,14.987614631652832,254.00949096679688,14.836380958557129,263.5075378417969,35.536651611328125,252.77426147460938,35.08213424682617,264.5078430175781,55.812042236328125,252.34584045410156,54.626983642578125
10,1,,258.00372314453125,0.006493472959846258,258.6969299316406,0.0,256.97216796875,0.0,261.506103515625,0.0,255.30870056152344,0.0,266.6114807128906,0.0,252.99684143066406,0.00011799633648479357,267.6256103515625,1.5374975204467773,250.58627319335938,2.0684010982513428,259.23974609375,3.7532806396484375,249.42578125,3.1446094512939453,265.14892578125,14.849488258361816,255.3629913330078,14.75048542022705,264.2448425292969,35.681678771972656,253.84371948242188,35.299652099609375,265.150634765625,56.389305114746094,253.43557739257812,55.21195602416992
11,1,,258.1592712402344,0.006493472959846258,258.9356689453125,0.0,257.15899658203125,0.0,262.0384826660156,0.0,255.70904541015625,0.0,267.2937316894531,0.0,253.67044067382812,0.00011799633648479357,267.9920349121094,1.880325436592102,251.15980529785156,2.4248809814453125,258.6754455566406,4.905815601348877,248.68443298339844,4.0866546630859375,265.9735107421875,15.108142852783203,256.1863708496094,14.941967964172363,264.8234558105469,36.22686004638672,254.42416381835938,35.79133605957031,265.48175048828125,57.37437057495117,254.24844360351562,56.06760025024414
12,1,,258.57391357421875,0.006493472959846258,259.3699035644531,0.0,257.59100341796875,0.0,262.58929443359375,0.0,256.27899169921875,0.0,267.87506103515625,0.0,254.4003143310547,0.00011799633648479357,268.2420349121094,2.8729512691497803,252.03025817871094,3.2123425006866455,259.0374755859375,6.8531694412231445,248.8232421875,6.108699798583984,266.58721923828125,15.966897010803223,256.9331970214844,15.791281700134277,265.2851867675781,36.95899963378906,254.89398193359375,36.39546585083008,265.5848083496094,58.01951599121094,255.18861389160156,56.611385345458984
13,1,,258.95050048828125,0.006493472959846258,259.7264709472656,0.0,257.9504089355469,0.0,262.8903503417969,0.0,256.6413879394531,0.0,268.12060546875,0.0,255.02713012695312,0.00011799633648479357,267.9971008300781,4.07645320892334,253.32203674316406,4.486265182495117,257.75140380859375,9.029263496398926,248.90817260742188,8.750115394592285,267.07501220703125,16.766437530517578,257.6267395019531,16.595914840698242,265.8002624511719,37.430274963378906,255.43478393554688,36.78342056274414,265.64990234375,58.218109130859375,255.5701904296875,56.775455474853516
14,1,,259.04888916015625,0.0,259.76141357421875,0.0,258.0677490234375,0.0,262.832275390625,0.0,256.7357482910156,0.0,268.01568603515625,0.0,255.15182495117188,0.0,267.5962829589844,4.533214569091797,253.9136962890625,5.163559913635254,257.1586608886719,10.592872619628906,250.2920684814453,11.136198997497559,267.2055358886719,17.173315048217773,257.8939208984375,17.008724212646484,265.9457092285156,37.77400588989258,256.0281982421875,37.14092254638672,265.5313415527344,58.318267822265625,255.8303680419922,56.96139907836914
15,1,,258.8838195800781,0.0806182399392128,259.6122741699219,0.0,257.8679504394531,0.0,262.674072265625,0.0,256.50146484375,0.0,267.787841796875,0.03635593503713608,255.02130126953125,0.170927494764328,267.4457092285156,5.34382438659668,253.99790954589844,6.087751388549805,257.3594055175781,11.898970603942871,250.75064086914062,13.113478660583496,267.18890380859375,17.777494430541992,258.00665283203125,17.632619857788086,266.01300048828125,38.210384368896484,256.7343444824219,37.535945892333984,265.4232177734375,58.327571868896484,256.4153137207031,56.975120544433594
16,1,,258.7398986816406,0.9613904356956482,259.5222473144531,0.641879677772522,257.7234191894531,0.6866055727005005,262.65179443359375,0.5298104882240295,256.4524841308594,0.6012386679649353,267.6478576660156,0.4797283709049225,255.19845581054688,0.6562657952308655,268.00054931640625,5.5287957191467285,254.22720336914062,6.146341323852539,258.497314453125,12.54488754272461,251.40835571289062,13.485182762145996,267.229736328125,17.6429443359375,258.403564453125,17.54319953918457,265.9405517578125,37.9183235168457,257.6304016113281,37.31087875366211,265.2757873535156,57.69461441040039,257.385498046875,56.45270538330078
