frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,181.2407989501953,369.8316345214844,182.40016174316406,368.0728759765625,181.0856475830078,367.9460754394531,185.79837036132812,368.1316223144531,183.5833282470703,367.2741394042969,191.20220947265625,376.3293151855469,186.91854858398438,375.65081787109375,189.84625244140625,393.01446533203125,188.57974243164062,391.9081726074219,185.61708068847656,401.2442321777344,186.2866973876953,401.14593505859375,203.2417449951172,400.4332275390625,200.07049560546875,400.1840515136719,193.4955291748047,425.9873962402344,191.94578552246094,425.6380310058594,199.31814575195312,452.3335876464844,196.62680053710938,450.97650146484375
1,1,,181.2500762939453,369.8421630859375,182.41351318359375,368.07757568359375,181.06777954101562,367.9652099609375,185.8336639404297,368.1412658691406,183.52931213378906,367.32025146484375,191.18527221679688,376.294677734375,186.95486450195312,375.6852722167969,189.70059204101562,392.796142578125,188.52423095703125,391.8437805175781,185.55580139160156,401.2430725097656,186.2106475830078,401.1783447265625,203.24026489257812,400.41900634765625,200.09915161132812,400.18963623046875,193.45355224609375,425.9969482421875,191.8931427001953,425.6366882324219,199.3394775390625,452.3489685058594,196.62710571289062,450.927978515625
2,1,,181.22201538085938,369.8386535644531,182.36566162109375,368.07550048828125,181.0499267578125,367.9739074707031,185.77548217773438,368.12884521484375,183.5474090576172,367.3338317871094,191.13551330566406,376.2276306152344,187.00767517089844,375.6755676269531,189.59532165527344,392.5736083984375,188.499755859375,391.7416687011719,185.49053955078125,401.2391052246094,186.14515686035156,401.2016296386719,203.21536254882812,400.4470520019531,200.1394805908203,400.23712158203125,193.41000366210938,426.0015563964844,191.8594970703125,425.66253662109375,199.35089111328125,452.3553466796875,196.6265869140625,450.9332580566406
3,1,,181.16986083984375,369.8460693359375,182.31153869628906,368.07421875,180.9806365966797,367.9920959472656,185.74606323242188,368.1080017089844,183.464111328125,367.363525390625,191.10733032226562,376.16326904296875,186.98245239257812,375.7189636230469,189.50100708007812,392.40447998046875,188.38946533203125,391.79156494140625,185.42877197265625,401.36102294921875,186.03192138671875,401.3872985839844,203.19117736816406,400.4898681640625,200.11965942382812,400.32208251953125,193.36227416992188,426.0275573730469,191.82264709472656,425.7381591796875,199.35165405273438,452.361083984375,196.63694763183594,450.9609680175781
4,1,,181.0642547607422,369.91180419921875,182.27757263183594,368.1278991699219,180.80673217773438,368.0334167480469,185.82400512695312,368.23699951171875,183.09751892089844,367.4715270996094,191.25811767578125,376.4718322753906,186.42897033691406,375.9808044433594,190.16470336914062,392.7926025390625,188.1021728515625,391.9580078125,185.93592834472656,401.5267639160156,185.8407745361328,401.5524597167969,203.1696014404297,400.55242919921875,199.63307189941406,400.4130859375,193.4851531982422,426.02764892578125,191.76914978027344,425.92938232421875,199.48231506347656,452.2639465332031,196.33413696289062,451.2568359375
5,1,,181.056640625,369.9345703125,182.32464599609375,368.14971923828125,180.76893615722656,368.0306396484375,185.91453552246094,368.35614013671875,182.90716552734375,367.53985595703125,191.42506408691406,376.8088684082031,185.8983612060547,376.2244567871094,190.88043212890625,393.2291564941406,187.6566925048828,392.102783203125,186.53553771972656,401.70904541015625,185.61585998535156,401.7197570800781,203.1481170654297,400.64129638671875,199.1680145263672,400.5131530761719,193.60101318359375,426.0477294921875,191.76004028320312,426.09490966796875,199.591064453125,452.18511962890625,196.04774475097656,451.5094909667969
6,1,,180.9737548828125,370.0385437011719,182.3555450439453,368.26177978515625,180.6818084716797,368.0821228027344,186.09707641601562,368.5419006347656,182.66326904296875,367.5694580078125,191.61447143554688,377.2464904785156,185.27613830566406,376.3785095214844,191.7299041748047,394.0081481933594,187.64898681640625,392.2297058105469,187.1791534423828,401.8564453125,185.58839416503906,401.7969970703125,203.27593994140625,400.79931640625,198.75013732910156,400.5993347167969,193.78102111816406,426.0633239746094,191.71527099609375,426.1599426269531,199.62623596191406,452.0936279296875,195.7960205078125,451.6586608886719
7,1,,180.9542999267578,370.1797180175781,182.46038818359375,368.3996887207031,180.5993194580078,368.1800537109375,186.3668975830078,368.7373962402344,182.32203674316406,367.6663513183594,191.80612182617188,377.6482238769531,184.68344116210938,376.57708740234375,192.47415161132812,394.5704345703125,187.67242431640625,392.2679138183594,187.9031219482422,402.052978515625,185.5591583251953,401.893798828125,203.402587890625,400.91461181640625,198.34320068359375,400.6683349609375,193.97396850585938,426.0711975097656,191.6724853515625,426.19183349609375,199.6581573486328,451.9805908203125,195.5519561767578,451.715576171875
8,1,,181.0837860107422,370.25445556640625,182.6417999267578,368.4676818847656,180.6406707763672,368.22906494140625,186.53115844726562,368.8935852050781,182.0774383544922,367.7919006347656,191.948974609375,378.00439453125,184.1973419189453,376.8453369140625,193.10609436035156,394.9211730957031,187.53530883789062,392.31707763671875,188.49375915527344,401.9254455566406,185.56329345703125,401.7612609863281,203.37710571289062,400.9626770019531,197.89715576171875,400.7281799316406,194.07412719726562,426.03546142578125,191.61279296875,426.2941589355469,199.72019958496094,451.8387756347656,195.2674560546875,451.9188537597656
9,1,,181.13319396972656,370.3978576660156,182.7169952392578,368.61773681640625,180.69210815429688,368.3660888671875,186.63174438476562,368.9876403808594,182.0747833251953,367.8404541015625,191.90817260742188,378.04449462890625,184.20233154296875,376.7744140625,193.03468322753906,394.9345397949219,187.80531311035156,392.0992736816406,188.6270751953125,401.9373474121094,185.717529296875,401.6672668457031,203.55059814453125,401.0176696777344,198.08070373535156,400.7319641113281,194.09889221191406,426.05157470703125,191.5796356201172,426.1925964355469,199.6359100341797,451.8038330078125,195.32102966308594,451.7042236328125
