frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,221.10629272460938,401.8248291015625,222.50962829589844,399.79791259765625,219.18643188476562,400.0605773925781,223.72653198242188,400.20184326171875,216.08639526367188,401.1817321777344,219.6343231201172,410.2571716308594,213.92787170410156,410.7265319824219,214.44415283203125,427.0876159667969,210.0990447998047,427.4658203125,216.43914794921875,441.3745422363281,212.40170288085938,442.5686340332031,205.32870483398438,437.7555236816406,201.70263671875,437.88861083984375,212.1153564453125,463.93963623046875,211.37852478027344,463.95025634765625,208.04933166503906,489.27239990234375,207.7375946044922,490.99920654296875
1,1,,221.46383666992188,401.78875732421875,222.7740020751953,399.771728515625,219.52540588378906,400.0465087890625,223.7568817138672,400.1803283691406,216.28822326660156,401.1885070800781,219.60992431640625,410.2370300292969,214.03390502929688,410.6646728515625,214.38807678222656,427.0189514160156,210.16029357910156,427.1776123046875,216.29629516601562,441.51300048828125,212.47772216796875,442.4288330078125,205.37124633789062,437.7608337402344,201.81761169433594,437.892822265625,212.2279052734375,463.93865966796875,211.43972778320312,463.9816589355469,208.04408264160156,489.25634765625,207.632568359375,491.04595947265625
2,1,,221.74517822265625,401.7477111816406,222.97393798828125,399.7257385253906,219.7640838623047,400.02484130859375,223.77854919433594,400.1120910644531,216.3821258544922,401.1866455078125,219.7451629638672,410.1705322265625,214.05508422851562,410.6441345214844,214.6074981689453,426.9422912597656,210.21571350097656,427.15423583984375,216.33059692382812,441.399658203125,212.55056762695312,442.3251953125,205.496826171875,437.7305603027344,201.87351989746094,437.87078857421875,212.30926513671875,463.9148254394531,211.4697723388672,463.95050048828125,208.0175018310547,489.2714538574219,207.65133666992188,491.02850341796875
3,1,,222.31723022460938,401.7145080566406,223.39247131347656,399.67547607421875,220.2504119873047,400.0152587890625,223.83302307128906,400.0053405761719,216.5705108642578,401.190673828125,219.9039764404297,410.08966064453125,214.11911010742188,410.59893798828125,214.87509155273438,426.84857177734375,210.27134704589844,427.0102844238281,216.38597106933594,441.3640441894531,212.62767028808594,442.2231750488281,205.63133239746094,437.70001220703125,201.95155334472656,437.85089111328125,212.41014099121094,463.88983154296875,211.4604034423828,463.9389343261719,208.05982971191406,489.2796630859375,207.63430786132812,491.04669189453125
4,1,,222.43560791015625,401.76513671875,223.49696350097656,399.7140808105469,220.32647705078125,400.07012939453125,223.90875244140625,400.0390319824219,216.56283569335938,401.26324462890625,220.0453338623047,410.1224060058594,214.07781982421875,410.66168212890625,215.04347229003906,426.94134521484375,210.2974395751953,427.1037292480469,216.38876342773438,441.30511474609375,212.74684143066406,442.1700439453125,205.7689208984375,437.6989440917969,201.9790802001953,437.8682556152344,212.67999267578125,463.81036376953125,211.58624267578125,463.926025390625,207.8872528076172,489.2446594238281,207.6954803466797,491.11236572265625
5,1,,222.5834503173828,401.7738037109375,223.616455078125,399.7170104980469,220.41835021972656,400.1007385253906,223.97547912597656,400.0275573730469,216.5599822998047,401.3162841796875,220.21043395996094,410.0635681152344,214.08572387695312,410.6712341308594,215.36659240722656,426.9098815917969,210.36500549316406,427.2396240234375,216.6070098876953,441.19403076171875,212.83152770996094,442.1330871582031,205.94561767578125,437.7180480957031,202.07839965820312,437.8954772949219,213.01271057128906,463.8091125488281,211.92213439941406,463.873291015625,207.5829315185547,489.3677062988281,207.7380828857422,491.0958251953125
6,1,,222.355224609375,401.8409729003906,223.48077392578125,399.7824401855469,220.1937713623047,400.15362548828125,224.0712890625,400.1036376953125,216.44097900390625,401.3589782714844,220.41519165039062,410.1152038574219,213.99710083007812,410.7433166503906,215.6697540283203,427.0143127441406,210.3496856689453,427.5272521972656,216.72219848632812,440.98101806640625,212.75547790527344,442.2605895996094,206.0442352294922,437.71893310546875,202.00729370117188,437.8865661621094,213.27700805664062,463.7333068847656,212.13246154785156,463.7675476074219,207.40501403808594,489.3615417480469,207.88206481933594,491.0450744628906
7,1,,222.06109619140625,401.96063232421875,223.30722045898438,399.90386962890625,219.9258575439453,400.2392883300781,224.15835571289062,400.26605224609375,216.3091583251953,401.4289245605469,220.47140502929688,410.295166015625,213.89903259277344,410.8589782714844,215.67022705078125,427.1867980957031,210.29054260253906,427.65972900390625,216.68580627441406,440.83721923828125,212.69151306152344,442.3453063964844,206.0362548828125,437.72265625,201.9020538330078,437.87139892578125,213.3273468017578,463.7148132324219,212.14767456054688,463.76849365234375,207.43629455566406,489.3206787109375,207.98458862304688,491.0792541503906
8,1,,221.84751892089844,402.0544128417969,223.21437072753906,400.0043640136719,219.7400665283203,400.3079833984375,224.31402587890625,400.4171447753906,216.26089477539062,401.49365234375,220.6060791015625,410.4565124511719,213.8505859375,410.9931945800781,215.8114013671875,427.4521484375,210.24192810058594,428.02593994140625,216.80865478515625,440.9517822265625,212.570068359375,442.6502990722656,206.10133361816406,437.7432556152344,201.86709594726562,437.8725280761719,213.41651916503906,463.72381591796875,212.3000030517578,463.7486877441406,207.26992797851562,489.3553161621094,208.05104064941406,491.06268310546875
9,1,,221.7319793701172,402.12628173828125,223.1365966796875,400.0787658691406,219.66583251953125,400.36273193359375,224.33889770507812,400.5042419433594,216.29396057128906,401.5396728515625,220.6237030029297,410.5594787597656,213.8675994873047,411.0716857910156,215.69325256347656,427.546630859375,210.15097045898438,428.072998046875,216.62928771972656,440.9937438964844,212.55535888671875,442.76080322265625,205.9893798828125,437.6492614746094,201.74842834472656,437.7768249511719,213.27340698242188,463.65521240234375,212.1849822998047,463.7218322753906,207.48199462890625,489.200927734375,208.13209533691406,491.0173034667969
10,1,,221.60198974609375,402.2547607421875,223.087890625,400.2124938964844,219.58358764648438,400.4584045410156,224.4613494873047,400.6689758300781,216.32662963867188,401.61328125,220.72547912597656,410.7144775390625,213.81626892089844,411.1930236816406,215.63558959960938,427.6907653808594,210.08721923828125,428.21148681640625,216.50335693359375,440.75439453125,212.6715087890625,442.6214294433594,205.99063110351562,437.5383605957031,201.62388610839844,437.6712951660156,213.27801513671875,463.5818786621094,212.10227966308594,463.7245178222656,207.70541381835938,489.12078857421875,208.1146697998047,491.093017578125
11,1,,221.71499633789062,402.343505859375,223.2112579345703,400.2868957519531,219.68142700195312,400.5358581542969,224.5931854248047,400.7581787109375,216.390869140625,401.70855712890625,220.83396911621094,410.8409423828125,213.81491088867188,411.3118896484375,215.6578369140625,427.90850830078125,210.04104614257812,428.31488037109375,216.70132446289062,440.9413757324219,213.01036071777344,442.4457702636719,205.9908447265625,437.49371337890625,201.54005432128906,437.6404113769531,213.161865234375,463.55767822265625,211.9401092529297,463.77874755859375,207.70492553710938,489.107177734375,207.9923553466797,491.1871643066406
12,1,,221.8231658935547,402.4416809082031,223.31942749023438,400.3763427734375,219.77493286132812,400.623291015625,224.72738647460938,400.8269348144531,216.50604248046875,401.7497253417969,220.99375915527344,411.00140380859375,213.9581756591797,411.2144470214844,215.86083984375,428.2017517089844,210.15292358398438,427.9114685058594,217.57394409179688,441.3319091796875,213.29786682128906,441.921875,206.0210418701172,437.441162109375,201.5656280517578,437.4906005859375,213.0625,463.53582763671875,211.8907470703125,463.66229248046875,207.5375213623047,489.1234436035156,207.860107421875,491.09332275390625
