frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,204.15328979492188,283.5508728027344,205.53810119628906,281.415771484375,203.2854766845703,281.502197265625,209.22427368164062,281.7201843261719,204.17343139648438,281.4602355957031,214.26788330078125,291.5321350097656,208.19479370117188,291.6011047363281,215.97198486328125,308.2557373046875,210.3604278564453,307.1377868652344,208.32098388671875,315.7867126464844,205.92152404785156,313.3406066894531,223.72991943359375,318.8165588378906,219.556884765625,318.7375183105469,210.529296875,339.6678161621094,209.65887451171875,340.48095703125,216.8410186767578,367.9932861328125,213.27821350097656,368.2605895996094
1,1,,204.34048461914062,283.5381774902344,205.80642700195312,281.3991394042969,203.33578491210938,281.478271484375,209.51376342773438,281.7444763183594,203.9189910888672,281.4792785644531,214.28079223632812,291.564453125,208.10122680664062,291.60980224609375,216.0005645751953,308.2608642578125,210.40733337402344,307.08746337890625,208.39996337890625,315.7239990234375,205.95947265625,313.4122619628906,223.74630737304688,318.83795166015625,219.505615234375,318.7629089355469,210.5434112548828,339.70489501953125,209.76930236816406,340.53759765625,216.82467651367188,367.88031005859375,213.2675018310547,368.1969299316406
2,1,,204.54473876953125,283.37158203125,206.086669921875,281.2303771972656,203.39720153808594,281.3039245605469,209.77978515625,281.6574401855469,203.65658569335938,281.3939514160156,214.2744140625,291.55487060546875,207.95779418945312,291.59478759765625,216.00668334960938,308.26080322265625,210.28402709960938,307.0635986328125,208.41525268554688,315.730224609375,205.8885955810547,313.5271911621094,223.7526397705078,318.88525390625,219.4480438232422,318.82489013671875,210.4234161376953,339.71551513671875,209.90550231933594,340.56536865234375,216.75575256347656,367.74554443359375,213.38186645507812,368.0935974121094
3,1,,204.76292419433594,283.2032775878906,206.39801025390625,281.0673522949219,203.4242706298828,281.13433837890625,210.10250854492188,281.5892333984375,203.2521209716797,281.3305969238281,214.33984375,291.54559326171875,207.6919708251953,291.5555114746094,216.112548828125,308.18365478515625,210.1624298095703,306.8961486816406,208.60427856445312,315.7954406738281,205.8721160888672,313.7528076171875,223.81732177734375,318.9443664550781,219.30091857910156,318.89129638671875,210.43698120117188,339.721435546875,209.94215393066406,340.60205078125,216.6960906982422,367.4967956542969,213.3574676513672,367.93798828125
4,1,,204.97109985351562,283.09686279296875,206.69480895996094,280.9403381347656,203.4579315185547,281.0238342285156,210.43212890625,281.50592041015625,202.9378662109375,281.30670166015625,214.3812255859375,291.5313720703125,207.5661163330078,291.5473327636719,216.0528106689453,308.2336120605469,209.9720458984375,306.801513671875,208.51463317871094,315.7801208496094,205.64549255371094,313.5863037109375,223.7376251220703,319.02398681640625,219.13302612304688,318.9808044433594,210.2451629638672,339.72784423828125,209.96324157714844,340.6142883300781,216.6339569091797,367.4211730957031,213.4016571044922,367.8861999511719
5,1,,205.16404724121094,282.8536071777344,206.9786834716797,280.6997375488281,203.522705078125,280.77142333984375,210.71592712402344,281.3731384277344,202.6895751953125,281.1620788574219,214.37562561035156,291.4900207519531,207.3444061279297,291.48101806640625,216.10792541503906,308.17828369140625,209.70631408691406,306.6384582519531,208.60153198242188,315.6703796386719,205.4700469970703,313.4494323730469,223.67623901367188,319.05206298828125,218.9685821533203,319.0216369628906,210.00770568847656,339.66094970703125,210.03770446777344,340.5660095214844,216.56805419921875,367.31793212890625,213.58221435546875,367.83636474609375
6,1,,205.1925048828125,282.599853515625,207.01300048828125,280.45428466796875,203.5402069091797,280.5312805175781,210.7286834716797,281.2019958496094,202.6536102294922,281.01129150390625,214.37379455566406,291.3406677246094,207.18373107910156,291.3780822753906,216.12417602539062,307.9281005859375,209.32151794433594,306.4217834472656,208.7236328125,315.834716796875,205.29344177246094,313.4192199707031,223.60653686523438,318.8801574707031,218.8173828125,318.87884521484375,209.80780029296875,339.5920104980469,209.84104919433594,340.5263366699219,216.56805419921875,367.2785339355469,213.66287231445312,367.8259582519531
7,1,,205.23951721191406,282.5250549316406,207.081787109375,280.3780822753906,203.56982421875,280.4598083496094,210.8011474609375,281.14862060546875,202.6201629638672,280.9775390625,214.40879821777344,291.24359130859375,207.03759765625,291.3167724609375,216.1715087890625,307.6965637207031,209.06805419921875,306.1103515625,208.87252807617188,315.76239013671875,205.1079559326172,312.92218017578125,223.575927734375,318.71185302734375,218.67678833007812,318.7431945800781,209.69056701660156,339.44854736328125,209.66123962402344,340.45391845703125,216.69908142089844,367.2240905761719,213.81134033203125,367.8735656738281
8,1,,205.32188415527344,282.479248046875,207.1709442138672,280.3249816894531,203.6417236328125,280.42108154296875,210.88839721679688,281.09503173828125,202.6568145751953,280.9647521972656,214.44314575195312,291.120849609375,207.0025177001953,291.2783508300781,216.14471435546875,307.41552734375,208.8640899658203,305.9112854003906,208.928955078125,315.7740478515625,204.9788360595703,312.67449951171875,223.5167999267578,318.53662109375,218.55995178222656,318.6047668457031,209.62196350097656,339.34423828125,209.44451904296875,340.41058349609375,216.79429626464844,367.2107238769531,213.6031494140625,367.9063415527344
9,1,,205.5506591796875,282.3316955566406,207.43353271484375,280.1925354003906,203.80801391601562,280.2781677246094,211.07125854492188,281.0548400878906,202.6014404296875,280.912109375,214.4823455810547,291.0851135253906,206.68231201171875,291.2837829589844,216.07864379882812,307.1445617675781,208.3846893310547,305.82696533203125,208.96266174316406,315.8938903808594,204.8668975830078,312.96807861328125,223.42193603515625,318.4598388671875,218.2410125732422,318.572509765625,209.69651794433594,339.3356018066406,209.37844848632812,340.4220886230469,216.89645385742188,367.2287902832031,213.83116149902344,367.91400146484375
10,1,,205.52261352539062,282.40081787109375,207.4195556640625,280.24365234375,203.77096557617188,280.35919189453125,211.1571807861328,281.096435546875,202.61447143554688,281.0333251953125,214.59616088867188,291.1009521484375,206.70135498046875,291.418212890625,215.9867401123047,306.9595642089844,208.08665466308594,305.8813171386719,208.8189697265625,316.0520324707031,204.76625061035156,313.2323913574219,223.34695434570312,318.36431884765625,218.1333465576172,318.5251159667969,209.8475799560547,339.4199523925781,209.57894897460938,340.5059509277344,217.02601623535156,367.13177490234375,214.3003692626953,367.7894592285156
