frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,270.0038757324219,314.05487060546875,271.70208740234375,311.4930725097656,267.3622741699219,312.4661560058594,276.1886901855469,311.9796447753906,266.4134826660156,314.16705322265625,281.40899658203125,322.0031433105469,274.4676513671875,324.0803527832031,283.89410400390625,339.0459899902344,276.39837646484375,339.1435852050781,278.06640625,350.41424560546875,271.7333679199219,348.01434326171875,293.1410217285156,348.8879089355469,288.72906494140625,349.5689697265625,282.6746826171875,372.5196838378906,283.4457092285156,372.697998046875,289.5701904296875,397.88507080078125,288.3310546875,396.0546875
1,1,,270.12371826171875,313.81304931640625,271.8043212890625,311.2801513671875,267.4903564453125,312.27203369140625,276.2706298828125,311.7900085449219,266.5321350097656,314.0263671875,281.4305419921875,321.68316650390625,274.53924560546875,323.6658935546875,284.02655029296875,338.53387451171875,275.8741455078125,337.6565856933594,278.10711669921875,349.71124267578125,271.2691650390625,344.98162841796875,293.1584777832031,348.73175048828125,288.8377380371094,349.4107666015625,282.71630859375,372.51971435546875,283.7895812988281,372.7953186035156,289.577880859375,397.803466796875,288.5204162597656,396.0451354980469
2,1,,270.23089599609375,313.64373779296875,271.91705322265625,311.11407470703125,267.6241760253906,312.09417724609375,276.39349365234375,311.6221923828125,266.6869201660156,313.83245849609375,281.5489501953125,321.52288818359375,274.5188903808594,323.44708251953125,284.1103820800781,338.270751953125,275.1087646484375,337.11077880859375,278.15301513671875,349.2376708984375,270.3361511230469,344.1194763183594,293.1980895996094,348.6349792480469,288.8356018066406,349.3108825683594,282.85845947265625,372.5564270019531,283.94854736328125,372.854248046875,289.6643981933594,397.8959655761719,288.5848388671875,396.1791687011719
3,1,,270.4703063964844,313.28802490234375,272.14752197265625,310.77960205078125,267.8939514160156,311.7328186035156,276.5830383300781,311.3064270019531,266.97747802734375,313.4544677734375,281.6594543457031,321.1763610839844,274.7823181152344,323.1755676269531,284.27923583984375,337.61029052734375,275.6311950683594,336.8753967285156,278.2099304199219,348.10589599609375,271.1037902832031,343.4225158691406,293.2308654785156,348.4392395019531,288.95416259765625,349.1566467285156,283.1462707519531,372.55303955078125,284.4000549316406,372.9281921386719,289.7652587890625,397.9608459472656,288.7265319824219,396.3597717285156
4,1,,270.7232666015625,312.8900146484375,272.3668212890625,310.3559265136719,268.11138916015625,311.349609375,276.729736328125,310.8354187011719,267.1690368652344,313.1084899902344,281.7672119140625,320.7046813964844,275.07330322265625,322.8453674316406,284.3870544433594,337.1292419433594,275.9901123046875,336.64111328125,278.2921447753906,347.3078308105469,271.7807312011719,342.8843688964844,293.3434143066406,348.1036682128906,289.1999816894531,348.87249755859375,283.46807861328125,372.5828552246094,284.74920654296875,372.9637145996094,289.94427490234375,398.0874328613281,289.0008850097656,396.4080505371094
5,1,,271.0734558105469,312.5544128417969,272.64044189453125,310.015869140625,268.42578125,311.03741455078125,276.939697265625,310.3992614746094,267.4485778808594,312.7348327636719,282.1053466796875,320.2566223144531,275.4405212402344,322.419189453125,284.5060729980469,336.5298767089844,276.6839904785156,336.2249755859375,278.4248962402344,346.6681823730469,272.54638671875,342.80120849609375,293.3396301269531,347.8843078613281,289.1624755859375,348.65283203125,283.76861572265625,372.452880859375,285.00103759765625,372.8664245605469,289.95892333984375,398.0050354003906,288.96636962890625,396.5174560546875
6,1,,271.3192138671875,312.2281494140625,272.8429260253906,309.6811218261719,268.6540222167969,310.6900634765625,277.0954284667969,309.9919128417969,267.6662902832031,312.287353515625,282.34027099609375,319.9353942871094,275.7555847167969,322.1461181640625,284.5016174316406,336.2557678222656,277.6759033203125,336.79620361328125,278.52301025390625,346.4632263183594,273.6248474121094,344.7219543457031,293.3251953125,347.7227783203125,289.118896484375,348.4892272949219,284.1047058105469,372.3333740234375,285.1380615234375,372.7188720703125,290.0334167480469,397.9784851074219,288.8578186035156,396.6060791015625
7,1,,271.5504455566406,311.9301452636719,273.0354919433594,309.37567138671875,268.8515930175781,310.4064025878906,277.2387390136719,309.5711364746094,267.83648681640625,311.9339904785156,282.4425964355469,319.50738525390625,276.1327819824219,321.7265319824219,284.55499267578125,336.03790283203125,279.2243957519531,336.91650390625,278.6537780761719,346.38555908203125,275.5824279785156,345.880859375,293.1134338378906,347.5485534667969,289.0235290527344,348.2912292480469,284.2584533691406,372.2967224121094,285.1426696777344,372.6246032714844,289.9619140625,397.8658447265625,288.9205627441406,396.5176696777344
8,1,,271.7105712890625,311.5938720703125,273.1627197265625,309.0553283691406,268.99578857421875,310.0788879394531,277.3462829589844,309.2220764160156,267.9515686035156,311.5462341308594,282.5821228027344,319.19036865234375,276.2673034667969,321.2484436035156,284.5079345703125,335.8851318359375,279.44970703125,336.4714050292969,278.768310546875,346.3700256347656,275.9031982421875,345.9004211425781,293.038330078125,347.4039306640625,288.9093933105469,348.0981750488281,284.4285583496094,372.1042175292969,285.2629699707031,372.4441833496094,289.9167785644531,397.664306640625,288.7757873535156,396.4959716796875
9,1,,271.7839050292969,311.3699951171875,273.29058837890625,308.8709716796875,269.1325378417969,309.82177734375,277.5068054199219,309.1119689941406,268.13189697265625,311.2423095703125,282.5366516113281,319.1097717285156,276.3197326660156,320.9776916503906,284.5231628417969,335.804931640625,279.6854553222656,336.21917724609375,278.93609619140625,346.3839416503906,276.12225341796875,346.0335998535156,292.9861145019531,347.2599182128906,288.9123229980469,347.90283203125,284.5350341796875,372.0458068847656,285.35662841796875,372.3742370605469,289.9437255859375,397.5639343261719,288.7597961425781,396.42999267578125
10,1,,271.85369873046875,311.20068359375,273.38214111328125,308.7067565917969,269.2351989746094,309.63787841796875,277.5789794921875,308.9867248535156,268.28387451171875,311.0819396972656,282.4974060058594,319.0491943359375,276.4046630859375,320.9073791503906,284.59393310546875,335.8580017089844,279.8143005371094,336.3126220703125,279.0542297363281,346.2899475097656,276.1586608886719,346.01739501953125,292.928466796875,347.1105651855469,288.9517517089844,347.7528381347656,284.643310546875,372.04583740234375,285.3548889160156,372.32232666015625,290.0063781738281,397.6040344238281,288.7973937988281,396.339599609375
11,1,,271.9284973144531,311.1168518066406,273.47369384765625,308.61541748046875,269.3334655761719,309.54132080078125,277.6608581542969,308.90692138671875,268.4378356933594,311.0056457519531,282.4688720703125,319.0062255859375,276.5646057128906,320.92962646484375,284.6781311035156,335.8335266113281,280.133056640625,336.5325012207031,279.2059326171875,346.0865478515625,276.46197509765625,346.16656494140625,292.91241455078125,346.9841613769531,289.0728454589844,347.6473388671875,284.7057800292969,372.0718078613281,285.3858947753906,372.3033142089844,290.0562744140625,397.6798400878906,288.8716735839844,396.2886047363281
12,1,,272.02203369140625,311.0690002441406,273.57159423828125,308.572265625,269.4388122558594,309.48284912109375,277.7268981933594,308.946044921875,268.5654602050781,311.0003662109375,282.4803161621094,319.1031188964844,276.6992492675781,321.1302185058594,284.69659423828125,335.7712097167969,280.2508850097656,336.8785705566406,279.3199157714844,345.9596252441406,276.40673828125,346.20697021484375,293.0517272949219,346.9378356933594,289.279541015625,347.6457214355469,284.8048400878906,372.00030517578125,285.53790283203125,372.2579040527344,290.1652526855469,397.70233154296875,288.8199462890625,396.28131103515625
13,1,,272.11700439453125,311.1043395996094,273.6787414550781,308.5903015136719,269.54010009765625,309.5141906738281,277.8150634765625,308.974609375,268.6921081542969,311.08685302734375,282.494873046875,319.17266845703125,276.8255310058594,321.3469543457031,284.810302734375,335.770263671875,280.4580383300781,337.20733642578125,279.435791015625,345.9393615722656,276.38946533203125,346.4189147949219,293.0268859863281,346.94512939453125,289.3445129394531,347.6940002441406,284.8039245605469,372.1271667480469,285.4446105957031,372.3480529785156,290.2431640625,397.83935546875,288.8853759765625,396.2688293457031
14,1,,272.20770263671875,311.14617919921875,273.73931884765625,308.62554931640625,269.6070556640625,309.5812683105469,277.86370849609375,308.976318359375,268.7482604980469,311.1777038574219,282.6349792480469,319.17974853515625,276.89764404296875,321.4049987792969,284.8587646484375,335.7900085449219,280.53521728515625,337.2602233886719,279.516357421875,346.0435791015625,276.3927001953125,346.57177734375,292.9058837890625,347.02978515625,289.1743469238281,347.7863464355469,284.7864685058594,372.17596435546875,285.3019104003906,372.391357421875,290.22705078125,397.84423828125,288.86614990234375,396.29254150390625
15,1,,272.26837158203125,311.2323913574219,273.7873229980469,308.70526123046875,269.65631103515625,309.6818542480469,277.9183044433594,309.0381164550781,268.7909851074219,311.2923583984375,282.7266540527344,319.2414245605469,276.9329528808594,321.4803161621094,284.9075622558594,335.8927917480469,280.4116516113281,337.2510070800781,279.7032775878906,346.469482421875,276.37579345703125,346.6940002441406,292.8808288574219,347.1068420410156,289.1212463378906,347.8695983886719,284.7393798828125,372.2324523925781,285.18658447265625,372.4612731933594,290.2274475097656,397.8380126953125,288.8206787109375,396.2991943359375
16,1,,272.37078857421875,311.2882080078125,273.8843994140625,308.7529296875,269.7275085449219,309.74652099609375,277.97760009765625,309.0847473144531,268.7996520996094,311.3821716308594,282.7352294921875,319.28668212890625,276.96533203125,321.5267333984375,284.9527587890625,335.9752502441406,280.3017883300781,337.158447265625,279.81207275390625,346.728271484375,276.324462890625,346.5355529785156,292.8838195800781,347.16094970703125,289.15386962890625,347.928466796875,284.6298828125,372.2417907714844,285.1022644042969,372.4835205078125,290.2134094238281,397.79571533203125,288.7934265136719,396.2550048828125
17,1,,272.4146423339844,311.3185729980469,273.914794921875,308.7694396972656,269.7422180175781,309.7860412597656,277.9869384765625,309.0705871582031,268.77935791015625,311.42742919921875,282.72857666015625,319.2580871582031,277.02935791015625,321.5352783203125,284.99212646484375,335.9437561035156,280.3048400878906,337.0880432128906,279.8741149902344,346.7034606933594,276.44085693359375,346.3085021972656,292.8609619140625,347.1972351074219,289.185791015625,347.9787902832031,284.55682373046875,372.25909423828125,285.1083068847656,372.51251220703125,290.21234130859375,397.7524719238281,288.766845703125,396.21392822265625
18,1,,272.44549560546875,311.3247985839844,273.9139709472656,308.776123046875,269.73773193359375,309.81463623046875,277.971435546875,309.0473937988281,268.71795654296875,311.4484558105469,282.79168701171875,319.17974853515625,277.0691223144531,321.4613952636719,284.9709167480469,335.79827880859375,280.331298828125,336.8152160644531,279.8948669433594,346.70404052734375,276.45220947265625,345.9772644042969,292.849609375,347.2897644042969,289.13934326171875,348.0675354003906,284.45672607421875,372.1567077636719,285.0465393066406,372.462646484375,290.1294250488281,397.6015319824219,288.703125,396.1920471191406
19,1,,272.47528076171875,311.3163146972656,273.93096923828125,308.7727355957031,269.7366638183594,309.82073974609375,277.9771728515625,309.0378112792969,268.65557861328125,311.44970703125,282.7804870605469,319.09381103515625,277.1285095214844,321.37255859375,284.91192626953125,335.64373779296875,280.3179931640625,336.5748596191406,279.8578796386719,346.6889343261719,276.356689453125,345.7286376953125,292.8623962402344,347.39031982421875,289.1872863769531,348.1630859375,284.3360900878906,372.04461669921875,285.0382385253906,372.3995056152344,290.0555114746094,397.4532775878906,288.6603698730469,396.1506042480469
20,1,,272.50439453125,311.28521728515625,273.9857482910156,308.74993896484375,269.7586364746094,309.78192138671875,278.0086975097656,309.0469055175781,268.6261291503906,311.41998291015625,282.6732177734375,319.06982421875,277.0946960449219,321.33685302734375,284.8620910644531,335.4534912109375,280.287353515625,336.4485168457031,279.6906433105469,346.21588134765625,276.2438659667969,345.4673767089844,292.8311462402344,347.42437744140625,289.205322265625,348.193115234375,284.25244140625,372.0079650878906,284.9893493652344,372.3611755371094,290.06390380859375,397.40338134765625,288.67730712890625,396.08673095703125
21,1,,272.4971618652344,311.2840576171875,274.0012512207031,308.7566833496094,269.7574768066406,309.7769775390625,278.0418701171875,309.0741882324219,268.6137390136719,311.42376708984375,282.67120361328125,319.0818176269531,277.0187683105469,321.373779296875,284.8210754394531,335.3636474609375,280.3753356933594,336.52459716796875,279.5711975097656,345.9972839355469,276.2453918457031,345.56927490234375,292.7551574707031,347.47637939453125,289.06103515625,348.2545166015625,284.2449951171875,372.000732421875,284.8511962890625,372.37799072265625,290.0845031738281,397.4249267578125,288.6532287597656,396.15771484375
22,1,,272.5217590332031,311.2642822265625,274.0560302734375,308.7589416503906,269.79571533203125,309.7533264160156,278.10089111328125,309.14556884765625,268.6324157714844,311.43084716796875,282.645263671875,319.13140869140625,276.9366149902344,321.3957824707031,284.7603454589844,335.3045349121094,280.3695373535156,336.5161437988281,279.5450744628906,345.9696960449219,276.2059020996094,345.70733642578125,292.73419189453125,347.48370361328125,288.9876403808594,348.25775146484375,284.2156982421875,371.99395751953125,284.7020568847656,372.3840026855469,290.10321044921875,397.4623718261719,288.60711669921875,396.2138366699219
23,1,,272.56365966796875,311.318359375,274.1251525878906,308.8260803222656,269.8921813964844,309.7823181152344,278.1761779785156,309.2400817871094,268.7769470214844,311.42181396484375,282.6299743652344,319.2100524902344,276.9513854980469,321.4482727050781,284.7759704589844,335.30078125,280.35986328125,336.68548583984375,279.512939453125,345.9649963378906,276.22576904296875,345.9737548828125,292.775390625,347.4859313964844,289.0387268066406,348.2474060058594,284.19866943359375,372.0154113769531,284.6630859375,372.38580322265625,290.15814208984375,397.5388488769531,288.45465087890625,396.2297058105469
24,1,,272.62860107421875,311.39727783203125,274.2051696777344,308.9143371582031,270.0173034667969,309.84014892578125,278.2689514160156,309.3377685546875,268.9751281738281,311.43707275390625,282.68780517578125,319.3100280761719,277.0221252441406,321.5292053222656,284.8545837402344,335.35113525390625,280.4002990722656,336.8345031738281,279.5553894042969,346.08782958984375,276.2745056152344,346.1567077636719,292.8149108886719,347.49822998046875,289.0758056640625,348.252197265625,284.2125549316406,372.0246887207031,284.61578369140625,372.4046325683594,290.23046875,397.58697509765625,288.2990417480469,396.27642822265625
25,1,,272.6680603027344,311.4840393066406,274.24505615234375,309.0100402832031,270.0751037597656,309.93035888671875,278.31915283203125,309.42706298828125,269.0556945800781,311.5093688964844,282.7063903808594,319.3526916503906,277.0745544433594,321.5640563964844,284.85089111328125,335.3659973144531,280.4140625,336.8354187011719,279.77288818359375,346.34625244140625,276.4193115234375,346.3414001464844,292.84893798828125,347.5081481933594,289.1295471191406,348.2669677734375,284.19677734375,372.0707092285156,284.6335754394531,372.458251953125,290.2621765136719,397.63934326171875,288.2220764160156,396.3407897949219
26,1,,272.67724609375,311.5669860839844,274.2518005371094,309.1060791015625,270.1062316894531,310.0167541503906,278.335205078125,309.5199890136719,269.11248779296875,311.5718688964844,282.7085876464844,319.412109375,277.0965270996094,321.5682373046875,284.8409729003906,335.40753173828125,280.3148193359375,336.72979736328125,279.9402160644531,346.6415710449219,276.4641418457031,346.4106140136719,292.8692932128906,347.5306091308594,289.1687316894531,348.2760925292969,284.2040710449219,372.1268005371094,284.6626892089844,372.504638671875,290.28131103515625,397.6490173339844,288.1828308105469,396.3403625488281
27,1,,272.67022705078125,311.67547607421875,274.2331848144531,309.2215881347656,270.12701416015625,310.1251220703125,278.32940673828125,309.5863342285156,269.1778564453125,311.613525390625,282.7386169433594,319.45391845703125,277.13494873046875,321.5375061035156,284.8637390136719,335.5726013183594,280.2360534667969,336.6398010253906,280.0611267089844,347.13037109375,276.4638366699219,346.4684143066406,292.8734436035156,347.5614318847656,289.18621826171875,348.28826904296875,284.21771240234375,372.13616943359375,284.6866149902344,372.51727294921875,290.2902526855469,397.6159362792969,288.1298828125,396.3334655761719
28,1,,272.66448974609375,311.7359313964844,274.22613525390625,309.2721862792969,270.0970458984375,310.1948547363281,278.30328369140625,309.60736083984375,269.129150390625,311.6961975097656,282.6519775390625,319.4778137207031,277.1401672363281,321.5619201660156,284.8427734375,335.7743835449219,280.1676025390625,336.6257629394531,280.215576171875,347.54449462890625,276.5403747558594,346.51580810546875,292.8523864746094,347.5137634277344,289.2588195800781,348.26202392578125,284.2288818359375,372.20098876953125,284.7210998535156,372.5799255371094,290.3122253417969,397.62457275390625,288.20233154296875,396.3029479980469
29,1,,272.6300048828125,311.7144470214844,274.1855773925781,309.2430725097656,270.047607421875,310.171142578125,278.2410583496094,309.5648498535156,269.04827880859375,311.6654357910156,282.5930480957031,319.4521484375,277.07366943359375,321.5363464355469,284.8243713378906,335.8789978027344,280.110107421875,336.63751220703125,280.2880859375,347.9077453613281,276.5325012207031,346.6023864746094,292.8638610839844,347.45989990234375,289.2701721191406,348.21923828125,284.21759033203125,372.1452331542969,284.7435302734375,372.54815673828125,290.29876708984375,397.57867431640625,288.17449951171875,396.277099609375
30,1,,272.6218566894531,311.7239074707031,274.17681884765625,309.2308044433594,270.0025939941406,310.1849060058594,278.22918701171875,309.489501953125,268.9493103027344,311.6673889160156,282.5645751953125,319.3499755859375,277.02569580078125,321.4364929199219,284.7778015136719,335.9623107910156,280.1318664550781,336.5098876953125,280.2692565917969,348.2727355957031,276.4553527832031,346.6710205078125,292.7079772949219,347.4516296386719,289.11541748046875,348.20965576171875,284.0765075683594,372.1501159667969,284.5213928222656,372.5784912109375,290.2230224609375,397.49700927734375,288.2571105957031,396.27325439453125
