frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,198.16766357421875,283.0420837402344,199.467041015625,281.6806640625,196.922607421875,281.9111633300781,202.16751098632812,282.0919494628906,195.26768493652344,282.7447814941406,205.28562927246094,287.1570739746094,193.79824829101562,288.6958312988281,209.5582733154297,293.9076232910156,192.20899963378906,296.2094421386719,206.09339904785156,297.9071044921875,195.1857147216797,297.7043151855469,203.7689208984375,300.3961181640625,195.56141662597656,301.32696533203125,211.02020263671875,301.3819885253906,196.6082000732422,302.2222595214844,213.15940856933594,316.0255432128906,195.84756469726562,316.7290954589844
1,1,,198.16766357421875,283.0420837402344,199.467041015625,281.6806640625,196.922607421875,281.9111633300781,202.16751098632812,282.0919494628906,195.26768493652344,282.7447814941406,205.28562927246094,287.1570739746094,193.79824829101562,288.6958312988281,209.5582733154297,293.9076232910156,192.20899963378906,296.2094421386719,206.09339904785156,297.9071044921875,195.1857147216797,297.7043151855469,203.7689208984375,300.3961181640625,195.56141662597656,301.32696533203125,211.02020263671875,301.3819885253906,196.6082000732422,302.2222595214844,213.15940856933594,316.0255432128906,195.84756469726562,316.7290954589844
2,1,,198.16766357421875,283.0420837402344,199.467041015625,281.6806640625,196.922607421875,281.9111633300781,202.16751098632812,282.0919494628906,195.26768493652344,282.7447814941406,205.28562927246094,287.1570739746094,193.79824829101562,288.6958312988281,209.5582733154297,293.9076232910156,192.20899963378906,296.2094421386719,206.09339904785156,297.9071044921875,195.1857147216797,297.7043151855469,203.7689208984375,300.3961181640625,195.56141662597656,301.32696533203125,211.02020263671875,301.3819885253906,196.6082000732422,302.2222595214844,213.15940856933594,316.0255432128906,195.84756469726562,316.7290954589844
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
