frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,218.74012756347656,249.53436279296875,218.69805908203125,247.8885955810547,217.19985961914062,248.06842041015625,216.06712341308594,247.9551544189453,212.2093048095703,248.89830017089844,211.16456604003906,255.12139892578125,206.7393341064453,255.2778778076172,206.56649780273438,268.2259521484375,202.55203247070312,267.8594055175781,207.0192413330078,280.404052734375,204.864990234375,280.0231018066406,194.17568969726562,272.1778564453125,191.3500213623047,272.0207214355469,201.7764892578125,292.7062683105469,201.1595001220703,292.38592529296875,197.64710998535156,315.0775451660156,197.11656188964844,316.27484130859375
1,1,,218.80142211914062,249.4171600341797,218.7037353515625,247.7561798095703,217.2147979736328,247.97799682617188,216.0205535888672,247.84585571289062,212.17726135253906,248.8944854736328,211.2235565185547,255.04641723632812,206.7904510498047,255.32203674316406,206.50643920898438,268.1062927246094,202.26583862304688,267.9283447265625,207.21998596191406,279.9012756347656,204.9192352294922,279.6266784667969,194.2694091796875,272.1207275390625,191.48287963867188,272.0290222167969,201.6428985595703,292.7566833496094,201.15155029296875,292.5384521484375,197.34603881835938,314.9881591796875,197.21554565429688,316.3341979980469
2,1,,218.8021697998047,249.3990478515625,218.70950317382812,247.73431396484375,217.21592712402344,247.9493408203125,215.97154235839844,247.8327178955078,212.14137268066406,248.85769653320312,211.29298400878906,255.1125946044922,206.6568603515625,255.4242706298828,206.58245849609375,268.03460693359375,201.96810913085938,268.0070495605469,207.1754913330078,279.4565124511719,204.823974609375,279.26873779296875,194.66078186035156,272.3254699707031,191.74172973632812,272.2582092285156,201.54684448242188,292.8622741699219,200.99478149414062,292.64117431640625,197.31297302246094,315.0677185058594,197.09844970703125,316.3680725097656
3,1,,218.84967041015625,249.45086669921875,218.7413330078125,247.7782440185547,217.2721405029297,247.98826599121094,215.91864013671875,247.8145294189453,212.14801025390625,248.82315063476562,211.45005798339844,255.12730407714844,206.53958129882812,255.5004425048828,206.8375701904297,267.887939453125,201.56065368652344,268.09930419921875,207.2161407470703,278.765869140625,204.63914489746094,278.82159423828125,195.1504669189453,272.5032653808594,192.09434509277344,272.46240234375,201.2783203125,292.9798278808594,200.77487182617188,292.74761962890625,197.02841186523438,315.0987548828125,197.05685424804688,316.37078857421875
4,1,,218.80604553222656,249.38162231445312,218.7928466796875,247.67922973632812,217.1569061279297,247.90420532226562,216.2341766357422,247.7760009765625,212.0998992919922,248.80271911621094,211.87229919433594,255.1599884033203,206.60447692871094,255.58724975585938,207.0264892578125,267.76568603515625,201.2662811279297,268.159912109375,207.4815216064453,278.15997314453125,204.74276733398438,278.5412292480469,195.75189208984375,272.6360168457031,192.45899963378906,272.6418151855469,201.5277557373047,293.07965087890625,200.92872619628906,292.95135498046875,197.08587646484375,315.22198486328125,197.03515625,316.5911865234375
5,1,,218.6805419921875,249.41131591796875,218.78265380859375,247.6593780517578,216.99595642089844,247.89414978027344,216.5425567626953,247.65625,212.05828857421875,248.694091796875,212.4927978515625,255.06988525390625,206.50543212890625,255.54685974121094,207.53927612304688,267.6302795410156,201.03286743164062,268.2016906738281,207.74794006347656,277.59796142578125,204.64341735839844,278.4085388183594,196.4740753173828,272.5220642089844,192.70155334472656,272.5581359863281,201.7732696533203,292.78497314453125,200.931396484375,292.7055358886719,197.3835906982422,315.06353759765625,197.1268310546875,316.4598693847656
6,1,,218.53189086914062,249.5040740966797,218.78671264648438,247.6978302001953,216.80433654785156,247.92550659179688,216.89344787597656,247.61288452148438,211.9556121826172,248.6187744140625,212.98167419433594,255.0190887451172,206.38563537597656,255.5091094970703,207.8929443359375,267.5126647949219,200.80892944335938,268.24896240234375,207.97738647460938,277.00823974609375,204.55093383789062,278.3044128417969,197.154052734375,272.43408203125,192.94766235351562,272.48516845703125,202.244873046875,292.48876953125,201.0418701171875,292.3986511230469,198.05511474609375,315.0668640136719,197.22308349609375,316.3894958496094
7,1,,218.53598022460938,249.54312133789062,218.86962890625,247.6874237060547,216.75430297851562,247.9297332763672,217.26170349121094,247.5272979736328,211.96630859375,248.565673828125,213.4916229248047,254.8984832763672,206.41197204589844,255.3604736328125,208.24620056152344,267.49932861328125,200.7848663330078,268.2003173828125,208.4127655029297,276.8585205078125,204.52635192871094,278.5992126464844,197.57498168945312,272.0638122558594,193.0388946533203,272.1122741699219,202.83470153808594,291.9669494628906,201.28956604003906,291.8726806640625,198.76805114746094,314.8052673339844,197.6847381591797,316.1353759765625
8,1,,218.61032104492188,249.59768676757812,218.93359375,247.7116241455078,216.80728149414062,247.95875549316406,217.3864288330078,247.53936767578125,212.0157470703125,248.58840942382812,213.82891845703125,254.928955078125,206.2454376220703,255.351806640625,208.68858337402344,267.5687255859375,200.588134765625,268.3460693359375,209.27883911132812,276.3262939453125,204.58499145507812,278.70684814453125,197.9386444091797,271.7688903808594,193.07217407226562,271.8228759765625,203.42398071289062,291.5943603515625,201.53338623046875,291.4674072265625,199.52249145507812,314.7359924316406,198.27110290527344,315.95721435546875
9,1,,218.23301696777344,249.70899963378906,218.5942840576172,247.8363494873047,216.55189514160156,248.05743408203125,217.2085418701172,247.65811157226562,212.04811096191406,248.6310577392578,214.00735473632812,255.07626342773438,205.9705047607422,255.42221069335938,209.04147338867188,267.8269348144531,200.3456268310547,268.5686340332031,209.80868530273438,276.0589904785156,204.63978576660156,278.7123107910156,198.28729248046875,271.67041015625,193.1034698486328,271.7118835449219,203.85011291503906,291.21307373046875,201.58975219726562,291.05267333984375,200.30760192871094,314.45086669921875,198.80709838867188,315.6087951660156
10,1,,218.15130615234375,249.85108947753906,218.44862365722656,248.0130615234375,216.52603149414062,248.21249389648438,216.91647338867188,247.86695861816406,212.04933166503906,248.7818145751953,213.87998962402344,255.29098510742188,205.7957000732422,255.61270141601562,209.37112426757812,268.05328369140625,200.19515991210938,268.99609375,210.57339477539062,275.6678466796875,204.88426208496094,278.74517822265625,198.44708251953125,271.9700927734375,193.2461395263672,272.021728515625,204.15625,291.49041748046875,201.73252868652344,291.3151550292969,200.78353881835938,314.4959411621094,199.281005859375,315.58953857421875
11,1,,216.9437713623047,249.9958038330078,217.50592041015625,248.24530029296875,215.60633850097656,248.32275390625,216.7257843017578,248.3101043701172,211.90077209472656,248.8881378173828,213.99269104003906,255.81541442871094,205.56153869628906,255.88803100585938,209.56985473632812,268.62335205078125,200.13958740234375,269.38177490234375,210.88458251953125,275.743896484375,205.1519012451172,278.90985107421875,198.77854919433594,272.32244873046875,193.32119750976562,272.27740478515625,204.30120849609375,291.8340759277344,201.69615173339844,291.58319091796875,201.13925170898438,314.5526428222656,199.62327575683594,315.59698486328125
