frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,192.2010498046875,282.7755126953125,193.1188507080078,280.57269287109375,190.43548583984375,281.364990234375,196.82472229003906,279.6433410644531,190.0301971435547,281.3413391113281,203.5100860595703,286.60833740234375,194.45469665527344,287.5441589355469,204.48837280273438,302.91119384765625,194.92738342285156,300.2336730957031,199.60015869140625,314.25762939453125,192.80697631835938,306.9796447753906,210.72669982910156,311.1248779296875,204.46136474609375,311.4051513671875,203.8397674560547,334.0283203125,198.3677978515625,334.6717834472656,207.3383331298828,359.43951416015625,201.52871704101562,359.6431884765625
1,1,,192.18077087402344,282.64453125,193.13613891601562,280.4385986328125,190.3789520263672,281.230224609375,196.8333740234375,279.6080017089844,189.87306213378906,281.30731201171875,203.38787841796875,286.66827392578125,194.19178771972656,287.669189453125,204.32217407226562,302.8613586425781,194.53370666503906,300.39532470703125,199.7053680419922,314.52008056640625,192.64617919921875,307.51251220703125,210.69015502929688,311.2083740234375,204.34945678710938,311.54449462890625,203.7447509765625,334.01971435546875,198.23312377929688,334.7469787597656,207.37461853027344,359.37139892578125,201.73098754882812,359.6488952636719
2,1,,192.17774963378906,282.5839538574219,193.16030883789062,280.3857727050781,190.3520965576172,281.17340087890625,196.8510284423828,279.6101989746094,189.7577362060547,281.29986572265625,203.3726348876953,286.70635986328125,193.9388427734375,287.7013244628906,204.2504425048828,302.87091064453125,194.29237365722656,300.38360595703125,199.77731323242188,314.6608581542969,192.54769897460938,307.58013916015625,210.63671875,311.41644287109375,204.1072998046875,311.7628479003906,203.68402099609375,333.95513916015625,197.67515563964844,334.7459411621094,207.39370727539062,359.37017822265625,201.4727020263672,359.7152404785156
3,1,,192.13626098632812,282.6158447265625,193.12875366210938,280.4280700683594,190.29833984375,281.2066345214844,196.79901123046875,279.6680603027344,189.61228942871094,281.3408203125,203.32215881347656,286.7800598144531,193.54037475585938,287.8182373046875,204.1503448486328,302.8815002441406,193.82313537597656,300.6335754394531,199.88095092773438,314.8930358886719,192.2318572998047,308.4605407714844,210.55145263671875,311.4969177246094,203.81024169921875,311.8980407714844,203.65823364257812,333.8851318359375,197.5933380126953,334.8017578125,207.31118774414062,359.1484680175781,201.6140594482422,359.72119140625
4,1,,191.9462432861328,282.71478271484375,192.86305236816406,280.5291442871094,190.19313049316406,281.28564453125,196.47982788085938,279.7767028808594,189.73406982421875,281.3845520019531,203.0970001220703,286.9259948730469,193.83836364746094,288.0692138671875,204.06089782714844,303.0091247558594,194.01611328125,301.2372741699219,199.9407958984375,315.1486511230469,192.23194885253906,309.15716552734375,210.6858367919922,311.57904052734375,204.38417053222656,312.0493469238281,203.63743591308594,333.7852783203125,198.6598663330078,334.7955627441406,207.10885620117188,358.9075622558594,202.4872589111328,359.5750732421875
5,1,,191.7188262939453,282.91680908203125,192.5860595703125,280.7320861816406,190.054931640625,281.4893798828125,196.2759246826172,279.8924560546875,189.81521606445312,281.5043640136719,203.35409545898438,287.04998779296875,193.79116821289062,288.1942138671875,204.232666015625,303.3012390136719,194.01979064941406,301.5345458984375,199.8500518798828,315.3502502441406,191.88746643066406,309.46771240234375,210.71945190429688,311.7029724121094,204.1475372314453,312.1297912597656,203.747314453125,333.64276123046875,197.87782287597656,334.65472412109375,207.03860473632812,358.8025817871094,201.79214477539062,359.5683898925781
6,1,,191.611083984375,283.098876953125,192.4510498046875,280.8980407714844,189.98287963867188,281.66766357421875,196.18310546875,280.0256652832031,189.86978149414062,281.67657470703125,203.5422821044922,287.23077392578125,193.87744140625,288.4621276855469,204.4690399169922,303.531982421875,194.36572265625,301.774169921875,199.83929443359375,315.456787109375,191.63790893554688,309.109375,210.75686645507812,311.7602844238281,204.08074951171875,312.19049072265625,203.88157653808594,333.43719482421875,197.52755737304688,334.5113220214844,206.81129455566406,358.64776611328125,201.4748992919922,359.5312194824219
7,1,,191.56581115722656,283.180419921875,192.4008331298828,280.97943115234375,189.98219299316406,281.7389831542969,196.16383361816406,280.13970947265625,189.9363250732422,281.7785949707031,203.77340698242188,287.4516906738281,193.66050720214844,288.7540588378906,204.7129669189453,303.73065185546875,194.17723083496094,302.2779541015625,199.7477569580078,315.436767578125,191.29237365722656,309.9427490234375,210.81954956054688,311.6611328125,203.83502197265625,312.10552978515625,204.08309936523438,333.1568298339844,197.26766967773438,334.2589416503906,206.576416015625,358.3202209472656,201.23507690429688,359.3513488769531
8,1,,191.36956787109375,283.2506408691406,192.1568603515625,281.0817565917969,189.87391662597656,281.8175964355469,195.86383056640625,280.25177001953125,189.89694213867188,281.8313903808594,203.86349487304688,287.49560546875,193.12364196777344,288.8603820800781,204.89959716796875,303.63238525390625,193.8046417236328,302.5771179199219,199.81979370117188,315.3408203125,191.29031372070312,310.3540954589844,210.8436737060547,311.6846923828125,203.3679962158203,312.14178466796875,204.34642028808594,332.7485046386719,196.34066772460938,333.8289489746094,206.36669921875,358.1840515136719,200.53533935546875,359.1700439453125
9,1,,191.25460815429688,283.40985107421875,192.09689331054688,281.2582702636719,189.768798828125,281.99908447265625,195.9189910888672,280.3891906738281,189.7528076171875,281.9858093261719,204.13516235351562,287.5489501953125,192.6045379638672,288.8718566894531,204.96165466308594,303.7752990722656,193.26226806640625,302.5443115234375,200.01629638671875,315.37158203125,190.91871643066406,310.05242919921875,210.7767791748047,311.90570068359375,202.6759490966797,312.3059387207031,204.6856689453125,332.571044921875,194.8307342529297,333.5151062011719,206.16146850585938,358.2186584472656,199.5263671875,359.0172424316406
