frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,199.6155242919922,458.81475830078125,200.67816162109375,456.89459228515625,198.65650939941406,457.0148620605469,204.04588317871094,457.58197021484375,199.5332489013672,457.30621337890625,209.99668884277344,467.40625,203.21485900878906,467.3080749511719,211.23854064941406,483.58648681640625,206.5478057861328,482.9399719238281,209.44735717773438,498.2192687988281,208.8664093017578,496.28594970703125,221.95932006835938,491.9431457519531,217.1029510498047,492.1747741699219,213.51962280273438,513.3529052734375,211.21038818359375,514.0882568359375,215.89944458007812,537.0706176757812,211.62594604492188,537.0845947265625
1,1,,199.6211395263672,458.83721923828125,200.63877868652344,456.9187927246094,198.705810546875,457.0389709472656,203.94631958007812,457.5848693847656,199.6980743408203,457.2996826171875,209.9753875732422,467.3851318359375,203.40110778808594,467.2749328613281,211.3204345703125,483.525634765625,206.6525115966797,482.9105224609375,209.49484252929688,498.1337890625,208.91729736328125,496.14501953125,221.94984436035156,491.8955993652344,217.2519073486328,492.1181640625,213.5574493408203,513.3873901367188,211.41282653808594,514.08544921875,215.99630737304688,537.1319580078125,211.9067840576172,537.0884399414062
2,1,,199.53378295898438,458.8914794921875,200.5525665283203,456.98480224609375,198.68215942382812,457.077880859375,203.83926391601562,457.6479187011719,199.76646423339844,457.3102111816406,209.83517456054688,467.4227600097656,203.440673828125,467.2765808105469,211.36459350585938,483.5423278808594,206.8771514892578,482.81854248046875,209.62693786621094,497.8529357910156,209.11358642578125,496.0361328125,221.9741668701172,491.856201171875,217.4083709716797,492.0793762207031,213.47023010253906,513.4191284179688,211.4589385986328,514.177978515625,216.0636444091797,536.9693603515625,212.1940460205078,537.0452270507812
3,1,,199.42514038085938,458.9844970703125,200.4105224609375,457.111083984375,198.71719360351562,457.1567687988281,203.5758056640625,457.767578125,200.01608276367188,457.33111572265625,209.5559844970703,467.414306640625,203.54603576660156,467.2402648925781,211.38912963867188,483.4295959472656,207.13369750976562,482.6607666015625,209.80300903320312,497.3874816894531,209.33685302734375,495.8476867675781,222.03353881835938,491.7922668457031,217.7449951171875,492.0270690917969,213.37522888183594,513.4884643554688,211.54501342773438,514.3330688476562,216.16990661621094,536.8363037109375,212.63291931152344,537.041259765625
4,1,,199.52764892578125,459.02978515625,200.4253692626953,457.1796569824219,198.91189575195312,457.2033996582031,203.369873046875,457.8446044921875,200.3335723876953,457.3647155761719,209.43331909179688,467.430419921875,203.7432098388672,467.2665100097656,211.57029724121094,483.2958068847656,207.3795166015625,482.6533203125,209.99325561523438,497.0516357421875,209.53746032714844,495.7232666015625,222.08157348632812,491.6372985839844,218.03843688964844,491.8756408691406,213.3856964111328,513.4943237304688,211.8082733154297,514.298095703125,216.2900848388672,536.9071044921875,213.0980224609375,537.0531616210938
5,1,,199.74526977539062,458.9875793457031,200.6034698486328,457.1461486816406,199.1539764404297,457.1510314941406,203.3525848388672,457.8321533203125,200.54254150390625,457.31951904296875,209.3850555419922,467.41259765625,203.87709045410156,467.30328369140625,211.87600708007812,483.1371765136719,207.60247802734375,482.725341796875,210.2352294921875,496.7492980957031,209.49671936035156,495.978515625,222.19419860839844,491.6452331542969,218.2756805419922,491.9013671875,213.33091735839844,513.4595947265625,211.69578552246094,514.2761840820312,216.42222595214844,536.9453735351562,213.1376190185547,537.07958984375
6,1,,199.84461975097656,458.99688720703125,200.71273803710938,457.1712951660156,199.28433227539062,457.14349365234375,203.3704376220703,457.8798828125,200.611083984375,457.3246154785156,209.40194702148438,467.47137451171875,203.7659454345703,467.42572021484375,212.2275848388672,483.3630065917969,207.72006225585938,483.08203125,210.1549530029297,497.0570983886719,209.1283416748047,496.8249816894531,222.2604522705078,491.78887939453125,218.2552032470703,492.0574035644531,213.2771759033203,513.4691162109375,211.40736389160156,514.3460693359375,216.40805053710938,536.874755859375,212.99942016601562,537.08349609375
7,1,,199.89149475097656,458.9656982421875,200.7529754638672,457.158935546875,199.37789916992188,457.1171875,203.38751220703125,457.861328125,200.73143005371094,457.2879333496094,209.5948486328125,467.3847961425781,203.6887969970703,467.43218994140625,212.84385681152344,483.3897705078125,207.66497802734375,483.44427490234375,210.11610412597656,497.3009948730469,208.56568908691406,497.6672668457031,222.2804718017578,491.8875732421875,218.0990753173828,492.1484680175781,213.38624572753906,513.4781494140625,211.15489196777344,514.2822265625,216.41717529296875,537.0440063476562,212.71749877929688,537.0994262695312
8,1,,200.30233764648438,458.8269348144531,201.17120361328125,457.0281066894531,199.68080139160156,456.9925231933594,203.67904663085938,457.7281494140625,200.6867218017578,457.1951599121094,209.77517700195312,467.2172546386719,203.57029724121094,467.3673095703125,213.32891845703125,483.1356506347656,207.63783264160156,483.4011535644531,210.39109802246094,497.2004699707031,208.3485107421875,497.8594970703125,222.36279296875,491.8948669433594,217.99447631835938,492.1875305175781,213.29287719726562,513.4261474609375,211.0431365966797,514.2333984375,216.3604736328125,537.005859375,212.513916015625,537.0419311523438
9,1,,200.55149841308594,458.7248840332031,201.47482299804688,456.9449462890625,199.85865783691406,456.8944396972656,203.9427947998047,457.65570068359375,200.58468627929688,457.1223449707031,209.87936401367188,467.1310119628906,203.2950439453125,467.307373046875,213.61582946777344,483.0356140136719,207.41262817382812,483.2356262207031,210.7122344970703,496.9837951660156,208.08193969726562,497.85693359375,222.4078369140625,492.04437255859375,217.78875732421875,492.35736083984375,213.3367156982422,513.4619750976562,210.82188415527344,514.3130493164062,216.25624084472656,536.7515258789062,212.29544067382812,536.8673095703125
10,1,,200.84771728515625,458.5865478515625,201.75540161132812,456.82696533203125,200.09959411621094,456.7762451171875,204.0852508544922,457.56103515625,200.65428161621094,457.0318603515625,209.82070922851562,467.0249328613281,203.31517028808594,467.13909912109375,213.30810546875,482.8722839355469,207.15142822265625,482.8667907714844,210.6417236328125,496.8152160644531,208.05479431152344,497.2033996582031,222.3388671875,492.0045471191406,217.78555297851562,492.3038330078125,213.41224670410156,513.4889526367188,211.04908752441406,514.2496948242188,216.17291259765625,536.7322387695312,212.3956756591797,536.7312622070312
11,1,,200.86837768554688,458.4691467285156,201.81053161621094,456.7259826660156,200.13275146484375,456.6705017089844,204.21701049804688,457.4648742675781,200.75283813476562,456.9036865234375,209.6443634033203,466.8518981933594,203.56153869628906,466.83563232421875,212.81906127929688,482.46026611328125,207.06997680664062,482.151611328125,210.74427795410156,496.13629150390625,208.3249969482422,496.1378173828125,222.22802734375,491.93377685546875,217.99270629882812,492.19903564453125,213.3619842529297,513.5503540039062,211.44937133789062,514.2227783203125,215.92715454101562,536.69873046875,212.7493133544922,536.5731201171875
12,1,,201.10357666015625,458.35198974609375,202.08612060546875,456.6007995605469,200.29653930664062,456.5528869628906,204.4617462158203,457.3675842285156,200.80917358398438,456.8073425292969,209.32064819335938,466.7777404785156,203.96575927734375,466.6531982421875,212.04183959960938,482.20489501953125,207.11326599121094,481.5927734375,210.6857147216797,495.7951965332031,208.58958435058594,495.1880187988281,222.15635681152344,491.92218017578125,218.4897918701172,492.1613464355469,213.00404357910156,513.655029296875,212.162353515625,514.1963500976562,215.45082092285156,536.700439453125,213.5213165283203,536.3201293945312
