frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,207.45025634765625,244.7950897216797,209.3987579345703,242.77493286132812,205.894287109375,242.98953247070312,212.671142578125,243.55740356445312,205.28848266601562,243.8437957763672,212.90505981445312,251.89183044433594,210.8217315673828,253.06263732910156,215.47837829589844,267.0541076660156,209.74905395507812,263.1513977050781,215.13418579101562,278.8541564941406,204.9462127685547,258.8248291015625,222.1188507080078,274.43670654296875,221.47406005859375,275.4882507324219,212.0648651123047,293.6872863769531,216.82745361328125,295.9457092285156,222.9554443359375,316.05181884765625,224.8977813720703,316.6535339355469
1,1,,207.27435302734375,244.93765258789062,209.2030792236328,242.93170166015625,205.69688415527344,243.14031982421875,212.42276000976562,243.6615447998047,204.99649047851562,243.9174346923828,212.8331756591797,251.9127197265625,210.4075927734375,252.8508758544922,215.35745239257812,266.95648193359375,209.4234161376953,262.11370849609375,214.84976196289062,278.76129150390625,204.9395294189453,257.1322326660156,222.14080810546875,274.28558349609375,221.22470092773438,275.2519226074219,211.89471435546875,293.6662292480469,216.28207397460938,295.8069152832031,222.64581298828125,316.06671142578125,224.41134643554688,316.52740478515625
2,1,,207.12640380859375,245.05718994140625,209.03221130371094,243.09268188476562,205.5018768310547,243.2581024169922,212.16519165039062,243.8170623779297,204.55397033691406,243.929443359375,212.9178466796875,252.01646423339844,209.57029724121094,252.6072235107422,215.1991729736328,266.98980712890625,208.84080505371094,261.9704895019531,214.4727783203125,278.990478515625,205.17901611328125,258.31317138671875,222.50341796875,274.2210388183594,220.82208251953125,275.02252197265625,212.11184692382812,293.5976257324219,215.2412567138672,295.4874267578125,222.69422912597656,316.004150390625,223.2042236328125,316.2388610839844
3,1,,206.7908172607422,245.27090454101562,208.65611267089844,243.35533142089844,205.11065673828125,243.4720916748047,211.7184600830078,244.0907745361328,203.89039611816406,244.0467987060547,213.013427734375,252.39341735839844,208.31167602539062,252.51397705078125,214.80152893066406,267.38519287109375,208.0863494873047,262.38677978515625,213.5847930908203,279.3281555175781,205.564697265625,261.521240234375,222.6027374267578,274.3058166503906,219.7993621826172,274.86236572265625,212.53439331054688,293.6695861816406,213.80555725097656,295.1393127441406,222.66558837890625,316.0543518066406,221.3486785888672,315.9382019042969
4,1,,206.4366455078125,245.55320739746094,208.20523071289062,243.6682891845703,204.7429656982422,243.7500457763672,211.09841918945312,244.3384246826172,203.36581420898438,244.17376708984375,212.81460571289062,252.62969970703125,207.57005310058594,252.42208862304688,214.44142150878906,267.49481201171875,208.0264892578125,262.8810119628906,212.7035675048828,279.1015319824219,206.13644409179688,264.3975524902344,222.77801513671875,274.27593994140625,219.35169982910156,274.5890197753906,212.8897247314453,293.86529541015625,212.58363342285156,294.8294372558594,222.79795837402344,316.2449035644531,218.99981689453125,315.5769958496094
5,1,,206.0171356201172,245.8102569580078,207.76568603515625,243.92933654785156,204.1858367919922,243.99053955078125,210.55343627929688,244.58543395996094,202.43565368652344,244.3494415283203,212.48631286621094,252.9545440673828,206.57012939453125,252.46649169921875,214.10398864746094,267.5807189941406,207.97006225585938,263.3858947753906,211.70278930664062,278.890380859375,206.8985137939453,267.7105712890625,222.78317260742188,274.3901062011719,218.646484375,274.51373291015625,213.1448516845703,294.0438232421875,211.55075073242188,294.7127380371094,223.12820434570312,316.3230285644531,216.6822509765625,315.4487609863281
6,1,,205.58824157714844,246.0585174560547,207.2906494140625,244.18338012695312,203.69349670410156,244.2349853515625,209.9927215576172,244.85647583007812,201.74729919433594,244.58285522460938,212.15061950683594,253.3072509765625,205.74771118164062,252.74276733398438,213.59835815429688,267.7985534667969,207.69593811035156,264.6675109863281,210.97125244140625,279.1068420410156,207.28663635253906,271.7174987792969,222.6606903076172,274.5926208496094,217.99221801757812,274.6062316894531,213.51795959472656,294.2516784667969,210.6532440185547,294.6625061035156,223.41368103027344,316.47576904296875,214.8863525390625,315.3861999511719
7,1,,205.08242797851562,246.22515869140625,206.7947540283203,244.35122680664062,203.2234344482422,244.3854217529297,209.5341339111328,245.08056640625,201.38330078125,244.76217651367188,211.5498809814453,253.64083862304688,205.57949829101562,253.05897521972656,213.0782928466797,268.0487365722656,207.89578247070312,265.26898193359375,210.32574462890625,279.32611083984375,207.50914001464844,273.19964599609375,222.10626220703125,274.76947021484375,217.66030883789062,274.73504638671875,213.286376953125,294.5703125,210.5124053955078,294.8969421386719,223.15040588378906,316.6487121582031,213.96302795410156,315.5126953125
8,1,,204.45115661621094,246.43966674804688,206.2061004638672,244.5675048828125,202.7038116455078,244.58755493164062,209.09329223632812,245.35423278808594,201.13999938964844,244.99635314941406,210.94900512695312,253.85728454589844,205.58816528320312,253.48089599609375,212.61595153808594,267.934326171875,207.8816375732422,265.6479187011719,209.95277404785156,279.4544982910156,207.41526794433594,273.170654296875,221.6636199951172,274.9640808105469,217.63720703125,275.0094909667969,212.341552734375,294.6325988769531,210.1256103515625,295.13690185546875,222.6018524169922,316.6499938964844,213.6138916015625,315.6882629394531
9,1,,203.97181701660156,246.5586395263672,205.820068359375,244.66575622558594,202.2094268798828,244.7043914794922,208.76858520507812,245.5262908935547,200.64599609375,245.2654266357422,210.36648559570312,254.05117797851562,204.9886016845703,254.05477905273438,212.0352325439453,268.2313232421875,206.37164306640625,265.6470642089844,209.77105712890625,279.9265441894531,204.78810119628906,270.2674560546875,220.7283172607422,275.2822570800781,216.89273071289062,275.5613708496094,211.22512817382812,294.6297912597656,209.73756408691406,295.48712158203125,221.20802307128906,316.4881286621094,213.93310546875,315.8811340332031
