frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,200.2449188232422,376.56158447265625,201.10348510742188,374.7117004394531,198.0389404296875,374.88836669921875,201.48434448242188,374.5649108886719,193.81588745117188,374.908203125,204.05252075195312,383.12628173828125,190.79623413085938,385.0380554199219,209.12269592285156,396.823486328125,191.27781677246094,396.77996826171875,209.3531951904297,407.28924560546875,195.5648956298828,405.95233154296875,205.91358947753906,407.7360534667969,197.50343322753906,410.6753234863281,207.0196075439453,419.1372375488281,196.50906372070312,430.8754577636719,202.75869750976562,431.444580078125,201.80323791503906,450.5675964355469
1,1,,200.18356323242188,376.6279296875,201.02981567382812,374.78033447265625,197.99412536621094,374.96539306640625,201.3925018310547,374.6138916015625,193.79661560058594,374.9814758300781,203.95712280273438,383.0912170410156,190.76878356933594,385.0109558105469,208.92013549804688,396.73992919921875,191.23016357421875,396.5820007324219,208.91136169433594,407.1656188964844,195.34228515625,405.7353820800781,205.8853759765625,407.50640869140625,197.4907684326172,410.45477294921875,207.1722412109375,418.89886474609375,196.43911743164062,430.6670837402344,202.80487060546875,430.8711853027344,201.69386291503906,450.06903076171875
2,1,,200.22158813476562,376.709228515625,201.08447265625,374.833251953125,198.03759765625,375.04241943359375,201.4778289794922,374.7142028808594,193.85182189941406,375.1408386230469,204.0123748779297,383.1963195800781,190.8048858642578,385.2214050292969,208.88072204589844,396.6869812011719,191.48707580566406,396.6253662109375,208.34759521484375,406.923095703125,195.3955078125,405.6643981933594,206.01864624023438,407.4385070800781,197.57144165039062,410.44610595703125,207.43519592285156,418.6832275390625,196.51290893554688,430.5361633300781,202.9325408935547,430.5165100097656,201.83749389648438,449.8414306640625
3,1,,200.3206787109375,376.7903137207031,201.17369079589844,374.88006591796875,198.1451873779297,375.1144104003906,201.5232391357422,374.7818298339844,193.92201232910156,375.2740478515625,204.04493713378906,383.2683410644531,190.7653045654297,385.4056091308594,208.85777282714844,396.6326599121094,191.56857299804688,396.619140625,207.8196563720703,406.80596923828125,195.30697631835938,405.52685546875,206.16543579101562,407.3240966796875,197.62759399414062,410.4007263183594,207.71449279785156,418.4276428222656,196.45555114746094,430.3585205078125,203.12420654296875,430.1419372558594,201.8604278564453,449.58197021484375
4,1,,200.27938842773438,376.85162353515625,201.19058227539062,374.9143371582031,198.11563110351562,375.1559143066406,201.64022827148438,374.8792724609375,193.9298858642578,375.38470458984375,204.13404846191406,383.3839111328125,190.66001892089844,385.56658935546875,208.94638061523438,396.53717041015625,191.5742950439453,396.5123291015625,207.6221466064453,406.5498352050781,195.09323120117188,405.3271484375,206.2189483642578,407.20159912109375,197.52166748046875,410.3250427246094,208.08035278320312,418.07659912109375,196.40325927734375,430.08123779296875,203.2261505126953,429.72454833984375,201.9291534423828,449.2960510253906
5,1,,200.31378173828125,376.9289855957031,201.26318359375,374.957275390625,198.1545867919922,375.21124267578125,201.7618865966797,374.9577331542969,193.95896911621094,375.4903869628906,204.22409057617188,383.4859619140625,190.5802001953125,385.7347717285156,209.0190887451172,396.5020446777344,191.72152709960938,396.53106689453125,207.267578125,406.3822326660156,195.0819091796875,405.226806640625,206.34173583984375,407.0992431640625,197.5013885498047,410.263671875,208.40980529785156,417.79937744140625,196.41624450683594,429.8229064941406,203.32449340820312,429.5220031738281,202.0692901611328,449.112060546875
6,1,,200.378173828125,376.9731750488281,201.36959838867188,374.9662780761719,198.21739196777344,375.2321472167969,201.9241180419922,375.01214599609375,194.00831604003906,375.57012939453125,204.3542938232422,383.611083984375,190.563720703125,385.9309387207031,209.16131591796875,396.51287841796875,191.86544799804688,396.6910705566406,207.06149291992188,406.34027099609375,195.16400146484375,405.3159484863281,206.50167846679688,407.1435852050781,197.5494842529297,410.3328857421875,208.48577880859375,417.8050231933594,196.42025756835938,429.772216796875,203.48123168945312,429.7453918457031,202.24429321289062,449.1956481933594
7,1,,200.3703155517578,376.9668884277344,201.3795166015625,374.95391845703125,198.21209716796875,375.21405029296875,201.95228576660156,374.98529052734375,193.99961853027344,375.528076171875,204.39151000976562,383.6123962402344,190.5281524658203,385.8929443359375,209.28204345703125,396.5444030761719,191.73451232910156,396.694091796875,207.228271484375,406.47259521484375,195.05209350585938,405.3679504394531,206.5299835205078,407.124755859375,197.54315185546875,410.2723693847656,208.3433380126953,417.9009704589844,196.30238342285156,429.7059020996094,203.56658935546875,430.0032653808594,202.22378540039062,449.16650390625
8,1,,200.3336181640625,376.9883117675781,201.3505096435547,374.97857666015625,198.1690673828125,375.2398986816406,201.93812561035156,375.0069580078125,193.9490203857422,375.5497131347656,204.4293975830078,383.61962890625,190.45724487304688,385.83734130859375,209.47308349609375,396.4819030761719,191.67637634277344,396.5482482910156,207.48049926757812,406.1158752441406,195.01187133789062,404.9936828613281,206.51327514648438,407.0277099609375,197.46481323242188,410.1192932128906,208.4201202392578,417.8662109375,196.2740478515625,429.4753723144531,203.5358123779297,429.89776611328125,202.21478271484375,448.7446594238281
9,1,,200.21533203125,376.9760437011719,201.24679565429688,374.9972839355469,198.06295776367188,375.24310302734375,201.86538696289062,374.9613037109375,193.86073303222656,375.47998046875,204.45765686035156,383.4645690917969,190.45860290527344,385.5870666503906,209.5382080078125,396.40325927734375,191.6496124267578,396.4695739746094,207.5494842529297,406.2144775390625,195.1472930908203,404.6126708984375,206.4433135986328,406.93670654296875,197.39328002929688,409.8372497558594,207.65640258789062,418.4477844238281,196.07859802246094,429.30584716796875,203.5545196533203,430.988037109375,201.92788696289062,448.5282897949219
