frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,202.2727813720703,265.1317443847656,203.28919982910156,263.018798828125,201.1919708251953,262.8943176269531,202.23031616210938,262.8198547363281,197.7321319580078,263.04376220703125,197.2859649658203,273.65802001953125,189.42149353027344,272.9441223144531,192.14125061035156,292.3086242675781,182.52857971191406,290.95208740234375,196.81687927246094,301.2388916015625,186.5782470703125,301.0634460449219,177.5377197265625,301.47491455078125,171.99417114257812,301.4164733886719,192.6019287109375,328.9078063964844,186.6932373046875,328.6981201171875,193.09458923339844,357.23480224609375,184.74609375,358.856689453125
1,1,,201.995361328125,265.23687744140625,203.13026428222656,263.0968322753906,200.90985107421875,262.9559631347656,202.27061462402344,262.8238525390625,197.50338745117188,262.9587707519531,197.21153259277344,273.599609375,189.30911254882812,272.85919189453125,191.85153198242188,292.0983581542969,182.3489227294922,290.6521301269531,196.58363342285156,301.074951171875,186.3979949951172,300.6260681152344,178.3580322265625,301.65130615234375,172.74822998046875,301.6110534667969,193.19615173339844,328.88067626953125,187.08627319335938,328.7110595703125,193.2510528564453,357.2645568847656,184.51983642578125,358.83465576171875
2,1,,201.8816680908203,265.2299499511719,203.1000518798828,263.0989685058594,200.78469848632812,262.94647216796875,202.45870971679688,262.85174560546875,197.42147827148438,262.94769287109375,197.31640625,273.5669860839844,189.3509979248047,272.7802734375,191.74473571777344,292.0310363769531,182.44049072265625,290.4504699707031,196.50050354003906,301.15911865234375,186.36973571777344,300.4706115722656,178.4058380126953,301.6068420410156,172.73094177246094,301.5526123046875,193.41883850097656,328.90594482421875,187.20570373535156,328.7220153808594,193.3026580810547,357.2597961425781,184.4707489013672,358.83905029296875
3,1,,201.91915893554688,265.1849365234375,203.1083526611328,263.0670471191406,200.86569213867188,262.91461181640625,202.39028930664062,262.81396484375,197.57662963867188,262.90594482421875,197.18418884277344,273.4648132324219,189.49537658691406,272.6509094238281,191.4762725830078,291.8251647949219,182.65277099609375,289.970458984375,196.31089782714844,301.1830749511719,186.23486328125,299.9010009765625,178.43019104003906,301.49957275390625,172.8970947265625,301.45501708984375,193.7803497314453,328.8330993652344,187.3901824951172,328.6827392578125,193.44647216796875,357.2533874511719,184.4047088623047,358.87835693359375
4,1,,201.52259826660156,265.2292785644531,202.9083251953125,263.1023864746094,200.47640991210938,262.9309387207031,202.6516876220703,262.83709716796875,197.3892059326172,262.8643798828125,197.1732635498047,273.3933410644531,189.6546630859375,272.57928466796875,191.0650634765625,291.87969970703125,182.71377563476562,290.0164794921875,196.0989990234375,301.3748474121094,186.09564208984375,299.9207458496094,178.4146728515625,301.52947998046875,172.96401977539062,301.49383544921875,194.07424926757812,328.8955993652344,187.62342834472656,328.7830810546875,193.48025512695312,357.2184143066406,184.23887634277344,358.9246826171875
5,1,,201.28111267089844,265.11920166015625,202.73118591308594,262.97735595703125,200.29263305664062,262.81109619140625,202.6563720703125,262.7672424316406,197.4511260986328,262.8128662109375,197.09640502929688,273.4234619140625,189.78341674804688,272.6882629394531,190.55706787109375,292.12646484375,182.6743927001953,290.4286193847656,195.70535278320312,301.5155334472656,186.38003540039062,300.0650939941406,178.19361877441406,301.51641845703125,172.85049438476562,301.515869140625,194.15182495117188,328.8570251464844,187.81602478027344,328.747802734375,193.4829559326172,357.2403869628906,184.1749267578125,358.9535217285156
6,1,,201.2879638671875,264.9413757324219,202.70736694335938,262.7923889160156,200.36199951171875,262.6405029296875,202.56723022460938,262.67108154296875,197.69207763671875,262.7626953125,196.9395751953125,273.47100830078125,189.928466796875,272.83416748046875,190.1578826904297,292.2562255859375,182.73727416992188,290.82879638671875,195.40455627441406,301.69384765625,186.81777954101562,300.5132141113281,177.89390563964844,301.525146484375,172.7261962890625,301.57440185546875,194.2149200439453,328.8207092285156,187.93553161621094,328.7590637207031,193.50234985351562,357.3201599121094,184.17648315429688,359.0926208496094
7,1,,201.20285034179688,264.9398193359375,202.71658325195312,262.7655334472656,200.2474822998047,262.6016845703125,202.7620391845703,262.70098876953125,197.58944702148438,262.7672119140625,196.99722290039062,273.5895080566406,189.88510131835938,272.9642028808594,189.82833862304688,292.56329345703125,182.58132934570312,291.1952209472656,195.0185089111328,301.8100891113281,186.94593811035156,300.5104064941406,177.7198486328125,301.5875549316406,172.46629333496094,301.6425476074219,194.27137756347656,328.77825927734375,187.94558715820312,328.697509765625,193.49510192871094,357.3744812011719,184.1963348388672,359.1265563964844
8,1,,200.79530334472656,264.93072509765625,202.5538330078125,262.71441650390625,199.78506469726562,262.5301513671875,203.12644958496094,262.6900939941406,197.19142150878906,262.6634826660156,197.26109313964844,273.66558837890625,189.6302032470703,273.05572509765625,189.6091766357422,292.5899658203125,182.19863891601562,291.4046630859375,194.5833740234375,301.57183837890625,186.91725158691406,300.38336181640625,178.36825561523438,301.84222412109375,172.73207092285156,301.9061584472656,194.6739044189453,328.7066650390625,188.11033630371094,328.6342468261719,193.53985595703125,357.4220275878906,184.0554962158203,359.103515625
9,1,,200.8115234375,264.9090881347656,202.63034057617188,262.6824645996094,199.74050903320312,262.4764709472656,203.24649047851562,262.6890869140625,197.009033203125,262.5868835449219,197.39303588867188,273.70587158203125,189.43826293945312,273.09405517578125,189.88922119140625,292.30621337890625,181.9993896484375,291.3685607910156,194.71624755859375,301.031005859375,186.74993896484375,300.4122619628906,179.0115509033203,302.1105041503906,173.1663360595703,302.159912109375,194.95590209960938,328.69921875,188.32176208496094,328.5639953613281,193.60833740234375,357.5359802246094,184.01873779296875,359.033935546875
