frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,411.92822265625,769.036865234375,416.3993225097656,764.6878051757812,408.0519104003906,764.9275512695312,423.6373596191406,767.451171875,405.6070556640625,767.4141235351562,422.4013671875,790.6141357421875,417.6354675292969,791.4469604492188,421.45233154296875,825.58349609375,417.3448791503906,823.159423828125,414.8807067871094,852.248291015625,405.69097900390625,841.4985961914062,434.54412841796875,853.6795043945312,431.8645935058594,854.0546264648438,416.413818359375,898.5535278320312,424.5567932128906,899.6307373046875,424.6051940917969,949.1516723632812,425.8388366699219,948.35205078125
1,1,,411.9726257324219,769.0474853515625,416.4784851074219,764.6875,408.04498291015625,764.9323120117188,423.744140625,767.4649047851562,405.49755859375,767.4442749023438,422.4400634765625,790.6284790039062,417.5398864746094,791.4782104492188,421.4737243652344,825.5970458984375,417.29962158203125,823.1778564453125,414.8913269042969,852.3456420898438,405.7230529785156,841.589599609375,434.5381774902344,853.6588745117188,431.7708740234375,854.0476684570312,416.4427490234375,898.5117797851562,424.54046630859375,899.622802734375,424.5892333984375,949.0982666015625,425.86474609375,948.3416748046875
2,1,,412.0195007324219,769.0374145507812,416.55377197265625,764.6762084960938,408.0567321777344,764.9185180664062,423.8369445800781,767.4708251953125,405.4257507324219,767.44677734375,422.4717712402344,790.6353149414062,417.47381591796875,791.48974609375,421.5151672363281,825.6176147460938,417.5265197753906,823.322265625,414.86700439453125,852.4993896484375,406.2130126953125,842.2619018554688,434.5724182128906,853.6744384765625,431.7279357910156,854.0725708007812,416.3659362792969,898.3544311523438,424.4039611816406,899.5341796875,424.6033020019531,948.9944458007812,425.92529296875,948.3638305664062
3,1,,412.1156005859375,769.0472412109375,416.69378662109375,764.6723022460938,408.0625305175781,764.9201049804688,423.9814453125,767.498291015625,405.2353820800781,767.4910888671875,422.48223876953125,790.653076171875,417.3544921875,791.5330810546875,421.60931396484375,825.6251831054688,417.82391357421875,823.5006103515625,414.91180419921875,852.7486572265625,406.9112548828125,843.17578125,434.6831359863281,853.5966796875,431.7463073730469,854.0211791992188,416.2792053222656,898.0606689453125,424.3299560546875,899.3446044921875,424.60614013671875,948.8328247070312,426.017822265625,948.3663940429688
4,1,,412.1414489746094,769.0451049804688,416.77056884765625,764.6642456054688,408.0338134765625,764.9049682617188,424.1015930175781,767.5142822265625,405.07086181640625,767.4932250976562,422.50689697265625,790.6403198242188,417.15911865234375,791.57177734375,421.6182556152344,825.4653930664062,418.0346374511719,823.7206420898438,414.927978515625,852.7322998046875,407.525146484375,844.1849365234375,434.71478271484375,853.5732421875,431.60528564453125,854.0305786132812,416.2599182128906,897.752685546875,424.1199645996094,899.1376953125,424.6163330078125,948.6292724609375,426.0386657714844,948.3159790039062
5,1,,412.1844177246094,769.0374145507812,416.839111328125,764.6585083007812,408.05096435546875,764.8818969726562,424.16278076171875,767.5283203125,404.9954833984375,767.4650268554688,422.4413146972656,790.6231079101562,417.0738525390625,791.5811767578125,421.6033630371094,825.231201171875,418.41156005859375,823.9127807617188,414.98382568359375,852.5983276367188,408.3092956542969,845.1807861328125,434.69903564453125,853.5155639648438,431.5429382324219,853.985595703125,416.4029846191406,897.62158203125,424.1403503417969,899.0172119140625,424.6431579589844,948.548095703125,426.0249938964844,948.245361328125
6,1,,412.228271484375,769.0303344726562,416.8752746582031,764.6609497070312,408.09112548828125,764.8716430664062,424.1632995605469,767.5287475585938,404.9961853027344,767.4320068359375,422.38909912109375,790.5888671875,417.0475158691406,791.535888671875,421.61065673828125,825.0210571289062,418.6803283691406,824.0065307617188,415.0352478027344,852.5615234375,408.971923828125,846.086669921875,434.64971923828125,853.4500732421875,431.4872741699219,853.9095458984375,416.630859375,897.7278442382812,424.2947998046875,899.0634765625,424.6175231933594,948.5950927734375,425.96429443359375,948.204833984375
7,1,,412.2356262207031,769.0228881835938,416.86700439453125,764.6586303710938,408.1044006347656,764.8576049804688,424.1131896972656,767.5209350585938,404.9996337890625,767.3888549804688,422.2967224121094,790.547119140625,417.0447692871094,791.4614868164062,421.56378173828125,824.8574829101562,418.7592468261719,823.9141235351562,415.12164306640625,852.5570678710938,409.2534484863281,846.2049560546875,434.5924987792969,853.2986450195312,431.4755554199219,853.7403564453125,416.91864013671875,897.8475341796875,424.53118896484375,899.0836181640625,424.5856018066406,948.68408203125,425.8638000488281,948.112548828125
8,1,,412.289306640625,769.043212890625,416.9032287597656,764.6861572265625,408.1678771972656,764.8824462890625,424.1184387207031,767.53369140625,405.06298828125,767.393310546875,422.3000183105469,790.494140625,417.0444641113281,791.4197998046875,421.5307312011719,824.60986328125,418.7530212402344,823.8201293945312,415.2353515625,852.4183959960938,409.42840576171875,846.3150634765625,434.56781005859375,853.1220092773438,431.4324951171875,853.5633544921875,417.16595458984375,897.8314819335938,424.6304931640625,899.0047607421875,424.5740051269531,948.7274780273438,425.74908447265625,948.0303955078125
9,1,,412.3566589355469,769.0460815429688,416.937255859375,764.6973876953125,408.2454528808594,764.897216796875,424.10137939453125,767.5332641601562,405.1651611328125,767.3984985351562,422.2782287597656,790.4671020507812,417.1667785644531,791.3516235351562,421.5296936035156,824.5247192382812,418.77569580078125,823.622802734375,415.3049011230469,852.4661865234375,409.5362243652344,846.0805053710938,434.49334716796875,853.0011596679688,431.4544372558594,853.4129028320312,417.4439697265625,898.0907592773438,424.9306335449219,899.1316528320312,424.49859619140625,948.900634765625,425.65191650390625,947.9921264648438
