frame_no,batsman_detected,distance_to_bat,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,,201.62643432617188,374.3557434082031,203.2320098876953,372.6309814453125,200.63873291015625,372.4464111328125,206.47998046875,373.59063720703125,200.8914794921875,372.6869201660156,209.67620849609375,381.9593811035156,204.83152770996094,382.1376953125,212.88270568847656,396.4107666015625,207.57383728027344,396.49993896484375,212.49197387695312,404.7572937011719,206.27957153320312,401.4851379394531,223.0177001953125,402.75,219.67465209960938,403.3866882324219,220.19590759277344,423.30694580078125,218.32913208007812,424.2735900878906,221.54466247558594,443.6895446777344,219.61927795410156,443.85406494140625
1,1,,201.65940856933594,374.263916015625,203.28280639648438,372.56719970703125,200.6855926513672,372.38763427734375,206.5816650390625,373.5918273925781,200.88851928710938,372.7098388671875,209.76837158203125,381.8816833496094,204.74090576171875,382.0783996582031,212.90927124023438,396.2844543457031,206.82147216796875,396.3294677734375,212.59738159179688,405.1344299316406,205.61166381835938,401.5341796875,222.96328735351562,402.666748046875,219.39468383789062,403.2235412597656,219.8173370361328,422.66204833984375,216.31536865234375,423.32073974609375,221.8158416748047,442.0067138671875,217.75704956054688,441.59320068359375
2,1,,201.65940856933594,374.263916015625,203.28280639648438,372.56719970703125,200.6855926513672,372.38763427734375,206.5816650390625,373.5918273925781,200.88851928710938,372.7098388671875,209.76837158203125,381.8816833496094,204.74090576171875,382.0783996582031,212.90927124023438,396.2844543457031,206.82147216796875,396.3294677734375,212.59738159179688,405.1344299316406,205.61166381835938,401.5341796875,222.96328735351562,402.666748046875,219.39468383789062,403.2235412597656,219.8173370361328,422.66204833984375,216.31536865234375,423.32073974609375,221.8158416748047,442.0067138671875,217.75704956054688,441.59320068359375
3,1,,201.66758728027344,374.2701416015625,203.28683471679688,372.57403564453125,200.75758361816406,372.39227294921875,206.5860595703125,373.583251953125,201.06912231445312,372.7098083496094,209.7745819091797,381.821533203125,204.93702697753906,382.0152282714844,213.15167236328125,396.3705749511719,206.4087371826172,396.20147705078125,212.81407165527344,405.0216064453125,204.27394104003906,400.5432434082031,222.82977294921875,402.6613464355469,219.42689514160156,403.1314697265625,219.51226806640625,422.4822998046875,215.89535522460938,422.83209228515625,221.61180114746094,441.3019104003906,217.26510620117188,440.3641662597656
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
