video_id,frame_no,phase
00e39b89-84a3-4095-b669-719634933843_delivery_22,51,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,52,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,53,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,54,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,55,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,56,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,57,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,58,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,59,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,60,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,61,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,62,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,63,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,64,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,65,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,66,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,67,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,68,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,69,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,70,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,71,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,72,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,73,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,74,preparation
00e39b89-84a3-4095-b669-719634933843_delivery_22,75,downswing
00e39b89-84a3-4095-b669-719634933843_delivery_22,76,downswing
00e39b89-84a3-4095-b669-719634933843_delivery_22,77,downswing
00e39b89-84a3-4095-b669-719634933843_delivery_22,78,downswing
00e39b89-84a3-4095-b669-719634933843_delivery_22,79,downswing
00e39b89-84a3-4095-b669-719634933843_delivery_22,80,followthrough
00e39b89-84a3-4095-b669-719634933843_delivery_22,81,followthrough
00e39b89-84a3-4095-b669-719634933843_delivery_22,82,followthrough
00e39b89-84a3-4095-b669-719634933843_delivery_22,83,followthrough
00e39b89-84a3-4095-b669-719634933843_delivery_22,84,followthrough
00e39b89-84a3-4095-b669-719634933843_delivery_22,85,followthrough
00e39b89-84a3-4095-b669-719634933843_delivery_22,86,followthrough
00e39b89-84a3-4095-b669-719634933843_delivery_22,87,followthrough
00e39b89-84a3-4095-b669-719634933843_delivery_22,88,followthrough
