video_id,frame_no,phase
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,50,preparation
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,51,preparation
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,52,preparation
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,53,preparation
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,54,preparation
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,55,preparation
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,56,preparation
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,57,preparation
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,58,downswing
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,59,downswing
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,60,downswing
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,61,downswing
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,62,downswing
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,63,downswing
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,64,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,65,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,66,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,67,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,68,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,69,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,70,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,71,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,72,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,73,followthrough
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,74,followthrough
