video_id,frame_no,phase
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,27,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,28,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,29,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,30,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,31,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,32,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,33,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,34,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,35,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,36,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,37,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,38,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,39,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,40,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,41,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,42,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,43,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,44,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,45,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,46,preparation
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,47,downswing
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,48,downswing
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,49,downswing
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,50,downswing
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,51,downswing
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,52,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,53,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,54,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,55,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,56,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,57,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,58,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,59,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,60,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,61,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,62,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,63,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,64,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,65,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,66,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,67,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,68,followthrough
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,69,followthrough
