video_id,frame_no,phase
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,98,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,99,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,100,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,101,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,102,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,103,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,104,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,105,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,106,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,107,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,108,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,109,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,110,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,111,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,112,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,113,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,114,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,115,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,116,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,117,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,118,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,119,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,120,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,121,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,122,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,123,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,124,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,125,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,126,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,127,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,128,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,129,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,130,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,131,preparation
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,132,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,133,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,134,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,135,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,136,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,137,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,138,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,139,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,140,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,141,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,142,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,143,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,144,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,145,downswing
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,146,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,147,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,148,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,149,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,150,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,151,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,152,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,153,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,154,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,155,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,156,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,157,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,158,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,159,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,160,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,161,followthrough
178abe9f-dc3a-45ac-89c9-566dba61bce9_delivery_10,162,followthrough
