video_id,frame_no,phase
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,33,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,34,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,35,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,36,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,37,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,38,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,39,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,40,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,41,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,42,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,43,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,44,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,45,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,46,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,47,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,48,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,49,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,50,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,51,preparation
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,52,downswing
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,53,downswing
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,54,downswing
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,55,downswing
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,56,downswing
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,57,downswing
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,58,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,59,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,60,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,61,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,62,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,63,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,64,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,65,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,66,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,67,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,68,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,69,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,70,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,71,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,72,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,73,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,74,followthrough
1bb571ba-dc23-4fcb-9e77-70746e566ce1_delivery_2,75,followthrough
