video_id,frame_no,phase
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,82,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,83,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,84,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,85,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,86,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,87,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,88,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,89,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,90,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,91,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,92,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,93,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,94,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,95,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,96,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,97,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,98,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,99,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,100,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,101,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,102,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,103,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,104,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,105,preparation
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,106,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,107,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,108,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,109,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,110,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,111,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,112,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,113,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,114,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,115,downswing
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,116,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,117,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,118,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,119,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,120,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,121,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,122,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,123,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,124,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,125,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,126,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,127,followthrough
22a76ae6-8845-4c11-9024-87a931a562d4_delivery_2,128,followthrough
