video_id,frame_no,phase
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,38,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,39,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,40,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,41,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,42,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,43,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,44,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,45,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,46,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,47,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,48,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,49,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,50,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,51,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,52,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,53,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,54,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,55,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,56,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,57,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,58,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,59,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,60,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,61,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,62,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,63,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,64,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,65,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,66,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,67,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,68,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,69,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,70,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,71,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,72,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,73,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,74,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,75,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,76,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,77,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,78,preparation
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,79,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,80,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,81,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,82,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,83,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,84,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,85,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,86,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,87,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,88,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,89,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,90,downswing
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,91,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,92,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,93,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,94,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,95,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,96,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,97,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,98,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,99,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,100,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,101,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,102,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,103,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,104,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,105,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,106,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,107,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,108,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,109,followthrough
22a8931b-59a5-40b6-aa97-89c11d506144_delivery_4,110,followthrough
