video_id,frame_no,phase
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,38,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,39,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,40,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,41,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,42,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,43,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,44,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,45,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,46,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,47,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,48,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,49,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,50,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,51,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,52,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,53,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,54,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,55,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,56,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,57,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,58,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,59,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,60,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,61,preparation
3658b9c7-b70d-4cc4-af20-3b324ba0a954_delivery_11,62,preparation
