video_id,frame_no,phase
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,71,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,72,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,73,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,74,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,75,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,76,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,77,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,78,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,79,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,80,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,81,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,82,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,83,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,84,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,85,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,86,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,87,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,88,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,89,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,90,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,91,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,92,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,93,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,94,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,95,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,96,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,97,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,98,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,99,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,100,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,101,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,102,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,103,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,104,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,105,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,106,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,107,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,108,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,109,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,110,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,111,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,112,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,113,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,114,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,115,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,116,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,117,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,118,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,119,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,120,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,121,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,122,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,123,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,124,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,125,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,126,preparation
42b17714-ec3a-4e3c-aee3-d5546dac99c5_delivery_4,127,preparation
