video_id,frame_no,phase
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,12,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,13,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,14,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,15,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,16,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,17,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,18,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,19,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,20,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,21,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,22,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,23,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,24,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,25,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,26,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,27,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,28,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,29,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,30,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,31,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,32,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,33,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,34,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,35,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,36,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,37,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,38,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,39,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,40,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,41,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,42,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,43,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,44,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,45,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,46,preparation
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,47,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,48,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,49,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,50,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,51,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,52,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,53,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,54,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,55,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,56,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,57,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,58,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,59,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,60,downswing
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,61,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,62,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,63,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,64,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,65,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,66,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,67,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,68,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,69,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,70,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,71,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,72,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,73,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,74,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,75,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,76,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,77,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,78,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,79,followthrough
479038b4-6281-4885-99d9-236a1dbf8b4e_delivery_1,80,followthrough
