video_id,frame_no,phase
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,15,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,16,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,17,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,18,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,19,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,20,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,21,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,22,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,23,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,24,preparation
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,25,downswing
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,26,downswing
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,27,downswing
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,28,downswing
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,29,downswing
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,30,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,31,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,32,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,33,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,34,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,35,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,36,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,37,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,38,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,39,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,40,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,41,followthrough
4af4f6b5-b557-4bf1-9cb5-76fc669915e8_delivery_1,42,followthrough
