video_id,frame_no,phase
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,46,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,47,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,48,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,49,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,50,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,51,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,52,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,53,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,54,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,55,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,56,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,57,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,58,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,59,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,60,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,61,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,62,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,63,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,64,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,65,preparation
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,66,downswing
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,67,downswing
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,68,downswing
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,69,downswing
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,70,downswing
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,71,downswing
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,72,downswing
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,73,followthrough
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,74,followthrough
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,75,followthrough
4ba3683f-68ea-4591-b7f8-3d686aa06c86_delivery_1,76,followthrough
